aa|ˈa a
abasprdentea|a b a s p  r d ˈɛ n t ɛ a 
abaspretuleri|a b a s p  r ɛ t ˈʊ l ɛ r ɪ
abass|ˈa b a s s
abat|ˈa b a t
abatemssu|a b a t ˈɛ m s s ʊ
abatesesseassumentes|a b a t ɛ s ɛ s s ɛ a s s ʊ m ˈɛ n t ɛ s
abatiscum|a b a t ˈɪ s k ʊ m
abatishet|a b a t ˈɪ s h ɛ t
abatisin|a b ˈa t ɪ s ɪ n
abatisodintsione|a b a t ɪ s ɔ d ɪ n t s ˈɪ  ɔ n ɛ
abatisoratsionisecomedet|a b a t ɪ s ɔ r a t s ɪ  ɔ n ɪ s ɛ k ˈɔ m ɛ d ɛ t
abatisperbus|a b a t ɪ s p ˈɛ r b ʊ s
abatissuui|a b a t ɪ s s ˈʊ w ɪ
abatmsi|a b ˈa t m s ɪ
abatmus|a b ˈa t m ʊ s
abatuboce|a b a t ˈʊ b ɔ k ɛ
abbonpublcoq|a  b ˈeː  b ˈeː  ˈoː  ˈɛ n  p ˈeː  ˈuː  b ˈeː  ˈɛ l  k ˈeː  ˈoː  k w ˈuː 
abculus|ˈa b k ʊ l ʊ s
abcum|ˈa b k ʊ m 
abdecumalaportacasrauitafacilenque|a b d ɛ k ʊ m a l a p ɔ r t a k a s  r aʊ ɪ t a f a k ɪ l ˈɛ ŋ k w ɛ
abdis|ˈa b d ɪ s
abdiseris|a b d ˈɪ s ɛ r ɪ s
abdispens|a b d ˈɪ s p ɛ n s
abdiss|ˈa b d ɪ s s
abe|ˈa b ɛ
abea|ˈa b ɛ a 
abeas|ˈa b ɛ a s 
abeass|ˈa b ɛ a s s
abeassemper|a b ɛ a s s ˈɛ m p ɛ r 
abeat|ˈa b ɛ a t 
abeattemeredecinetura|a b ɛ a tː ɛ m ɛ r ɛ d ɛ k ɪ n ˈɛ t ʊ r a
abeatumacluoud|a b ɛ a t ʊ m a k l ˈʊ ɔ ʊ d 
abebatte|a b ɛ b ˈa tː ɛ
abebis|ˈa b ɛ b ɪ s
abebisimepartenulab|a b ɛ b ɪ s ɪ m ɛ p a r t ˈɛ n ʊ l a b
abebisprotua|a b ɛ b ɪ s p  r ˈɔ t ʊ a
abebiss|ˈa b ɛ b ɪ s s
abeboet|ˈa b ɛ b ɔɪ t
abebrp|ˈa b ɛ b  r p
abebutenim|a b ɛ b ˈʊ t ɛ n ɪ m
abecabiasautsis|a b ɛ k a b ɪ  a s ˈaʊ t s ɪ s
abed|ˈa b ɛ d
abedsse|a b ˈɛ d s s ɛ
abedtisti|a b ɛ d t ˈɪ s t ɪ
abeeoperfisiistantismadhorationede|a b ɛ ɛ ɔ p ɛ r f ɪ s ɪ ʔ ɪ s t a n t ɪ s m a d h ɔ r a t ɪ  ˈɔ n ɛ d ɛ 
abeergoprimodselumsuperteip|a b ɛ ɛ r ɡ ɔ p  r ɪ m ɔ d s ɛ l ʊ m s ʊ p ˈɛ r t ɛ ɪ p 
abeilidotisque|a b ɛ ɪ l ɪ d ɔ t ˈɪ s k w ɛ
abeinquitatemea|a b ɛ ɪ ŋ k w ɪ t a t ˈɛ m ɛ a
abeisrebusaquasatotua|a b ɛ ɪ s  r ɛ b ʊ s a k w a s a t ˈɔ t ʊ a
abelatu|a b ˈɛ l a t ʊ
abemasc|ˈa b ɛ m a s k
abemed|ˈa b ɛ m ɛ d
aben|ˈa b ɛ n
abenda|a b ˈɛ n d a
abendcsion|a b ˈɛ n d k s ɪ  ɔ n
abendi|a b ˈɛ n d ɪ
abendm|ˈa b ɛ n d m 
abenduest|a b ˈɛ n d ʊ ɛ s t
abendum|a b ˈɛ n d ʊ m
abendumest|a b ˈɛ n d ʊ m ɛ s t
abennaque|a b ˈɛ n n a k w ɛ 
abent|ˈa b ɛ n t
abente|a b ˈɛ n t ɛ
abentrbitae|a b ˈɛ n t  r b ɪ t aɪ 
abeo|ˈa b ɛ ɔ
abeoegsiitu|a b ɛ ɔɪ ɡ s ˈɪ ʔ ɪ t ʊ 
abeoet|ˈa b ɛ ɔɪ t
aber|ˈa b ɛ r
aberatt|ˈa b ɛ r a tː
aberbisino|a b ɛ r b ˈɪ s ɪ n ɔ 
abere|ˈa b ɛ r ɛ
aberebenplastum|a b ɛ r ɛ b ɛ n p l ˈa s t ʊ m
aberec|ˈa b ɛ r ɛ k
aberecotrarium|a b ɛ r ɛ k ɔ t  r ˈa r ɪ  ʊ m
aberegenerum|a b ɛ r ɛ ɡ ˈɛ n ɛ r ʊ m
abereiprope|a b ɛ r ɛ ˈɪ p  r ɔ p ɛ 
abereiritnumr|a b ɛ r ɛ ɪ r ˈɪ t n ʊ m  r
abereiusta|a b ɛ r ɛ j j ˈʊ s t a
aberem|ˈa b ɛ r ɛ m
aberemus|a b ˈɛ r ɛ m ʊ s
aberenomensientsie|a b ɛ r ɛ n ɔ m ɛ n s ɪ  ˈɛ n t s ɪ  ɛ
aberepartem|a b ɛ r ɛ p ˈa r t ɛ m
aberepasemet|a b ɛ r ɛ p ˈa s ɛ m ɛ t
aberephudeexteius|a b ɛ r ɛ pʰ ʊ d ɛ ɛ k s t ˈɛ j j ʊ s
aberepropternocteset|a b ɛ r ɛ p  r ɔ p t ɛ r n ˈɔ k t ɛ s ɛ t 
aberes|ˈa b ɛ r ɛ s
aberesolitisutabmodis|a b ɛ r ɛ s ɔ l ɪ t ɪ s ʊ t ˈa b m ɔ d ɪ s
aberet|ˈa b ɛ r ɛ t
abereteporali|a b ɛ r ɛ t ɛ p ˈɔ r a l ɪ
aberetis|a b ˈɛ r ɛ t ɪ s
abereurum|a b ɛ r ˈɛʊ r ʊ m
aberi|ˈa b ɛ r ɪ
aberit|ˈa b ɛ r ɪ t
aberm|ˈa b ɛ r m
abermonaci|a b ɛ r m ˈɔ n a k ɪ
abernaclupha|a b ɛ r n ˈa k l ʊ pʰ a 
abersa|a b ˈɛ r s a
abersit|a b ˈɛ r s ɪ t
abersitatesocuret|a b ɛ r s ɪ t a t ɛ s ˈɔ k ʊ r ɛ t
abersitatis|a b ɛ r s ˈɪ t a t ɪ s
abes|ˈa b ɛ s
abesa|ˈa b ɛ s a
abesatesatisbeneetsicuspectesicuddesertdeser|a b ɛ s a t ɛ s a t ɪ s b ɛ n ɛ ɛ t s ɪ k ʊ s p ɛ k t ɛ s ɪ k ʊ dː ɛ s ˈɛ r t d ɛ s ɛ r
abescetumtaletauri|a b ɛ s k ɛ t ʊ m t a l ɛ t ˈaʊ r ɪ
abesedamnandumsiat|a b ɛ s ɛ d a m n a n d ˈʊ m s ɪ  a t
abesicamanentemsibitaten|a b ɛ s ɪ k a m a n ɛ n t ɛ m s ɪ b ˈɪ t a t ɛ n 
abesicmar|a b ɛ s ˈɪ k m a r
abesoomoeinaniscoque|a b ɛ s ɔ ɔ m ɔɪ ɪ n a n ˈɪ s k ɔ k w ɛ
abesquiqe|a  b ˈeː  ɛ  ˈɛ s  k w ˈuː  ˈuː  ˈiː  k w ˈuː  ɛ
abessiquinpaoximanoc|a b ɛ s s ɪ k w ɪ n p a ɔ k s ˈɪ m a n ɔ k
abessqueil|a b ˈɛ s s k w ɛ ɪ l
abestepus|a b ˈɛ s t ɛ p ʊ s
abet|ˈa b ɛ t
abetanteseetere|a b ɛ t a n t ɛ s ɛ ˈɛ t ɛ r ɛ
abetberba|a b ɛ t b ˈɛ r b a
abetcomtentus|a b ɛ t k ɔ m t ˈɛ n t ʊ s
abetdum|a b ˈɛ t d ʊ m 
abetedesidratorescosladtiunis|a b ɛ t ɛ d ɛ s ɪ d  r a t ɔ r ɛ s k ɔ s l a d t ˈɪ  ʊ n ɪ s
abetedonma|a b ɛ t ɛ d ˈɔ n m a
abetern|ˈa b ɛ t ɛ r n
abeteserbustums|a b ɛ t ɛ s ɛ r b ˈʊ s t ʊ m s
abetexternm|a b ɛ t ˈɛ k s t ɛ r n m
abetinnobis|a b ɛ t ˈɪ n n ɔ b ɪ s
abetisnet|a b ɛ t ˈɪ s n ɛ t
abetnece|a b ˈɛ t n ɛ k ɛ
abetomiainombusqui|a b ɛ t ɔ m ɪ  a ɪ n ɔ m b ˈʊ s k w ɪ 
abetominsecundumssuambolutate|a b ɛ t ɔ m ɪ n s ɛ k ʊ n d ʊ m s s ʊ a m b ɔ l ˈʊ t a t ɛ
abetpenam|a b ˈɛ t p ɛ n a m
abettrbulad|a b ˈɛ tː  r b ʊ l a d
abetufidus|a b ɛ t ˈʊ f ɪ d ʊ s
abetur|ˈa b ɛ t ʊ r
abeu|ˈa b ɛʊ
abeuaembulup|a b ɛʊ ˈaɪ m b ʊ l ʊ p
abeugis|a b ˈɛʊ ɡ ɪ s
abhalis|ˈa b h a l ɪ s
abi|ˈa b ɪ 
abia|ˈa b ɪ  a
abiaessesens|a b ɪ  ˈaɪ s s ɛ s ɛ n s
abibireit|a b ɪ b ˈɪ r ɛ ɪ t
abibnt|ˈa b ɪ b n t
abibonm|ˈa b ɪ b ɔ n m
abibpso|a b ˈɪ b p s ɔ
abibsennoque|a b ɪ b s ˈɛ n n ɔ k w ɛ
abidesmumtersi|a b ɪ d ɛ s m ʊ m t ˈɛ r s ɪ
abidibus|a b ˈɪ d ɪ b ʊ s
abileestcomnirlidiosou|a b ɪ l ɛ ɛ s t k ɔ m n ɪ r l ɪ d ɪ  ˈɔ s ɔ ʊ
abilere|a b ˈɪ l ɛ r ɛ
abilibus|a b ˈɪ l ɪ b ʊ s
abilidilexsiunisdulegne|a b ɪ l ɪ d ɪ l ɛ k s s ɪ  ʊ n ɪ s d ʊ l ˈɛ ŋ n ɛ
abilnaquadoque|a b ɪ l n a k w ˈa d ɔ k w ɛ
abinesitsuperteram|a b ɪ n ɛ s ɪ t s ʊ p ˈɛ r t ɛ r a m
abinsindummet|a b ɪ n s ɪ n d ˈʊ m m ɛ t
abintra|a b ˈɪ n t  r a
abinumerisut|a b ɪ n ʊ m ˈɛ r ɪ s ʊ t
abinuscumis|a b ɪ n ˈʊ s k ʊ m ɪ s
abiocoqueri|a b ɪ  ɔ k ˈɔ k w ɛ r ɪ 
abioenmetesacrmintubere|a b ɪ  ɔɪ n m ɛ t ɛ s a k  r m ɪ n t ˈʊ b ɛ r ɛ
abiohadetecu|a b ɪ  ɔ h a d ˈɛ t ɛ k ʊ
abipsis|a b ˈɪ p s ɪ s
abirenulis|a b ɪ r ˈɛ n ʊ l ɪ s
abiri|ˈa b ɪ r ɪ
abis|ˈa b ɪ s
abisaisdetatstalsformat|a b ɪ s a ɪ s d ɛ t a t s t a l s f ˈɔ r m a t
abisalma|a b ɪ s ˈa l m a
abisdetsememidia|a b ɪ s d ɛ t s ɛ m ɛ m ˈɪ d ɪ  a
abise|ˈa b ɪ s ɛ
abiseminma|a b ɪ s ɛ m ˈɪ n m a
abisere|a b ˈɪ s ɛ r ɛ
abisereet|a b ɪ s ˈɛ r ɛ ɛ t
abisimus|a b ˈɪ s ɪ m ʊ s
abisis|ˈa b ɪ s ɪ s
abisquitedeteloquantur|a b ɪ s k w ɪ t ɛ d ɛ t ɛ l ɔ k w ˈa n t ʊ r
abistemtasiprobenit|a b ɪ s t ɛ m t a s ɪ p  r ˈɔ b ɛ n ɪ t
abita|ˈa b ɪ t a
abitandipraesetum|a b ɪ t a n d ɪ p  r ˈaɪ s ɛ t ʊ m
abitaqulocordis|a b ɪ t a k w l ɔ k ˈɔ r d ɪ s
abitar|ˈa b ɪ t a r
abitare|a b ˈɪ t a r ɛ 
abitaretecum|a b ɪ t a r ˈɛ t ɛ k ʊ m
abitarietur|a b ɪ t a r ˈɪ  ɛ t ʊ r
abitastiutua|a b ɪ t a s t ɪ  ˈʊ t ʊ a
abitcaru|a b ˈɪ t k a r ʊ
abitcostas|a b ɪ t k ˈɔ s t a s
abiterequieis|a b ɪ t ɛ r ɛ k w ˈɪ  ɛ ɪ s
abitersensi|a b ɪ t ɛ r s ˈɛ n s ɪ
abithuna|a b ˈɪ tʰ ʊ n a 
abitra|ˈa b ɪ t  r a
abitsis|a b ˈɪ t s ɪ s
abitumint|a b ˈɪ t ʊ m ɪ n t
abitus|ˈa b ɪ t ʊ s
abla|ˈa b l a
ablatexstimoris|a b l a t ɛ k s s t ˈɪ m ɔ r ɪ s
ablcoslatsionn|a b l k ɔ s l ˈa t s ɪ  ɔ n n
abli|ˈa b l ɪ
ablis|ˈa b l ɪ s
ablns|ˈa b l n s 
ablus|ˈa b l ʊ s
abmolindinumortus|a b m ɔ l ɪ n d ɪ n ʊ m ˈɔ r t ʊ s 
abnedestemitisu|a b n ɛ d ɛ s t ɛ m ˈɪ t ɪ s ʊ
abneg|ˈa b n ɛ ɡ 
abnegareeteccristumimitaride|a b n ɛ ɡ a r ɛ ɛ t ɛ kː  r ɪ s t ʊ m ɪ m ɪ t ˈa r ɪ d ɛ
abnegaresemetipsumsi|a b n ɛ ɡ a r ɛ s ɛ m ɛ t ɪ p s ˈʊ m s ɪ
abnegatsonea|a b n ɛ ɡ a t s ˈɔ n ɛ a
abnes|ˈa b n ɛ s
abngatemitipsu|a b ŋ ɡ a t ɛ m ɪ t ˈɪ p s ʊ
abnonnuliscitaibus|a b n ɔ n n ʊ l ɪ s k ɪ t ˈa ɪ b ʊ s
aboad|ˈa b ɔ a d
abob|ˈa b ɔ b
aboin|ˈa b ɔ ɪ n
abomibus|a b ˈɔ m ɪ b ʊ s
abominbus|a b ɔ m ˈɪ n b ʊ s
abominbuss|a b ɔ m ˈɪ n b ʊ s s
abominepossit|a b ɔ m ɪ n ɛ p ˈɔ s s ɪ t
abomlibus|a b ˈɔ m l ɪ b ʊ s 
abomnbus|a b ˈɔ m n b ʊ s
abomnibus|a b ˈɔ m n ɪ b ʊ s
abomnicreaturains|a b ɔ m n ɪ k  r ɛ a t ˈʊ r a ɪ n s
abomniinurdinatuo|a b ɔ m n ɪ ʔ ɪ n ʊ r d ɪ n ˈa t ʊ ɔ
abomniptente|a b ɔ m n ɪ p t ˈɛ n t ɛ
abomnispesiemaledeclin|a b ɔ m n ɪ s p ɛ s ɪ  ɛ m a l ˈɛ d ɛ k l ɪ n 
aboncristifidelns|a b ɔ ŋ k  r ɪ s t ˈɪ f ɪ d ɛ l n s
aboomnibus|a b ɔ ˈɔ m n ɪ b ʊ s
aboomnitempor|a b ɔ ɔ m n ɪ t ˈɛ m p ɔ r
abora|ˈa b ɔ r a
aboret|ˈa b ɔ r ɛ t
aborominibus|a b ɔ r ɔ m ˈɪ n ɪ b ʊ s
aborpaelitensian|a b ɔ r p aɪ l ɪ t ˈɛ n s ɪ  a n
abpuotistatistrannenumpossulare|a b p ʊ ɔ t ɪ s t a t ɪ s t  r a n n ɛ n ʊ m p ɔ s s ˈʊ l a r ɛ
abrelus|ˈa b  r ɛ l ʊ s
abrit|ˈa b  r ɪ t
abrosian|a b  r ˈɔ s ɪ  a n
abrt|ˈa b  r t
abscedat|ˈa b s k ɛ d a t
abscoditus|a b s k ˈɔ d ɪ t ʊ s
absedebanis|a b s ɛ d ˈɛ b a n ɪ s
absente|a b s ˈɛ n t ɛ
absili|ˈa b s ɪ l ɪ
absit|ˈa b s ɪ t
absolutus|a b s ˈɔ l ʊ t ʊ s 
absortaestomnis|a b s ɔ r t aɪ s t ˈɔ m n ɪ s 
absque|ˈa b s k w ɛ
absqueomnis|a b s k w ɛ ˈɔ m n ɪ s 
absqueula|a b s k w ˈɛʊ l a
abssentiumf|a b s s ˈɛ n t ɪ  ʊ m f
abssi|ˈa b s s ɪ
abstaitanotis|a b s t a ɪ t ˈa n ɔ t ɪ s
abstine|ˈa b s t ɪ n ɛ 
abstineinsiea|a b s t ɪ n ɛ ɪ n s ˈɪ  ɛ a
abstractebibunt|a b s t  r a k t ˈɛ b ɪ b ʊ n t
abstraetus|a b s t  r ˈaɪ t ʊ s
absuberborum|a b s ʊ b ˈɛ r b ɔ r ʊ m 
absuebis|a b s ˈʊ ɛ b ɪ s
abt|ˈa b t
abta|ˈa b t a 
abtasecmadeliberation|a b t a s ɛ k m a d ɛ l ɪ b ɛ r ˈa t ɪ  ɔ n
abtat|ˈa b t a t 
abtatorsufiumerimus|a b t a t ɔ r s ʊ f ɪ  ʊ m ˈɛ r ɪ m ʊ s
abtis|ˈa b t ɪ s
abtprote|ˈa b t p  r ɔ t ɛ
abtrmiciba|a b t  r m ˈɪ k ɪ b a
abtur|ˈa b t ʊ r
abturadcusuasonsumans|a b t ʊ r a d k ʊ s ʊ a s ˈɔ n s ʊ m a n s
abturde|a b t ˈʊ r d ɛ
abturet|ˈa b t ʊ r ɛ t
abturgratsi|a b t ʊ r ɡ  r ˈa t s ɪ
abturinaliud|a b t ʊ r ɪ n ˈa l ɪ  ʊ d
abturpauperclumndomic|a b t ʊ r p aʊ p ɛ r k l ˈʊ m n d ɔ m ɪ k 
abturtibisiensielume|a b t ʊ r t ɪ b ɪ s ɪ  ɛ n s ɪ  ˈɛ l ʊ m ɛ
abueritbirtutammanamete|a b ʊ ɛ r ɪ t b ɪ r t ʊ t a m m a n ˈa m ɛ t ɛ 
abuerump|a b ˈʊ ɛ r ʊ m p
abueruttales|a b ʊ ɛ r ˈʊ tː a l ɛ s
abuetequiescm|a b ʊ ɛ t ˈɛ k w ɪ  ɛ s k m
abuicet|a b ˈʊ ɪ k ɛ t
abuiet|a b ˈʊ j j ɛ t
abuinterimin|a b ʊ ɪ n t ˈɛ r ɪ m ɪ n
abuita|a b ˈʊ ɪ t a
abuitpriapum|a b ʊ ɪ t p  r ˈɪ  a p ʊ m
abul|ˈa b ʊ l
abulante|a b ʊ l ˈa n t ɛ
abulis|ˈa b ʊ l ɪ s
abulisnminatimratofextaeratqe|a  b ˈeː  ˈuː  ˈɛ l  ˈiː  ˈɛ s  ˈɛ n  ˈɛ m  ˈiː  ˈɛ n  a  t ˈeː  ˈiː  ˈɛ m  ˈɛ ɹ  a  t ˈeː  ˈoː  ˈɛ f  ɛ  ˈɛ k s  t ˈeː  a  ɛ  ˈɛ ɹ  a  t ˈeː  k w ˈuː  ɛ
abunibersis|a b ʊ n ɪ b ˈɛ r s ɪ s
aburesertamed|a b ʊ r ɛ s ˈɛ r t a m ɛ d
aburis|ˈa b ʊ r ɪ s
aburit|ˈa b ʊ r ɪ t
abus|ˈa b ʊ s 
abustiissibsecaesar|a b ʊ s t ɪ ʔ ɪ s s ɪ b s ɛ k ˈaɪ s a r
abut|ˈa b ʊ t
abutadat|a b ˈʊ t a d a t
abutibippro|a b ʊ t ɪ b ˈɪ pː  r ɔ
abutomieiterior|a b ʊ t ɔ m ɪ  ɛ ɪ t ˈɛ r ɪ  ɔ r
abutrigint|a b ˈʊ t  r ɪ ɡ ɪ n t
ac|ˈa k
acaaute|a k a ˈaʊ t ɛ
acaesernme|a k aɪ s ˈɛ r n m ɛ
acaesri|a k ˈaɪ s  r ɪ
acaleis|a k ˈa l ɛ ɪ s 
acamataidus|a k a m a t ˈa ɪ d ʊ s
acamiserabita|a k a m ɪ s ɛ r ˈa b ɪ t a
acarmibusmoresolitohomnesab|a k a r m ɪ b ʊ s m ɔ r ɛ s ɔ l ɪ t ɔ h ˈɔ m n ɛ s a b 
acasolistus|a k a s ɔ l ˈɪ s t ʊ s
acastaescipsiobouosisasosietatelibibos|a k a s t aɪ s k ɪ p s ɪ  ɔ b ɔ w ɔ s ɪ s a s ɔ s ɪ  ɛ t a t ɛ l ˈɪ b ɪ b ɔ s 
acat|ˈa k a t
acbalemiseriarmocurut|a k b a l ɛ m ɪ s ɛ r ɪ  a r m ˈɔ k ʊ r ʊ t 
acbi|ˈa k b ɪ
acbita|ˈa k b ɪ t a
acbonitatmcum|a k b ɔ n ɪ t ˈa t m k ʊ m 
accasecifitasistedluctumor|a kː a s ɛ k ɪ f ɪ t a s ɪ s t ɛ d l ˈʊ k t ʊ m ɔ r
accedrei|a kː ˈɛ d  r ɛ ɪ
accepi|ˈa kː ɛ p ɪ
accomclusi|a kː ˈɔ m k l ʊ s ɪ
accomitate|a kː ɔ m ˈɪ t a t ɛ
accomunioneinaesuaddtomnumeum|a kː ɔ m ʊ n ɪ  ɔ n ɛ ɪ n aɪ s ʊ a dː t ˈɔ m n ʊ m ɛʊ m
acconur|ˈa kː ɔ n ʊ r 
accuram|ˈa kː ʊ r a m
acdecorisexdiniationet|a k d ɛ k ɔ r ɪ s ɛ k s d ɪ n ɪ  a t ˈɪ  ɔ n ɛ t
acdefatgtion|a k d ɛ f ˈa t ɡ t ɪ  ɔ n
acdeo|ˈa k d ɛ ɔ
acdeototus|a k d ɛ ˈɔ t ɔ t ʊ s
acdeploratis|a k d ɛ p l ˈɔ r a t ɪ s
acdibinelaudis|a k d ɪ b ɪ n ɛ l ˈaʊ d ɪ s
acdisenduminomir|a k d ɪ s ɛ n d ʊ m ˈɪ n ɔ m ɪ r 
acductusbelumsus|a k d ʊ k t ʊ s b ɛ l ˈʊ m s ʊ s
ace|ˈa k ɛ
aceatrensibat|a k ɛ a t  r ˈɛ n s ɪ b a t
acedenad|a k ˈɛ d ɛ n a d
acederitt|a k ˈɛ d ɛ r ɪ tː
acedns|ˈa k ɛ d n s
acegratie|a k ɛ ɡ  r ˈa t ɪ  ɛ
aceminm|ˈa k ɛ m ɪ n m 
aceormas|a k ɛ ˈɔ r m a s
acepites|a k ˈɛ p ɪ t ɛ s
aceptis|a k ˈɛ p t ɪ s
aceptucomit|a k ɛ p t ˈʊ k ɔ m ɪ t
acereqiamqueas|a  k ˈeː  ɛ  ˈɛ ɹ  ɛ  k w ˈuː  ˈiː  a  ˈɛ m  k w ˈuː  ˈuː  ɛ  a  ˈɛ s
acesiitat|a k ɛ s ˈɪ ʔ ɪ t a t
acesit|ˈa k ɛ s ɪ t
acesitecimquodilapars|a k ɛ s ɪ t ɛ k ɪ m k w ɔ d ˈɪ l a p a r s
acestenm|a k ˈɛ s t ɛ n m 
aceteilo|a k ɛ t ˈɛ ɪ l ɔ
acetis|ˈa k ɛ t ɪ s
acettormreginaeausus|a k ɛ tː ɔ r m  r ɛ ɡ ɪ n aɪ ˈaʊ s ʊ s
acetutiissima|a k ɛ t ʊ t ɪ ʔ ˈɪ s s ɪ m a
acfamecrusiabuntu|a k f a m ɛ k  r ʊ s ɪ  a b ˈʊ n t ʊ
acferbentibolut|a k f ɛ r b ɛ n t ˈɪ b ɔ l ʊ t
acfeseritisocquli|a k f ɛ s ɛ r ɪ t ɪ s ˈɔ k k w l ɪ
acgimstituta|a k ɡ ɪ m s t ˈɪ t ʊ t a
acgratsie|a k ɡ  r ˈa t s ɪ  ɛ 
acia|ˈa k ɪ  a
aciamoomia|a k ɪ  a m ɔ ˈɔ m ɪ  a
aciamudomiacodaopiionemacierent|a k ɪ  a m ʊ d ɔ m ɪ  a k ɔ d a ɔ p ɪ ʔ j j ɔ n ɛ m a k ˈɪ  ɛ r ɛ n t
acibis|ˈa k ɪ b ɪ s
acid|ˈa k ɪ d
acidebadquodsuos|a k ɪ d ɛ b a d k w ˈɔ d s ʊ ɔ s
acider|ˈa k ɪ d ɛ r
acides|ˈa k ɪ d ɛ s
acidit|ˈa k ɪ d ɪ t
aciemeiniluicumpofetushessi|a k ɪ  ɛ m ɛ ɪ n ɪ l ʊ ɪ k ʊ m p ɔ f ɛ t ʊ s h ˈɛ s s ɪ
aciericsueui|a k ɪ  ɛ r ɪ k s ʊ ˈɛʊ ɪ
aciessiffieripotestimpatria|a k ɪ  ɛ s s ɪ f f ɪ  ɛ r ɪ p ɔ t ɛ s t ɪ m p ˈa t  r ɪ  a
acifitsum|a k ɪ f ˈɪ t s ʊ m
acilonefentoeuroquenstantecplase|a k ɪ l ɔ n ɛ f ɛ n t ɔɪ ʊ r ɔ k w ɛ n s t a n t ˈɛ k p l a s ɛ
acima|ˈa k ɪ m a
acimas|ˈa k ɪ m a s
acinexsessumintisstare|a k ɪ n ɛ k s s ɛ s s ʊ m ɪ n t ˈɪ s s t a r ɛ
acinmeressistens|a k ɪ n m ɛ r ɛ s s ˈɪ s t ɛ n s
acipe|ˈa k ɪ p ɛ
acipett|ˈa k ɪ p ɛ tː
acipies|a k ˈɪ p ɪ  ɛ s
acipins|ˈa k ɪ p ɪ n s
acipisumaedr|a k ɪ p ˈɪ s ʊ m aɪ d  r
acipsaobedient|a k ɪ p s a ɔ b ˈɛ d ɪ  ɛ n t
acis|ˈa k ɪ s
acisset|a k ˈɪ s s ɛ t
acistibelhomnis|a k ɪ s t ɪ b ɛ l h ˈɔ m n ɪ s 
acit|ˈa k ɪ t
aclacremarubaletibire|a k l a k  r ɛ m a r ʊ b a l ɛ t ˈɪ b ɪ r ɛ 
aclonguiis|a k l ˈɔ ŋ ɡ w ɪ  ɪ s
aclumpertinensi|a k l ʊ m p ɛ r t ɪ n ˈɛ n s ɪ
