$|d ˈo l a
31ole|θ ˌe l e θ ˈi n i  n a m ˈo ɟ a  ˈo l e
32|θ ˌe l e θ ˈi n i  n a  m b ˈi l i
33|θ ˌe l e θ ˈi n i  n a t ˈa t u
34|θ ˌe l e θ ˈi n i  n a ˈn̩ n e
3400|ˌe l f u t ˈa t u m ˌi a ˈn̩ n e
34karibuni|θ ˌe l e θ ˈi n i  n a ˈn̩ n e  k ˌa r i b ˈu n i
35|θ ˌe l e θ ˈi n i  n a t ˈa n o
35nyika|θ ˌe l e θ ˈi n i  n a t ˈa n o ɲ ˈi k a
36|θ ˌe l e θ ˈi n i  n a s ˈi t a
37|θ ˌe l e θ ˈi n i  n a s ˈa b a
37ikawa|θ ˌe l e θ ˈi n i  n a s ˈa b a  i k ˈa w a
38|θ ˌe l e θ ˈi n i  n a n ˈa n e
39|θ ˌe l e θ ˈi n i  n a t ˈi s a
3basi|t ˈa t u b ˈa s i
3enyi|t ˈa t u  ˈe ɲ i
3kwa|t ˈa t u k w a
3mwaka|t ˈa t u  m w ˈa k a
3mwananguusiisahau|t ˈa t u  m w ˌa n a ŋ ɡ ˌu u s ˌi i s a h ˈa u
4|ˈn̩ n e
40|ˌa r o b a ˈi n i
400|m ˌi a ˈn̩ n e
41|ˌa r o b a ˈi n i  n a m ˈo ɟ a
41nyamazeni|ˌa r o b a ˈi n i  n a m ˈo ɟ a ɲ ˌa m a z ˈe n i
42|ˌa r o b a ˈi n i  n a  m b ˈi l i
42tazama|ˌa r o b a ˈi n i  n a  m b ˈi l i t a z ˈa m a
43|ˌa r o b a ˈi n i  n a t ˈa t u
44|ˌa r o b a ˈi n i  n a ˈn̩ n e
44lakini|ˌa r o b a ˈi n i  n a ˈn̩ n e l a k ˈi n i
45|ˌa r o b a ˈi n i  n a t ˈa n o
46|ˌa r o b a ˈi n i  n a s ˈi t a
47|ˌa r o b a ˈi n i  n a s ˈa b a
48|ˌa r o b a ˈi n i  n a n ˈa n e
49|ˌa r o b a ˈi n i  n a t ˈi s a
4basi|ˈn̩ n e b ˈa s i
4ikawa|ˈn̩ n e  i k ˈa w a
4kisha|ˈn̩ n e  k ˈi ʃ a
4lakini|ˈn̩ n e l a k ˈi n i
4na|ˈn̩ n e n a
4wanangu|ˈn̩ n e w a n ˈa ŋ ɡ u
5|t ˈa n o
50|h a m s ˈi n i
51|h a m s ˈi n i  n a m ˈo ɟ a
514|m ˌi a t ˈa n o k ˈu m i  n a ˈn̩ n e
52|h a m s ˈi n i  n a  m b ˈi l i
5200|ˌe l f u t ˈa n o m ˌi a  m b ˈi l i
53|h a m s ˈi n i  n a t ˈa t u
54|h a m s ˈi n i  n a ˈn̩ n e
55|h a m s ˈi n i  n a t ˈa n o
56|h a m s ˈi n i  n a s ˈi t a
57|h a m s ˈi n i  n a s ˈa b a
58|h a m s ˈi n i  n a n ˈa n e
5hiki|t ˈa n o h ˈi k i
5ikawa|t ˈa n o  i k ˈa w a
5jitunze|t ˈa n o ɟ i t ˈu n z e
5katika|t ˈa n o  k a t ˌi k a
5na|t ˈa n o n a
6|s ˈi t a
60|s i t ˈi n i
61|s i t ˈi n i  n a m ˈo ɟ a
62|s i t ˈi n i  n a  m b ˈi l i
64|s i t ˈi n i  n a ˈn̩ n e
65|s i t ˈi n i  n a t ˈa n o
66|s i t ˈi n i  n a s ˈi t a
6basi|s ˈi t a b ˈa s i
6ikawa|s ˈi t a  i k ˈa w a
6katika|s ˈi t a  k a t ˌi k a
6ndugu|s ˈi t a n d ˈu ɡ u
6una|s ˈi t a  ˈu n a
7|s ˈa b a
7alipokwisha|s ˈa b a  ˌa l i p o k w ˈi ʃ a
7bwana|s ˈa b a b w ˈa n a
7hata|s ˈa b a h ˌa t a
7heri|s ˈa b a h ˈe r i
7mwanangu|s ˈa b a  m w a n ˈa ŋ ɡ u
7ndugu|s ˈa b a n d ˈu ɡ u
8|n ˈa n e
80|θ ˌe m a n ˈi n i
8bwana|n ˈa n e b w ˈa n a
8hata|n ˈa n e h ˌa t a
8ikawa|n ˈa n e  i k ˈa w a
8je|n ˈa n e ɟ ˈe
8na|n ˈa n e n a
8ni|n ˈa n e n ˈi
8sasa|n ˈa n e s ˈa s a
9|t ˈi s a
90|t i s ˈi n i
9basi|t ˈi s a b ˈa s i
9hekima|t ˈi s a h e k ˈi m a
9mungu|t ˈi s a  m ˈu ŋ ɡ u
9na|t ˈi s a n a
9nasema|t ˈi s a n a s ˈe m a
a|ˈa
a4|ˈa  ˈn̩ n e
aachaye|ˌa a tʃ ˈa j e
aache|a ˈa tʃ e
aachiwe|ˌa a tʃ ˈi w e
aadhibiwapo|ˌa a ð ˌi b i w ˈa p o
aadhimishaye|ˌa a ð ˌi m i ʃ ˈa j e
aahirishe|ˌa a h i r ˈi ʃ e
aaibishaye|ˌa a ˌi b i ʃ ˈa j e
aama|a ˈa m a
aambatanaye|ˌa a m b ˌa t a n ˈa j e
aambiwacho|ˌa a m b i w ˈa tʃ o
aaminiye|ˌa a m i n ˈi j e
aamkapo|ˌa a m  k ˈa p o
aandamaye|ˌa a n d a m ˈa j e
aandikwe|ˌa a n d ˈi k w e
aangaliavyo|ˌa a ŋ ɡ ˌa l i ˈa v j o
aangaliaye|ˌa a ŋ ɡ ˌa l i ˈa j e
aangalie|ˌa a ŋ ɡ a l ˈi e
aangamie|ˌa a ŋ ɡ a m ˈi e
aangikwaye|ˌa a ŋ ɡ i k w ˈa j e
aangukapo|ˌa a ŋ ɡ u k ˈa p o
aangukaye|ˌa a ŋ ɡ u k ˈa j e
aanguke|ˌa a ŋ ɡ ˈu k e
aanze|a ˈa n z e
aapaye|ˌa a p ˈa j e
ab|ˈa b
aba|ˈa b a
ababa|a b ˈa b a
abadani|ˌa b a d ˈa n i
abaha|a b ˈa h a
abakine|ˌa b a k ˈi n e
abakira|ˌa b a k ˈi r a
abalenchoka|ˌa b a l ˌe n̩ tʃ ˈo k a
abamera|ˌa b a m ˈe r a
abangoreme|ˌa b a ŋ ɡ o r ˈe m e
abanyancha|ˌa b a ɲ a ˈn̩ tʃ a
abarieri|ˌa b a r i ˈe r i
abarikiwe|ˌa b a r i k ˈi w e
abarikiye|ˌa b a r i k ˈi j e
abb|ˈa b b
abbedissa|ˌa b b e d ˈi s s a
abdallah|a b d ˈa l l a h
abdirahman|ˌa b d i r ˈa h m a n
abdulazizi|ˌa b d u l a z ˈi z i
abdullah|a b d ˈu l l a h
abdulrahman|ˌa b d u l  r ˈa h m a n
abebe|a b ˈe b e
abed|ˈa b e d
abedi|a b ˈe d i
abeid|a b ˈe i d
abelin|a b ˈe l i n
abf|ˈa b f
abhaghekoyo|ˌa b h a ɣ e k ˈo j o
abhaghusii|ˌa b h a ɣ u s ˈi i
abhaha|a b h ˈa h a
abiathari|ˌa b i a θ ˈa r i
abieli|ˌa b i ˈe l i
abigaili|ˌa b i ɡ a ˈi l i
abilene|ˌa b i l ˈe n e
abimaeli|ˌa b i m a ˈe l i
abimeleki|ˌa b i m e l ˈe k i
abinadabu|ˌa b i n a d ˈa b u
abingirishaye|ˌa b i ŋ ɡ ˌi r i ʃ ˈa j e
abiria|ˌa b i r ˈi a
abishai|ˌa b i ʃ ˈa i
abishaye|ˌa b i ʃ ˈa j e
abiya|a b ˈi j a
abneri|a b n ˈe r i
abomoaye|ˌa b o m o ˈa j e
abort|ˈa b o r t
aboud|a b ˈo u d
abraham|a b  r ˈa h a m
abrakadabra|ˌa b  r a k a d ˈa b  r a
abramovic|ˌa b  r a m ˈo v i k
abramu|a b  r ˈa m u
absolut|a b s ˈo l u t
abstinenssymtomet|ˌa b s t i n e n s s j  m t ˈo m e t
absurdare|ˌa b s u r d ˈa r e
abuni|a b ˈu n i
abushiri|ˌa b u ʃ ˈi r i
abysinia|ˌa b j s i n ˈi a
acacia|ˌa k a k ˈi a
academy|a k ˈa d e m j
acc|ˈa k k
acceleration|ˌa k k e l ˌe r a t ˈi o n
accelerator|ˌa k k e l e r ˈa t o r
accent|ˈa k k e n t
acceptera|ˌa k k e p t ˈe r a
accepterar|ˌa k k e p t ˈe r a r
accepteras|ˌa k k e p t ˈe r a s
accra|ˈa k k  r a
acha|ˈa tʃ a
achague|ˌa tʃ a ɡ ˈu e
achechemeaye|ˌa tʃ e tʃ ˌe m e ˈa j e
acheni|a tʃ ˈe n i
achezaye|ˌa tʃ e z ˈa j e
acheze|a tʃ ˈe z e
achilieni|ˌa tʃ i l i ˈe n i
achimbaye|ˌa tʃ i m b ˈa j e
achinjaye|ˌa tʃ i ɲ ɟ ˈa j e
achiwa|a tʃ ˈi w a
achocheavyo|ˌa tʃ o tʃ e ˈa v j o
achokaye|ˌa tʃ o k ˈa j e
achovye|a tʃ ˈo v j e
achukiaye|ˌa tʃ u k i ˈa j e
achumaye|ˌa tʃ u m ˈa j e
achungaye|ˌa tʃ u ŋ ɡ ˈa j e
achunguze|ˌa tʃ u ŋ ɡ ˈu z e
achunguzwe|ˌa tʃ u ŋ ɡ ˈu z w e
ack|ˈa k k
ackusativ|ˌa k  k u s ˈa t i v
acrylplyschers|ˈa k r j l p l j s tʃ e r s
actinvest|a k t ˈi n v e s t
actionspel|ˌa k t i ˈo n s p e l
active|a k t ˈi v e
ada|ˈa d a
adabu|a d ˈa b u
adabumwanangu|ˌa d a b ˌu m w a n ˈa ŋ ɡ u
adaiye|ˌa d a ˈi j e
adam|ˈa d a m
adams|ˈa d a m s
adamu|a d ˈa m u
adaptivt|a d ˈa p t i v t
addis|ˈa d d i s
adebayor|ˌa d e b ˈa j o r
adekvat|a d ˈe k v a t
adeln|ˈa d e l n
ademir|a d ˈe m i r
adenuga|ˌa d e n ˈu ɡ a
adesi|a d ˈe s i
adh|ˈa ð
adha|ˈa ð a
adhabu|a ð ˈa b u
adhama|a ð ˈa m a
adhihirishe|ˌa ð i h i r ˈi ʃ e
adhimisho|ˌa ð i m ˈi ʃ o
adhuhuri|ˌa ð u h ˈu r i
adi|ˈa d i
adidas|a d ˈi d a s
adili|a d ˈi l i
adilikuwapa|ˌa d i l ˌi k u w ˈa p a
adimu|a d ˈi m u
adini|a d ˈi n i
adjö|ˈa d ɟ o
adma|ˈa d m a
adolf|ˈa d o l f
adolf_andersohnsgatan|ˈa d o l f ˌa n d e r s o h n s ɡ ˈa t a n
adolphson|a d ˈo l p h s o n
adoptera|ˌa d o p t ˈe r a
adrameleki|ˌa d  r a m e l ˈe k i
adrenalinkickar|ˌa d  r e n ˌa l i ŋ  k ˈi k k a r
adressen|a d  r ˈe s s e n
adresser|a d  r ˈe s s e r
adrieli|ˌa d  r i ˈe l i
adui|a d ˈu i
adulamu|ˌa d u l ˈa m u
adumu|a d ˈu m u
advokaten|ˌa d v o k ˈa t e n
advokaterna|ˌa d v o k a t ˈe r n a
advox|ˈa d v o k s
aenda|a ˈe n d a
aendapo|ˌa e n d ˈa p o
aendavyo|ˌa e n d ˈa v j o
aendaye|ˌa e n d ˈa j e
aende|a ˈe n d e
aerodynamiskt|ˌa e r o d j n ˈa m i s k t
af|ˈa f
afadhaike|ˌa f a ð a ˈi k e
afadhali|ˌa f a ð ˈa l i
afahamuye|ˌa f a h a m ˈu j e
afanana|ˌa f a n ˈa n a
afande|a f ˈa n d e
afanikiwe|ˌa f a n i k ˈi w e
afanya|a f ˈa ɲ a
afanyapo|ˌa f a ɲ ˈa p o
afanyavyo|ˌa f a ɲ ˈa v j o
afanyaye|ˌa f a ɲ ˈa j e
afanye|a f ˈa ɲ e
afapo|a f ˈa p o
afaye|a f ˈa j e
afe|ˈa f e
afeki|a f ˈe k i
affischering|ˌa f f i s tʃ ˈe r i ŋ ɡ
affischgudinna|ˌa f f i s tʃ ɡ u d ˈi n n a
affär|ˈa f f a r
affären|a f f ˈa r e n
affärens|a f f ˈa r e n s
affärer|a f f ˈa r e r
affärsbankerna|ˌa f f a r s b a ŋ  k ˈe r n a
affärsbekanta|ˌa f f a r s b e k ˈa n t a
affärsidé|ˌa f f a r s ˈi d e
affärskedjor|ˌa f f a r s  k ˈe d ɟ o r
affärsmodeller|ˌa f f a r s  m o d ˈe l l e r
affärsmässiga|ˌa f f a r s  m a s s ˈi ɡ a
affärsområde|ˌa f f a r s o m  r ˈa d e
affärsresenärerna|ˌa f f a r s  r ˌe s e n a r ˈe r n a
affärsstöd|a f f ˈa r s s t o d
affärsutvecklare|ˌa f f a r s ˌu t v e k  k l ˈa r e
afghanistan|ˌa f ɣ a n ˈi s t a n
afghanska|a f ɣ ˈa n s k a
afia|a f ˈi a
afichaye|ˌa f i tʃ ˈa j e
afika|a f ˈi k a
afikapo|ˌa f i k ˈa p o
afikirie|ˌa f i k i r ˈi e
afikiriye|ˌa f i k i r ˈi j e
afinyangaye|ˌa f i ɲ a ŋ ɡ ˈa j e
afisa|a f ˈi s a
africa|a f  r ˈi k a
african|a f  r ˈi k a n
afrika|a f  r ˈi k a
afrikan|a f  r ˈi k a n
afrikansk|a f  r ˈi k a n s k
afrka|ˈa f r k a
afro|ˈa f  r o
aftonbladet|ˌa f t o n b l ˈa d e t
afuataye|ˌa f u a t ˈa j e
afuate|ˌa f u ˈa t e
afuatiaye|ˌa f u ˌa t i ˈa j e
afukizaye|ˌa f u k i z ˈa j e
afumbaye|ˌa f u m b ˈa j e
afundishaye|ˌa f u n d i ʃ ˈa j e
afundishe|ˌa f u n d ˈi ʃ e
afundishwapo|ˌa f u n d i ʃ w ˈa p o
afunge|a f ˈu ŋ ɡ e
afunguliwe|ˌa f u ŋ ɡ u l ˈi w e
afunikaye|ˌa f u n i k ˈa j e
afunua|ˌa f u n ˈu a
afunuaye|ˌa f u n u ˈa j e
afurahi|ˌa f u r ˈa h i
afurahiaye|ˌa f u r ˌa h i ˈa j e
afurahiye|ˌa f u r a h ˈi j e
afya|ˈa f j a
aga|ˈa ɡ a
agagi|a ɡ ˈa ɡ i
agano|a ɡ ˈa n o
agca|ˈa ɡ k a
agent|ˈa ɡ e n t
agerar|a ɡ ˈe r a r
ageukaye|ˌa ɡ e u k ˈa j e
aggregat|a ɡ ɡ  r ˈe ɡ a t
aggressivt|a ɡ ɡ  r ˈe s s i v t
aggrey|ˈa ɡ ɡ  r e j
aghalabu|ˌa ɣ a l ˈa b u
agizo|a ɡ ˈi z o
aglander|a ɡ l ˈa n d e r
agnes|ˈa ɡ n e s
agosti|a ɡ ˈo s t i
agostino|ˌa ɡ o s t ˈi n o
agrey|ˈa ɡ  r e j
aguaruna|ˌa ɡ u a r ˈu n a
aguri|a ɡ ˈu r i
ah|ˈa h
aha|ˈa h a
ahadi|a h ˈa d i
ahakikishe|ˌa h a k i k ˈi ʃ e
ahamie|ˌa h a m ˈi e
ahangaika|ˌa h a ŋ ɡ a ˈi k a
aharibu|ˌa h a r ˈi b u
ahazi|a h ˈa z i
ahaziusifurahi|ˌa h a z ˌi u s ˌi f u r ˈa h i
ahesabiwaye|ˌa h e s ˌa b i w ˈa j e
ahesabiwe|ˌa h e s a b ˈi w e
ahifadhi|ˌa h i f ˈa ð i
ahimaasi|ˌa h i m a ˈa s i
ahimeleki|ˌa h i m e l ˈe k i
ahimidiwe|ˌa h i m i d ˈi w e
ahinoamu|ˌa h i n o ˈa m u
ahisipo|ˌa h i s ˈi p o
ahitubu|ˌa h i t ˈu b u
ahiya|a h ˈi j a
ahmada|a h  m ˈa d a
ahmed|ˈa h m e d
ahos|ˈa h o s
ahtisaaris|ˌa h t i s a ˈa r i s
ahudhurie|ˌa h u ð u r ˈi e
ahukumu|ˌa h u k ˈu m u
ahusishwe|ˌa h u s ˈi ʃ w e
ai|ˈa i
aiachaye|ˌa i a tʃ ˈa j e
aiangaliaye|ˌa i ˌa ŋ ɡ a l i ˈa j e
aiangamize|ˌa i ˌa ŋ ɡ a m ˈi z e
aibaye|ˌa i b ˈa j e
aibisha|ˌa i b ˈi ʃ a
aibu|a ˈi b u
aibuatamkaye|ˌa i b ˌu a t a m k ˈa j e
aibusu|ˌa i b ˈu s u
aic|ˈa i k
aichunguzaye|ˌa i tʃ ˌu ŋ ɡ u z ˈa j e
aidha|a ˈi ð a
aiendea|ˌa i e n d ˈe a
aifa|a ˈi f a
aifanya|ˌa i f ˈa ɲ a
aifanyayo|ˌa i f a ɲ ˈa j o
aifurahie|ˌa i f ˌu r a h ˈi e
aihifadhiye|ˌa i h ˌi f a ð ˈi j e
aihimize|ˌa i h i m ˈi z e
aihubiri|ˌa i h u b ˈi r i
aijua|ˌa i ɟ ˈu a
aik|ˈa i k
aikazaye|ˌa i k a z ˈa j e
aikijaribu|ˌa i k ˌi ɟ a r ˈi b u
aikosaye|ˌa i k o s ˈa j e
aikuwa|ˌa i k ˈu w a
ailandi|ˌa i l ˈa n d i
ailaze|ˌa i l ˈa z e
ailetapo|ˌa i l e t ˈa p o
ailikuwa|ˌa i l i k ˈu w a
ailime|ˌa i l ˈi m e
ailindaye|ˌa i l i n d ˈa j e
aims|ˈa i m s
aina|a ˈi n a
ainamishwa|ˌa i n a m ˈi ʃ w a
aingiaye|ˌa i ŋ ɡ i ˈa j e
aingie|ˌa i ŋ ɡ ˈi e
aiogopaye|ˌa i ˌo ɡ o p ˈa j e
aionapo|ˌa i o n ˈa p o
aione|ˌa i ˈo n e
aipimaye|ˌa i p i m ˈa j e
aipime|ˌa i p ˈi m e
aipindua|ˌa i p i n d ˈu a
aires|a ˈi r e s
airlines|ˌa i r l ˈi n e s
airwana|ˌa i r w ˈa n a
aisee|ˌa i s ˈe e
aisema|ˌa i s ˈe m a
aishikaye|ˌa i ʃ i k ˈa j e
aishivyo|ˌa i ʃ ˈi v j o
aisikie|ˌa i s i k ˈi e
aiskrimu|ˌa i s  k  r ˈi m u
aitangazaye|ˌa i t ˌa ŋ ɡ a z ˈa j e
aitawalaye|ˌa i t ˌa w a l ˈa j e
aitaye|ˌa i t ˈa j e
aitetemeshe|ˌa i t ˌe t e m ˈe ʃ e
aitii|ˌa i t ˈi i
aitiiye|ˌa i t i ˈi j e
