aachen|AA K EH0 N
begå|B AH0 G OW0
behov|B EH HH UW V
beige|B EH
bekant|B AH0 K AE N T
belgien|B EH L G IH EH N
ben|B EH0 N
berg|B EH RRR Y
bergand|B EH R Y AE N D
bergen|B EH RRR Y EH N
bergens|B EH RRR Y EH N S
berget|B EH RRR Y EH T
bergets|B EH RRR Y EH T S
bergs|B EH RRR Y S
bergsångare|B EH RRR Y S AO NG AE RRR EH
bergtajgasångare|B EH RRR Y T AE Y G AE S AO NG AE RRR EH
bergtita|B EH R Y T IY T AE
berguv|B EH RRR Y UW V
berlin|B EH0 RRR L IY N
bert|B AE T
beryllium|B EH RRR L IH UH M
besk|B EH S K
besked|B EH EH0 D
bespisa|B EH0 S P IY S AE
bespisning|B EH S P IY S N IH NG
bestrida|B EH S T RRR IY D AE
besvika|B EH S V IY K AE
besökare|B EH S OE K AE RRR EH
beta|B EH T AA
betala|B EH T AA L AE
bete|B EH T EH0
beteende|B EH T EH0 EH N D EH
betyda|B EH T Y UW1 D AE
betydelse|B EH T Y UW1 D EH L S EH
bi|B IY
bikini|B IH K IY N IH
bil|B IY L
bilist|B IH L IH S T
biljard|B IH L Y AA RRR D
biljon|B IH L Y UW N
bill|B IH L
bilparkering|B IY L P AE RRR K EH0 RRR IH NG
biologi|B IH UH L UH G IY
birgitta|B IH RRR G IH T AE
biskop|B IY S K AO P
bit|B IH T
bits|B IH T S
bitvarg|B IY T V AE RRR Y
biätare|B IY EH T AE RRR EH
bjuda|B Y UW D AE
bjugg|B Y UH G
bjöd|B Y OE D
björn|B Y OE RRR N
blad|B L AA D
blandinaviska|B L AE N D IH N AA V IH S K AE
blandning|B L AE N D N IY NG
blankspola|B L AE NG K S P UW L AE
bleck|B L EH K
blev|B L EH0 V
bli|B L IY
blida|B L IY D AE
block|B L AO K
blod|B L UW D
blodröd|B L UW D RRR OE D
blodtörst|B L UW D T UH SH T
blodtörstig|B L UW D T UH SH T IH G
blogg|B L AO G
blomma|B L UH M AE
blomqvist|B L UH M K V IH S T
blott|B L AO T
bly|B L Y UW1
blyg|B L Y UW1 G
bläck|B L EH K
bläs|B L EH S
bläsand|B L EH S AE N D
bläsgås|B L EH S G OW0 S
blå|B L OW0
blåbär|B L OW0 B EH RRR
blåkråka|B L OW0 K RRR OW0 K AE
blåljus|B L OW0 Y UW S
blåljuscentral|B L OW0 Y UW S S EH0 N T RRR AA L
blåljusfilter|B L OW0 Y UW S F IH L T EH RRR
blåljusfordon|B L OW0 Y UW S F UW RRR D UW N
blåljuspersonal|B L OW0 Y UW S P EH SH UH N AA L
blåst|B L AO S T
blåtand|B L OW0 T AE N D
blått|B L AO T
bo|B UW
boden|B UW D EH N
bodil|B UW D IH L
boel|B UW EH L
bog|B UW G
bok|B UW K
boka|B UW K AE
bokhandel|B UW K HH AE N D EH L
bokstav|B UH K S T AA V
bolaget|B UW L AA G EH T
bon|B UW N
bondska|B UH N D S K AE
boning|B UW N IH NG
bop|B AO P
bor|B UW RRR
bord|B UW D
borde|B UW D AH0
bordsbön|B UW RRR D S B OE N
bordtennis|B UW D T EH N IH S
boren|B UW RRR EH N
bortaplan|B AO RRR T AE P L AA N
bortskänka|B AO RRR T EH NG K EH S
bostad|B UW S T AA D
bot|B AO T
bota|B UW T AE
botar|B UW T AE RRR
bourgeoisie|B AO SH AO AE S IY
bov|B UW V
bra|B RRR AO
braig|B RRR AA IH G
brand|B RRR AE N D
brandskatta|B RRR AE N D S K AE T AE
brasklapp|B RRR AE S K L AE P
bre|B RRR EH0
brev|B RRR EH0 V
brevbärare|B RRR EH0 V B AE RRR AE RRR EH0
brinna|B RRR IH N AE
bris|B RRR IY S
brista|B RRR IH S T AE
bro|B RRR UW
bron|B RRR UW N
brons|B RRR AO N S
bronsibis|B RRR AO N S IY B IH S
bror|B RRR UW RRR
brorsa|B RRR UH SH AE
bros|B RRR UW S
broschyr|B RRR UH Y UW1 RRR
brud|B RRR UW D
brun|B RRR UW N
brunand|B R UW N AE N D
brunch|B RRR UH N
bruno|B RRR UW N UH
brunsenap|B RRR UW N S EH0 N AE P
brunsångare|B RRR UW N S AO NG AE RRR EH
brus|B RRR UW S
brushane|B RRR UW S HH AA N EH
brygd|B RRR G D
bryggd|B RRR G D
brylling|B RRR L IH NG
brytning|B RRR Y UW1 T N IH NG
bröd|B RRR OE D
bröt|B RRR OE T
bu|B UW
bud|B UW D
budgetpromenaden|B UH D Y EH T P RRR UH M EH N AA D EH N
bulle|B UH L EH
bur|B UW RRR
burdus|B UH RRR D UW S
buren|B UW RRR EH N
bus|B UW S
busig|B UW S IH G
busksångare|B UH S K S AO NG AE RRR EH
buss|B UH S
bussarong|B UH S AE RRR AO NG
busstation|B UH S S T AE UW N
bygd|B G D
bygga|B G AE
byling|B Y UW1 L IH NG
byrå|B RRR OW0
byte|B Y UW1 T EH
byxis|B K S IH S
bäckna|B EH K N AE
bältdjur|B EH L T Y UW RRR
bäng|B EH NG
bär|B EH RRR
bärs|B AE RRR S
bärsa|B AE RRR S AE
bävergäll|B EH V EH RRR Y EH L
båda|B OW0 D AE
både|B OW0 D EH
båge|B OW0 G EH
bål|B OW0 L
bår|B OW0 RRR
båt|B OW0 AH0 T
böcker|B OE K AH0 RRR
bödel|B OE D EH L
bög|B OE G
bögig|B OE G IH G
böra|B ER RRR AE
c|S EH0
café|K AE F EH0
californium|K AE L IH F OW0 RRR N IH UH M
calla|K OW0 L AE
calle|K AE L EH
carina|K AE RRR IY N AE
carl|K AA RRR L
carpmes|K AE R P M EH0 S
centimeter|S EH N T IH M EH0 T EH RRR
centralort|S EH N T RRR AA L UH RRR T
cesium|S EH0 S IH UH M
cettisångare|S EH T IH S AO NG AE RRR EH
champagne|AE M P AE N Y
champinjon|AE M P IH N Y UW N
chans|AE NG S
chark|AE RRR K
charkuteri|AE RRR K UH T EH RRR IY
charlie|SH AA L IH
charlotta|AE RRR L OW0 T AE
charlotte|AE L OW0 T
charm|AE RRR M
charmör|AE RRR M RRR
chaufför|AO F ER RRR
check|SH EH K
cheddar|SH EH D AE RRR
chef|EH F
chips|SH IH P S
choklad|UH K L AA D
cineast|S IH N EH0 AE S T
citron|S IH T RRR UW N
clown|K L AE UH N
clownfisk|K L AE UH N F IH S K
container|K AO N T EH Y N EH RRR
cool|K UW L
cowboy|K AE UH B AO Y
croissant|K RRR UH AE S AE NG
cup|K UH P
cyberattack|S Y UW1 B EH RRR AE T AE K
cykel|S K EH0 L
dadel|D AA D EH L
dag|D AA G
dags|D AA G S
dam|D AA M
damm|D AE M
dammsnäppa|D AE M S N EH P AE
dan|D AA N
danmark|D AE N M AE RRR K
dansk|D AE N S K
danska|D AE N S K AE
danskjävel|D AE N S K Y EH V EH L
dativ|D AA T IY V
dator|D AA T UH RRR
de|D IH
december|D EH S EH M B EH RRR
decennium|D EH S EH N IH UH M
decimeter|D EH S IH M EH0 T EH RRR
definition|D EH F IH N IH UW N
deg|D EH0 G
dekameter|D EH K AE M EH0 T EH RRR
dela|D EH0 L AE
dem|D AO M
den|D EH N
denne|D EH N EH
design|D EH S AE Y N
designa|D IH S AE Y N AE
dessa|D EH S AE
dessutom|D EH0 S UW T AO M
det|EH T
detektiv|D EH T EH K T IY V
detta|D EH T AE
dig|D EH Y
digitaliseringsminister|D IH G IH T AE L IH S EH0 RRR IH NG S M IH N IH S T EH RRR
dimmig|D IH M IH G
ding|D IH NG
dirr|D IH RRR
diskrepans|D IH S K RRR EH P AE NG S
diskussion|D IH S K UH UW N
djungel|Y UH NG EH L
djup|Y UW P
djuphav|Y UW P HH AA V
djupt|Y UW P T
djur|Y UW RRR
djärv|Y EH RRR V
djävla|Y EH V L AE
dock|D AO K
dog|D UW G
dogg|D AO G
doktor|D AO K T AO RRR
dom|D UH M
dopparedagen|D AO P AE RRR EH D AA G EH N
dopping|D AO P IH NG
dos|D UW S
dra|D RRR AA
dragen|D RRR AA G EH N
dragon|D RRR AE G UW N
dragspel|D RRR AA G S P EH0 L
drake|D RRR AA K EH
dras|D RRR AA S
dressing|D RRR EH0 S IY NG
dricka|D RRR IH K AE
dricker|D RRR IH K EH0 RRR
drillsnäppa|D RRR IH L S N EH P AE
driva|D RRR IY V AE
drivkraft|D RRR IY V K RRR AE F T
drog|D RRR UW G
drogs|D RRR UW G S
dromedar|D RRR UH M EH D AA RRR
droppen|D RRR AO P EH N
dryg|D RRR Y UW1 G
dränera|D RRR EH N EH0 RRR AE
dräng|D RRR EH NG
dröm|D RRR ER M
drös|D RRR OE S
du|D UW
dubbel|D UH B EH L
dubbelbeckasin|D UH B EH L B EH K AE S IY N
dubbelgångare|D UH B EH L G AO NG AE RRR EH
dubiös|D UH B IH OE S
duk|D UW K
dum|D UH M
dumbom|D UH M B UH M
dumhuvud|D UH M HH UH V UH D
dun|D UW N
dusch|D UH
duscha|D UH AE
dussin|D UH S IH N
dvärg|D V EH RRR Y
dvärgalåt|D V EH RRR Y AE L OW0 T
dvärgbeckasin|D V EH RRR Y B EH K AE S IY N
dvärgkanadagås|D V EH R Y K AE N AE D AE G OW0 S
dvärgmus|D V EH RRR Y M UW S
dvärgmås|D V EH RRR Y M OW0 S
dvärgskarv|D V EH RRR Y S K AE RRR V
dvärgspov|D V EH RRR Y S P UW V
dvärgsumphöna|D V EH R Y S UH M P HH OE N AE
dvärgsångare|D V EH RRR Y S AO NG AE RRR EH
dygna|D NG N AE
dyr|D Y UW1 RRR
dysfori|D Y UW1 S F UW RRR IY
dysterkvist|D S T EH RRR K V IH S T
däka|D EH K AE
där|D EH RRR
då|D OW0
dålig|D OW0 L IH G
dö|D OE
död|D OE D
döda|D OE D AE
dödprat|D OE D P RRR AA T
dölja|D ER L Y AE
e|EH
ed|EH0 D
edvin|EH0 D V IH N
efor|EH0 F OW0 RRR
efter|EH F T EH RRR
eftersom|EH F T AE RRR S AO M
egentlig|EH Y EH NG K L IH G
egentligen|IH Y EH NG K L IH G EH N
egg|EH G
egga|EH G AE
egypten|EH Y P T EH N
einsteinium|AE Y N S T AE Y N IH UH M
ek|EH0 K
ekmes|EH0 K M EH0 S
eko|EH0 K UH
ekollon|EH0 K AO L AO N
eksångare|EH0 K S AO NG AE RRR EH
el|EH0 L
elak|EH0 L AA K
elcykel|EH0 L S K EH L
eld|EH L D
eldar|EH L D AE RRR
eldslandet|EH L D S L AE N D EH T
elefanta|EH L EH F AE N T AE
elegant|EH L EH G AE N T
elektron|EH L EH K T RRR OW0 N
eleonorafalk|EH L EH AO N OW0 RRR AE F AE L K
elfte|EH L F T EH
eller|EH L EH RRR
elva|EH L V AE
emigrant|EH M IH G RRR AE N T
emulera|EH M UH L EH0 RRR AE
en|EH NG
enastående|EH0 N AE S T OW0 EH N D EH
enda|EH N D AE
energi|EH N AH0 RRR IY
enfaldig|EH0 N F AE L D IH G
engagemang|AE NG G AE EH M AE NG
engagera|AE NG G AE EH0 RRR AE
engelska|EH0 NG EH0 L S K AE
england|EH NG L AA N D
enhetlig|EH0 N HH EH0 T L IH G
enkel|EH NG K EH L
enkelbeckasin|EH N K EH L B EH K AE S IY N
ensam|EH N S AE M
ensamhet|EH N S AE M HH EH0 T
entrecôte|AE NG T RRR EH K OW0 T
entré|AE NG T RRR EH0
entusiasm|EH N T UH S IH AE S M
er|EH0 RRR
era|EH0 RRR AE
erbium|EH RRR B IH UH M
erinra|EH0 RRR IH N RRR AE
erkänna|EH0 RRR SH EH N AE
erkänt|EH RRR SH EH N T
errata|EH RRR AA T AE
eskilstuna|EH S K IH L S T UW N AE
esperanto|EH S P AH0 RRR AE N T UH
estniska|EH S T N IH S K AE
ett|EH T
euro|EH RRR UH
europa|EH RRR UW P AE
europium|EH RRR UW P IH UH M
europé|EH RRR UH P EH0
eva|EH0 V AE
evelina|EH V EH L IY N AE
event|EH V EH N T
excel|EH K S EH L
experiment|EH K S P EH RRR IH M EH N T
fabrik|F AE B RRR IY K
fackverk|F AE K V EH RRR K
fader|F AA D EH RRR
falang|F AE L AE NG
falla|F AE L AE
fallskärm|F AE L EH RRR M
falsk|F AE L S K
fan|F EH N
far|F AA RRR
farlig|F AA RRR L IH G
fars|F AA RRR S
fartkamera|F AA T K AA M EH RRR AE
farväl|F AA RRR V EH L
fatabur|F AA T AE B UW RRR
fattig|F AE T IH G
februari|F EH B RRR UH AA RRR IH
fejs|F EH Y S
fem|F EH M
femtal|F EH M T AA L
femte|F EH M T EH
femtio|F EH M T IH UH
femtiöring|F EH M T IH ER RRR IH NG
femton|F EH M T AO N
fena|F EH0 N AE
fest|F EH S T
fet|F EH0 T
fett|F EH T
fia|F IY AE
ficka|F IH K AE
fiende|F IY EH N D EH
fientlig|F IH EH N T L IH G
figur|F IH G UW RRR
fik|F IY K
fika|F IY K AE
fikarast|F IY K AE RRR AE S T
fil|F IY L
filippa|F IH L IH P AE
filippintörnskata|F IH L IH P IY N T OE RRR N S K AA T AE
filmatisera|F IH L M AE T IH S EH0 RRR AE
filmjölk|F IY L M Y ER L K
filosofie|F IH L UH S UH F IY EH
filosofisk|F IH L UH S OW0 F IH S K
fimpa|F IH M P AE
fin|F IY N
final|F IH N AA L
finger|F IH NG EH RRR
fingers|F IH NG EH RRR S
finland|F IH N L AE N D
finna|F IH N AE
finnjävel|F IH N Y EH V EH L
finska|F IH N S K AE
firre|F IH RRR EH
fisk|F IH S K
fiske|F IH S K EH
fisken|F IH S K EH N
fiskens|F IH S K EH N S
fisktärna|F IH S K T UH1 RRR N AE
fission|F IH UW N
fitta|F IH T AE
fittig|F IH T IH G
fjantig|F Y AE N T IH G
fjol|F Y UW L
fjompig|F Y AO M P IH G
fjor|F Y UW RRR
fjord|F Y UW RRR D
fjortis|F Y UW T IH S
fjorton|F Y UH T AO N
fjällabb|F Y EH L L AE B
fjällgås|F Y EH L G OW0 S
fjällpipare|F Y EH L P IY P AE R EH
fjällripa|F Y EH L R IY P AE
fjälluggla|F Y EH L UH G L AE
fjärd|F Y AE D
fjärde|F Y EH RRR D EH
fjäril|F Y EH RRR IH L
fjärt|F Y AE T
flarra|F L AE RRR AE
flata|F L AA T AE
fleece|F L IY S
flicka|F L IH K AE
flickan|F L IH K AE N
flickor|F L IH K UH RRR
flod|F L UW D
flodvåg|F L UW D V OW0 G
flottningsmärke|F L AO T N IH NG S M EH RRR K EH
flummig|F L UH M IH G
fluor|F L OW0 RRR
flygskam|F L Y UW1 G S K AE M
flyktig|F L K T IH G
flyta|F L Y UW1 T AE
flytta|F L T AE
fläckdrillsnäppa|F L EH K D RRR IH L S N EH P AE
flå|F L OW0
flår|F L OW0 RRR
flöte|F L OE T EH
focka|F AO K AE
folkmusik|F AO L K M UH S IY K
folköl|F AO L K OE L
fonetik|F AO N EH0 T IY K
formation|F AO RRR M AE UW N
fors|F AO SH
forstmästare|F AO RRR S T M EH S T AE RRR EH
forstväsen|F AO RRR S T V EH S EH N
fort|F UH T
fosfor|F AO S F AO RRR
foster|F UH S T EH RRR
fosterland|F UH S T AE RRR L AE N D
fot|F UW T
fotboll|F UW T B AO L
fotnot|F UW T N UW T
foula|F AE UH L AE
foxtrot|F AO K S T RRR AO T
frakt|F RRR AE K T
fram|F RRR AE M
framför|F RRR AE M F ER RRR
fransk|F RRR AE N S K
franska|F RRR AE N S K AE
fred|F RRR EH0 D
fredag|F RRR EH0 D AA G
fredrika|F RRR EH D RRR IY K AE
freestyle|F R IY S T AE Y L
fri|F RRR IY
frid|F RRR IY D
friggebod|F RRR IH G EH B UW D
frihet|F RRR IY HH EH0 T
fritiof|F RRR IH T SH AO F
fritis|F RRR IY T IH S
fru|F RRR UW
frugge|F RRR UH G EH
frukt|F RRR UH K T
frunch|F RRR UH N
frys|F RRR Y UW1 S
främlingsfientlig|F RRR EH M L IH NG S F IH EH N T L IH G
främlingsfientlighet|F RRR EH M L IH NG S F IH EH N T L IH G HH EH0 T
främmat|F RRR EH M AE T
frände|F RRR EH N D EH
fråga|F RRR OW0 G AE
från|F RRR AO N
frånvaro|F RRR OW0 N V AA RRR UH
frö|F RRR OE
fröjd|F RRR ER Y D
fröken|F RRR OE K EH N
frös|F RRR OE S
fubbick|F UH B IH K
ful|F UW L
full|F UH L
fungera|F UH NG G EH0 RRR AE
funka|F UH NG K AE
funktion|F UH NG K UW N
funktionell|F UH NG K UH N EH L
fur|F UW RRR
furnera|F UH RRR N EH0 RRR AE
fusion|F UH UW N
fusk|F UH S K
futurum|F UH T UW RRR UH M
fy|F Y UW1
fyn|F Y UW1 N
fynd|F N D
fyr|F Y UW1 RRR
fyra|F Y UW1 RRR AE
fyrmänning|F Y UW1 RRR M EH N IH NG
fyrtal|F Y UW1 RRR T AA L
fyrtio|F ER RRR T IH UH
fä|F EH
fäbod|F EH B UW D
fälad|F EH L AA D
fältsångare|F EH L T S AO NG AE RRR EH
fän|F EH N
fänkål|F EH N K OW0 L
fänrik|F EH N RRR IH K
färg|F EH RRR Y
färsk|F EH RRR S K
färskvatten|F EH RRR S K V AE T EH N
fäst|F EH S T
få|F OW0
fågel|F OW0 G EH L
får|F OW0 RRR
fåraherde|F OW0 RRR AE HH EH0 RRR D EH
fårakläder|F OW0 RRR AE K L EH D EH RRR
fåtal|F OW0 T AA L
fåtölj|F UH T ER L Y
föda|F OE D AE
födelsedag|F OE L S EH D AA G
fönster|F ER N S T EH RRR
fönstertittarsjuka|F ER N S T EH RRR T IH T AE RRR UW K AE
för|F OE RRR
förbruka|F ER RRR B RRR UW K AE
förbud|F ER RRR B UW D
förbundskapten|F ER RRR B UH N D S K AE P T EH0 N
förbutik|F OE RRR B UW T IY K
fördriva|F ER RRR D RRR IY V AE
fördöma|F UH RRR D UH M AE
före|F OE RRR EH
förebrå|F OE RRR EH B RRR OW0
föregångare|F OE RRR EH G AO NG AE RRR EH
förena|F ER RRR EH0 N AE
förening|F ER RRR EH0 N IH NG
förete|F OE RRR EH T EH0
förgänglig|F ER RRR Y EH NG L IH G
förgäves|F ER RRR Y EH V EH S
förnuftig|F ER N UH F T IY G
förrän|F ER RRR EH N
försiktighet|F OE RRR S IH K T IH G HH EH0 T
förskolelärare|F OE RRR S K UW L EH L EH RRR AE RRR EH
förskollärare|F OE RRR S K UW L EH L EH RRR AE RRR EH
förskräcklig|F ER RRR S K RRR EH K L IH G
förstå|F ER RRR S T OW0
förstås|F SH T AO S
förstöra|F ER SH T ER RRR AE
försvarare|F OE RRR S V AA RRR AE RRR EH
försvarstal|F ER RRR S V AA RRR S T AA L
försöka|F ER RRR S OE K AE
förträfflig|F ER RRR T RRR EH F L IH G
förut|F ER RRR UW T
förvirring|F OE RRR V IH RRR IH NG
förvärra|F ER RRR V AE RRR AE
förvärras|F ER RRR V AE RRR AE S
förälder|F ER RRR EH L D AE RRR
förälskad|F ER RRR EH L S K AE D
förälskelse|F ER RRR EH L S K EH L S EH
g|
gabbe|G AE B EH
gabriel|G AA B RRR IH EH L
gadd|G AE D
gaffel|G AE F EH L
galax|G AE L AE K S
galär|G AE L EH RRR
gammal|G AE M AE L
gamme|G AE M EH
gammeldans|G AE M EH L D AE N S
gammelgädda|G AE M EH L Y EH D AE
gammelmedia|G AE M EH L M EH0 D IH AE
garage|G AE RRR AA
garanti|G AE RRR AE N T IH
gas|G AA S
gata|G AA T AE
gav|G AA V
ge|Y EH0
gelé|EH L EH0
gem|G EH0 M
gemen|Y EH M EH0 N
gen|Y EH0 N
general|Y EH N EH RRR AA L
generös|EH N EH RRR OE S
genitiv|Y EH0 N IH T IY V
genom|Y EH0 N AO M
genre|AE NG EH RRR
genren|AE NG EH RRR N
genrep|Y EH0 N RRR EH0 P
genrer|AE NG RRR AE RRR
genrerna|AE NG RRR AE RRR N AE
gentil|AE NG T IY L
georg|Y EH0 AO RRR Y
ger|Y EH0 RRR
germanium|Y EH RRR M AA N IH UH M
gert|G AE T
gest|EH S T
get|Y EH0 T
geting|Y EH0 T IH NG
getruta|Y EH0 T RRR UW T AE
geväder|Y EH V EH D EH0 RRR
gevär|Y EH V EH RRR
gick|Y IH K
gifter|Y IH F T EH RRR
giftig|Y IH F T IH G
gin|Y IH N
gipsplatta|Y IH P S P L AE T AE
gipsskiva|Y IH P S IY V AE
gir|Y IY RRR
giraff|IH RRR AE F
gita|Y IY T AE
gitarr|Y IH T AE RRR
gitta|G IH T AE
giva|Y IY V AE
gjord|Y UH D
gjorde|Y UH D EH
gjort|Y UH T
gjuta|Y UW T AE
glad|G L AA D
gladlynt|G L AA D L N T
glas|G L AA S
glashus|G L AA S HH UW S
glasmästarsill|G L AA S M EH S T AE RRR S IH L
glass|G L AE S
glassmaskin|G L AE S M AE IY N
glatt|G L AE T
gluttsnäppa|G L UH T S N EH P AE
glögg|G L ER G
gnag|G N AA G
gned|G N EH0 D
gnid|G N IY D
gnids|G N IY D S
god|G UW D
goddag|G UH D AA G
golv|G AO L V
gott|G AO T
gradu|G RRR AA D UW
gran|G RRR AA N
gransångare|G RRR AA N S AO NG AE RRR EH
grattis|G RRR AE T IH S
gratäng|G RRR AE T EH NG
grav|G RRR AA V
gravand|G R AA V AE N D
gravitation|G RRR AE V IH T AE UW N
gravlax|G RRR AA V L AE K S
green|G RRR IY N
grej|G RRR EH Y
grekland|G RRR EH0 K L AE N D
grep|G RRR EH0 P
grina|G RRR IY N AE
grip|G RRR IY P
groda|G RRR UW D AE
gross|G RRR AO S
grov|G RRR UW V
grund|G RRR UH N D
grym|G RRR M
grymta|G RRR M T AE
gryning|G RRR Y UW1 N IH NG
