afia|AE F IY0 AE
fanueli|F AE N UW0 EH0 L IY0
faransa|F AE R AE N S AE
farao|F AE R AE OW0
faresi|F AE R EH0 S IY0
farisayo|F AE R IY0 S AE Y OW0
fatiha|F AE T IY0 HH AE
fatuma|F AE T UW0 M AE
felisi|F EH0 L IY0 S IY0
festo|F EH0 S T OW0
fileto|F IY0 L EH0 T OW0
filipi|F IY0 L IY0 P IY0
filipo|F IY0 L IY0 P OW0
filistia|F IY0 L IY0 S T IY0 AE
finehasi|F IY0 N EH0 HH AE S IY0
finno|F IY0 N N OW0
firauni|F IY0 R AE UW0 N IY0
fizikia|F IY0 Z IY0 K IY0 AE
foinike|F OW0 IY0 N IY0 K EH0
fortunato|F OW0 R T UW0 N AE T OW0
furkani|F UW0 R K AE N IY0
gai|G AE IY0
galatia|G AE L AE T IY0 AE
galilaya|G AE L IY0 L AE Y AE
galio|G AE L IY0 OW0
gamalieli|G AE M AE L IY0 EH0 L IY0
garissa|G AE R IY0 S S AE
garsen|G AE R S EH0 N
gathi|G AE TH IY0
gathsemane|G AE TH S EH0 M AE N EH0
gayo|G AE Y OW0
genesareti|G EH0 N EH0 S AE R EH0 T IY0
gerasene|G EH0 R AE S EH0 N EH0
gethsemane|G EH0 TH S EH0 M AE N EH0
giriama|G IY0 R IY0 AE M AE
giriftu|G IY0 R IY0 F T UW0
gitaru|G IY0 T AE R UW0
gomora|G OW0 M OW0 R AE
gotani|G OW0 T AE N IY0
gurar|G UW0 R AE R
halima|HH AE L IY0 M AE
hamori|HH AE M OW0 R IY0
hanuka|HH AE N UW0 K AE
harani|HH AE R AE N IY0
harar|HH AE R AE R
hekalu|HH EH0 K AE L UW0
helu|HH EH0 L UW0
henoki|HH EH0 N OW0 K IY0
herma|HH EH0 R M AE
herme|HH EH0 R M EH0
hermoni|HH EH0 R M OW0 N IY0
hesli|HH EH0 S L IY0
hesroni|HH EH0 S R OW0 N IY0
hezekia|HH EH0 Z EH0 K IY0 AE
hierapoli|HH IY0 EH0 R AE P OW0 L IY0
himo|HH IY0 M OW0
hola|HH OW0 L AE
horr|HH OW0 R R
huree|HH UW0 R EH0 EH0
ikonio|IY0 K OW0 N IY0 OW0
ikoo|IY0 K OW0 OW0
ikutha|IY0 K UW0 TH AE
ilahi|IY0 L AE HH IY0
ilaut|IY0 L AE UW0 T
ileret|IY0 L EH0 R EH0 T
iluriko|IY0 L UW0 R IY0 K OW0
imamu|IY0 M AE M UW0
isa|IY0 S AE
isaka|IY0 S AE K AE
isakari|IY0 S AE K AE R IY0
isaya|IY0 S AE Y AE
ishiara|IY0 SH IY0 AE R AE
isiolo|IY0 S IY0 OW0 L OW0
iskarioti|IY0 S K AE R IY0 OW0 T IY0
islamu|IY0 S L AE M UW0
islao|IY0 S L AE OW0
israfili|IY0 S R AE F IY0 L IY0
italia|IY0 T AE L IY0 AE
iten|IY0 T EH0 N
izraili|IY0 Z R AE IY0 L IY0
jalali|Y AE L AE L IY0
januari|Y AE N UW0 AE R IY0
japani|Y AE P AE N IY0
jehanum|Y EH0 HH AE N UW0 M
jeremani|Y EH0 R EH0 M AE N IY0
julai|Y UW0 L AE IY0
jumamosi|Y UW0 M AE M OW0 S IY0
jumanne|Y UW0 M AE N N EH0
jumatano|Y UW0 M AE T AE N OW0
jumatatu|Y UW0 M AE T AE T UW0
jumuia|Y UW0 M UW0 IY0 AE
juni|Y UW0 N IY0
kafarnaumu|K AE F AE R N AE UW0 M UW0
kahari|K AE HH AE R IY0
kainani|K AE IY0 N AE N IY0
kaisarea|K AE IY0 S AE R EH0 AE
kaisari|K AE IY0 S AE R IY0
kakoneni|K AE K OW0 N EH0 N IY0
kakuma|K AE K UW0 M AE
kalivari|K AE L IY0 V AE R IY0
kaloleni|K AE L OW0 L EH0 N IY0
kalou|K AE L OW0 UW0
kalsarea|K AE L S AE R EH0 AE
kamae|K AE M AE EH0
kampi|K AE M P IY0
kanaani|K AE N AE AE N IY0
kanyao|K AE N IY0 AE OW0
kapcherop|K AE P T SH EH0 R OW0 P
karama|K AE R AE M AE
karatina|K AE R AE T IY0 N AE
kariakoo|K AE R IY0 AE K OW0 OW0
karnelia|K AE R N EH0 L IY0 AE
karpo|K AE R P OW0
kasisi|K AE S IY0 S IY0
kaskazi|K AE S K AE Z IY0
kathithine|K AE TH IY0 TH IY0 N EH0
katilu|K AE T IY0 L UW0
katoliki|K AE T OW0 L IY0 K IY0
katse|K AE T S EH0
katuaa|K AE T UW0 AE AE
kavati|K AE V AE T IY0
kavisuni|K AE V IY0 S UW0 N IY0
kavuluni|K AE V UW0 L UW0 N IY0
kayafa|K AE Y AE F AE
kefa|K EH0 F AE
kenani|K EH0 N AE N IY0
kenkrea|K EH0 N K R EH0 AE
kenyatta|K EH0 N IY0 AE T T AE
kericho|K EH0 R IY0 T SH OW0
keroka|K EH0 R OW0 K AE
khorof|K HH OW0 R OW0 F
kiafrika|K IY0 AE F R IY0 K AE
kiamu|K IY0 AE M UW0
kifaransa|K IY0 F AE R AE N S AE
kikae|K IY0 K AE EH0
kikatoliki|K IY0 K AE T OW0 L IY0 K IY0
kikuyu|K IY0 K UW0 Y UW0
kikwetu|K IY0 K W EH0 T UW0
kilala|K IY0 L AE L AE
kilatini|K IY0 L AE T IY0 N IY0
kilikia|K IY0 L IY0 K IY0 AE
kiluhya|K IY0 L UW0 HH Y AE
kilukaonia|K IY0 L UW0 K AE OW0 N IY0 AE
kimanyema|K IY0 M AE N IY0 EH0 M AE
kimilili|K IY0 M IY0 L IY0 L IY0
kimrima|K IY0 M R IY0 M AE
kimtang|ata K IY0 M T AE NG AE T AE
kinna|K IY0 N N AE
kio|K IY0 OW0
kioko|K IY0 OW0 K OW0
kipate|K IY0 P AE T EH0
kipkelion|K IY0 P K EH0 L IY0 OW0 N
kireno|K IY0 R EH0 N OW0
kiriani|K IY0 R IY0 AE N IY0
kiritiri|K IY0 R IY0 T IY0 R IY0
kiroma|K IY0 R OW0 M AE
kirua|K IY0 R UW0 AE
kirumi|K IY0 R UW0 M IY0
kirusi|K IY0 R UW0 S IY0
kisauni|K IY0 S AE UW0 N IY0
kiserian|K IY0 S EH0 R IY0 AE N
kishi|K IY0 SH IY0
kishoni|K IY0 SH OW0 N IY0
kisii|K IY0 S IY0 IY0
kisleu|K IY0 S L EH0 UW0
kisumu|K IY0 S UW0 M UW0
kiswahili|K IY0 S W AE HH IY0 L IY0
kitui|K IY0 T UW0 IY0
kiyunani|K IY0 Y UW0 N AE N IY0
kizaramo|K IY0 Z AE R AE M OW0
klementi|K L EH0 M EH0 N T IY0
kleopa|K L EH0 OW0 P AE
kloe|K L OW0 EH0
koito|K OW0 IY0 T OW0
kokuro|K OW0 K UW0 R OW0
kollosia|K OW0 L L OW0 S IY0 AE
kolosai|K OW0 L OW0 S AE IY0
kolowa|K OW0 L OW0 W AE
kom|K OW0 M
komoro|K OW0 M OW0 R OW0
komputa|K OW0 M P UW0 T AE
korazini|K OW0 R AE Z IY0 N IY0
korintho|K OW0 R IY0 N TH OW0
kornelio|K OW0 R N EH0 L IY0 OW0
korokora|K OW0 R OW0 K OW0 R AE
kosamu|K OW0 S AE M UW0
kosipirr|K OW0 S IY0 P IY0 R R
kreske|K R EH0 S K EH0
krete|K R EH0 T EH0
krismas|K R IY0 S M AE S
krismasi|K R IY0 S M AE S IY0
krispo|K R IY0 S P OW0
kristo|K R IY0 S T OW0
kristu|K R IY0 S T UW0
kukopa|K UW0 K OW0 P AE
kupro|K UW0 P R OW0
kupura|K UW0 P UW0 R AE
kurani|K UW0 R AE N IY0
kuruwetu|K UW0 R UW0 W EH0 T UW0
kushi|K UW0 SH IY0
kwaresima|K W AE R EH0 S IY0 M AE
kwarto|K W AE R T OW0
laisamis|L AE IY0 S AE M IY0 S
laitwa|L AE IY0 T W AE
lameki|L AE M EH0 K IY0
lamu|L AE M UW0
latifu|L AE T IY0 F UW0
lawi|L AE W IY0
lazaro|L AE Z AE R OW0
leh|L EH0 HH
lewiyathani|L EH0 W IY0 Y AE TH AE N IY0
likoni|L IY0 K OW0 N IY0
limuru|L IY0 M UW0 R UW0
lino|L IY0 N OW0
litein|L IY0 T EH0 IY0 N
loiapuya|L OW0 IY0 AE P UW0 Y AE
loisi|L OW0 IY0 S IY0
loiya|L OW0 IY0 Y AE
lokichar|L OW0 K IY0 T SH AE R
lokichokio|L OW0 K IY0 T SH OW0 K IY0 OW0
lokiriama|L OW0 K IY0 R IY0 AE M AE
lokitanyala|L OW0 K IY0 T AE N IY0 AE L AE
lokori|L OW0 K OW0 R IY0
lol|L OW0 L
lomut|L OW0 M UW0 T
loperot|L OW0 P EH0 R OW0 T
loruk|L OW0 R UW0 K
lorukumu|L OW0 R UW0 K UW0 M UW0
losesia|L OW0 S EH0 S IY0 AE
loti|L OW0 T IY0
luhya|L UW0 HH Y AE
luka|L UW0 K AE
lukaonia|L UW0 K AE OW0 N IY0 AE
lukio|L UW0 K IY0 OW0
lusania|L UW0 S AE N IY0 AE
lusia|L UW0 S IY0 AE
lustra|L UW0 S T R AE
lustrana|L UW0 S T R AE N AE
luswani|L UW0 S W AE N IY0
maasai|M AE AE S AE IY0
maathi|M AE AE TH IY0
machakos|M AE T SH AE K OW0 S
machame|M AE T SH AE M EH0
machi|M AE T SH IY0
machui|M AE T SH UW0 IY0
maikona|M AE IY0 K OW0 N AE
maimuna|M AE IY0 M UW0 N AE
maktau|M AE K T AE UW0
makueni|M AE K UW0 EH0 N IY0
makueri|M AE K UW0 EH0 R IY0
makureshi|M AE K UW0 R EH0 SH IY0
makutano|M AE K UW0 T AE N OW0
malava|M AE L AE V AE
malka|M AE L K AE
malko|M AE L K OW0
manaeni|M AE N AE EH0 N IY0
manani|M AE N AE N IY0
manase|M AE N AE S EH0
manyani|M AE N IY0 AE N IY0
maonyo|M AE OW0 N IY0 OW0
marafa|M AE R AE F AE
maralal|M AE R AE L AE L
marana|M AE R AE N AE
marekani|M AE R EH0 K AE N IY0
mari|M AE R IY0
maria|M AE R IY0 AE
mariakani|M AE R IY0 AE K AE N IY0
mariamu|M AE R IY0 AE M UW0
marko|M AE R K OW0
marmar|M AE R M AE R
marti|M AE R T IY0
masalani|M AE S AE L AE N IY0
masara|M AE S AE R AE
maseno|M AE S EH0 N OW0
mashaliki|M AE SH AE L IY0 K IY0
masihi|M AE S IY0 HH IY0
masii|M AE S IY0 IY0
masiya|M AE S IY0 Y AE
maskati|M AE S K AE T IY0
matatha|M AE T AE TH AE
matathia|M AE T AE TH IY0 AE
mathani|M AE TH AE N IY0
mathati|M AE TH AE T IY0
mathayo|M AE TH AE Y OW0
mathia|M AE TH IY0 AE
mathunyani|M AE TH UW0 N IY0 AE N IY0
mathushela|M AE TH UW0 SH EH0 L AE
matolani|M AE T OW0 L AE N IY0
mau|M AE UW0
maulana|M AE UW0 L AE N AE
mazeras|M AE Z EH0 R AE S
mei|M EH0 IY0
melea|M EH0 L EH0 AE
melki|M EH0 L K IY0
merti|M EH0 R T IY0
meru|M EH0 R UW0
mesheki|M EH0 SH EH0 K IY0
mesiya|M EH0 S IY0 Y AE
mikaeli|M IY0 K AE EH0 L IY0
mileto|M IY0 L EH0 T OW0
misri|M IY0 S R IY0
mitulene|M IY0 T UW0 L EH0 N EH0
miu|M IY0 UW0
mizari|M IY0 Z AE R IY0
mizimu|M IY0 Z IY0 M UW0
mkatoliki|M K AE T OW0 L IY0 K IY0
mkawini|M K AE W IY0 N IY0
mkokoni|M K OW0 K OW0 N IY0
mkrete|M K R EH0 T EH0
mkristo|M K R IY0 S T OW0
mkristu|M K R IY0 S T UW0
mmaasai|M M AE AE S AE IY0
mmarekani|M M AE R EH0 K AE N IY0
mmasai|M M AE S AE IY0
mmasihiya|M M AE S IY0 HH IY0 Y AE
mmisri|M M IY0 S R IY0
mnasara|M N AE S AE R AE
mnazareti|M N AE Z AE R EH0 T IY0
mokowe|M OW0 K OW0 W EH0
mola|M OW0 L AE
molo|M OW0 L OW0
moroto|M OW0 R OW0 T OW0
moru|M OW0 R UW0
mose|M OW0 S EH0
moyale|M OW0 Y AE L EH0
mreno|M R EH0 N OW0
mrisho|M R IY0 SH OW0
mroma|M R OW0 M AE
mrumi|M R UW0 M IY0
mrusi|M R UW0 S IY0
msahafu|M S AE HH AE F UW0
msamaria|M S AE M AE R IY0 AE
mshemali|M SH EH0 M AE L IY0
msirofoinike|M S IY0 R OW0 F OW0 IY0 N IY0 K EH0
msizini|M S IY0 Z IY0 N IY0
mtang|ata M T AE NG AE T AE
mterehemezi|M T EH0 R EH0 HH EH0 M EH0 Z IY0
mtito|M T IY0 T OW0
mtukufu|M T UW0 K UW0 F UW0
mtulu|M T UW0 L UW0
mturuki|M T UW0 R UW0 K IY0
muharamu|M UW0 HH AE R AE M UW0
muhoroni|M UW0 HH OW0 R OW0 N IY0
muhuru|M UW0 HH UW0 R UW0
mumias|M UW0 M IY0 AE S
murang|a M UW0 R AE NG AE
murka|M UW0 R K AE
musa|M UW0 S AE
mutha|M UW0 TH AE
mutomo|M UW0 T OW0 M OW0
mvita|M V IY0 T AE
mwafrika|M W AE F R IY0 K AE
mwamerika|M W AE M EH0 R IY0 K AE
mwasia|M W AE S IY0 AE
mwatate|M W AE T AE T EH0
mwethiopia|M W EH0 TH IY0 OW0 P IY0 AE
mwezrahi|M W EH0 Z R AE HH IY0
mwisanifu|M W IY0 S AE N IY0 F UW0
mwishamisi|M W IY0 SH AE M IY0 S IY0
mwislamu|M W IY0 S L AE M UW0
mwisraeli|M W IY0 S R AE EH0 L IY0
mwitika|M W IY0 T IY0 K AE
myunani|M Y UW0 N AE N IY0
naamani|N AE AE M AE N IY0
naftali|N AE F T AE L IY0
nahori|N AE HH OW0 R IY0
nahumu|N AE HH UW0 M UW0
naini|N AE IY0 N IY0
naivasha|N AE IY0 V AE SH AE
nakuru|N AE K UW0 R UW0
nanyuki|N AE N IY0 UW0 K IY0
napeitom|N AE P EH0 IY0 T OW0 M
narkisi|N AE R K IY0 S IY0
naro|N AE R OW0
narok|N AE R OW0 K
nasara|N AE S AE R AE
nashoni|N AE SH OW0 N IY0
nasolot|N AE S OW0 L OW0 T
nathanaeli|N AE TH AE N AE EH0 L IY0
nathani|N AE TH AE N IY0
nazareti|N AE Z AE R EH0 T IY0
neapoli|N EH0 AE P OW0 L IY0
nerea|N EH0 R EH0 AE
nikanora|N IY0 K AE N OW0 R AE
nikolao|N IY0 K OW0 L AE OW0
nikopoli|N IY0 K OW0 P OW0 L IY0
nimfa|N IY0 M F AE
ninewi|N IY0 N EH0 W IY0
nisani|N IY0 S AE N IY0
ntimaru|N T IY0 M AE R UW0
nuu|N UW0 UW0
nyahururu|N Y AE HH UW0 R UW0 R UW0
nyaru|N Y AE R UW0
nyeri|N Y EH0 R IY0
ofiri|OW0 F IY0 R IY0
oktavio|OW0 K T AE V IY0 OW0
ol|OW0 L
olimpiki|OW0 L IY0 M P IY0 K IY0
olmesutye|OW0 L M EH0 S UW0 T Y EH0
oloitokitok|OW0 L OW0 IY0 T OW0 K IY0 T OW0 K
oltepesi|OW0 L T EH0 P EH0 S IY0
olumpa|OW0 L UW0 M P AE
omani|OW0 M AE N IY0
onesifolo|OW0 N EH0 S IY0 F OW0 L OW0
onesiforo|OW0 N EH0 S IY0 F OW0 R OW0
onesimo|OW0 N EH0 S IY0 M OW0
onyoki|OW0 N IY0 OW0 K IY0
oropoi|OW0 R OW0 P OW0 IY0
pafo|P AE F OW0
palestina|P AE L EH0 S T IY0 N AE
pamfulia|P AE M F UW0 L IY0 AE
parmena|P AE R M EH0 N AE
pasaka|P AE S AE K AE
pasifiki|P AE S IY0 F IY0 K IY0
patara|P AE T AE R AE
patmo|P AE T M OW0
peori|P EH0 OW0 R IY0
persi|P EH0 R S IY0
pethori|P EH0 TH OW0 R IY0
petro|P EH0 T R OW0
pilato|P IY0 L AE T OW0
pirho|P IY0 R HH OW0
pontio|P OW0 N T IY0 OW0
ponto|P OW0 N T OW0
porkio|P OW0 R K IY0 OW0
posta|P OW0 S T AE
priska|P R IY0 S K AE
priskila|P R IY0 S K IY0 L AE
prokoroni|P R OW0 K OW0 R OW0 N IY0
protestanti|P R OW0 T EH0 S T AE N T IY0
ptoyo|P T OW0 Y OW0
rafan|R AE F AE N
raheli|R AE HH EH0 L IY0
rama|R AE M AE
rami|R AE M IY0
ramu|R AE M UW0
rehema|R EH0 HH EH0 M AE
resa|R EH0 S AE
reu|R EH0 UW0
rironi|R IY0 R OW0 N IY0
roma|R OW0 M AE
rufo|R UW0 F OW0
ruiru|R UW0 IY0 R UW0
rumuruti|R UW0 M UW0 R UW0 T IY0
ruthi|R UW0 TH IY0
safira|S AE F IY0 R AE
salemu|S AE L EH0 M UW0
salmoni|S AE L M OW0 N IY0
salome|S AE L OW0 M EH0
samaria|S AE M AE R IY0 AE
samo|S AE M OW0
samothrake|S AE M OW0 TH R AE K EH0
samsoni|S AE M S OW0 N IY0
samweli|S AE M W EH0 L IY0
sanya|S AE N IY0 AE
sarepta|S AE R EH0 P T AE
saroni|S AE R OW0 N IY0
saturni|S AE T UW0 R N IY0
sauli|S AE UW0 L IY0
saulo|S AE UW0 L OW0
saya|S AE Y AE
sefu|S EH0 F UW0
seleukia|S EH0 L EH0 UW0 K IY0 AE
sericho|S EH0 R IY0 T SH OW0
serolevi|S EH0 R OW0 L EH0 V IY0
sethi|S EH0 TH IY0
shamu|S HH AE M UW0
shealthieli|S HH EH0 AE L TH IY0 EH0 L IY0
shealtieli|S HH EH0 AE L T IY0 EH0 L IY0
shekemu|S HH EH0 K EH0 M UW0
shemeni|S HH EH0 M EH0 N IY0
shemu|S HH EH0 M UW0
sheria|S HH EH0 R IY0 AE
shihiri|S HH IY0 HH IY0 R IY0
shilo|S HH IY0 L OW0
shirati|S HH IY0 R AE T IY0
shirazi|S HH IY0 R AE Z IY0
sihoni|S IY0 HH OW0 N IY0
silaloni|S IY0 L AE L OW0 N IY0
siloamu|S IY0 L OW0 AE M UW0
silwano|S IY0 L W AE N OW0
simeoni|S IY0 M EH0 OW0 N IY0
simoni|S IY0 M OW0 N IY0
siria|S IY0 R IY0 AE
sisera|S IY0 S EH0 R AE
skewa|S K EH0 W AE
smurna|S M UW0 R N AE
soani|S OW0 AE N IY0
solai|S OW0 L AE IY0
solio|S OW0 L IY0 OW0
sololo|S OW0 L OW0 L OW0
solomoni|S OW0 L OW0 M OW0 N IY0
sopatro|S OW0 P AE T R OW0
sosipatro|S OW0 S IY0 P AE T R OW0
sosthene|S OW0 S TH EH0 N EH0
sotik|S OW0 T IY0 K
spania|S P AE N IY0 AE
staku|S T AE K UW0
stefana|S T EH0 F AE N AE
stefano|S T EH0 F AE N OW0
stoiki|S T OW0 IY0 K IY0
sukothi|S UW0 K OW0 TH IY0
sul|S UW0 L
suntike|S UW0 N T IY0 K EH0
susana|S UW0 S AE N AE
taashira|T AE AE SH IY0 R AE
taifa|T AE IY0 F AE
tala|T AE L AE
tamari|T AE M AE R IY0
tana|T AE N AE
tarime|T AE R IY0 M EH0
tarshishi|T AE R SH IY0 SH IY0
tarso|T AE R S OW0
taurati|T AE UW0 R AE T IY0
taveta|T AE V EH0 T AE
tawire|T AE W IY0 R EH0
tenwek|T EH0 N W EH0 K
tertio|T EH0 R T IY0 OW0
tertulo|T EH0 R T UW0 L OW0
tharaka|T HH AE R AE K AE
theluthi|T HH EH0 L UW0 TH IY0
theofilo|T HH EH0 OW0 F IY0 L OW0
thesalonika|T HH EH0 S AE L OW0 N IY0 K AE
thesalonike|T HH EH0 S AE L OW0 N IY0 K EH0
thika|T HH IY0 K AE
thitani|T HH IY0 T AE N IY0
thoma|T HH OW0 M AE
thuatira|T HH UW0 AE T IY0 R AE
timau|T IY0 M AE UW0
timayo|T IY0 M AE Y OW0
timona|T IY0 M OW0 N AE
timotheo|T IY0 M OW0 TH EH0 OW0
tiro|T IY0 R OW0
tishri|T IY0 SH R IY0
tito|T IY0 T OW0
tiwi|T IY0 W IY0
tolemai|T OW0 L EH0 M AE IY0
torakoniti|T OW0 R AE K OW0 N IY0 T IY0
tororo|T OW0 R OW0 R OW0
troa|T R OW0 AE
trofimo|T R OW0 F IY0 M OW0
trufena|T R UW0 F EH0 N AE
tsavo|T S AE V OW0
tseikuru|T S EH0 IY0 K UW0 R UW0
tufurahi|T UW0 F UW0 R AE HH IY0
tukiko|T UW0 K IY0 K OW0
tula|T UW0 L AE
turano|T UW0 R AE N OW0
turkana|T UW0 R K AE N AE
turkwel|T UW0 R K W EH0 L
uchina|UW0 T SH IY0 N AE
ufaransa|UW0 F AE R AE N S AE
uhispania|UW0 HH IY0 S P AE N IY0 AE
uislamu|UW0 IY0 S L AE M UW0
ukristo|UW0 K R IY0 S T OW0
ukwale|UW0 K W AE L EH0
ulaya|UW0 L AE Y AE
ung|eng'e UW0 NG EH0 NG EH0
unyasa|UW0 N IY0 AE S AE
urais|UW0 R AE IY0 S
ureno|UW0 R EH0 N OW0
uria|UW0 R IY0 AE
urusi|UW0 R UW0 S IY0
uswahili|UW0 S W AE HH IY0 L IY0
uswahilini|UW0 S W AE HH IY0 L IY0 N IY0
utohozi|UW0 T OW0 HH OW0 Z IY0
uturuki|UW0 T UW0 R UW0 K IY0
uzia|UW0 Z IY0 AE
voi|V OW0 IY0
voo|V OW0 OW0
wagalatia|W AE G AE L AE T IY0 AE
waafrika|W AE AE F R IY0 K AE
waamerika|W AE AE M EH0 R IY0 K AE
waamori|W AE AE M OW0 R IY0
wachina|W AE T SH IY0 N AE
wachonyi|W AE T SH OW0 N IY0 IY0
waefeso|W AE EH0 F EH0 S OW0
waelami|W AE EH0 L AE M IY0
waethiopia|W AE EH0 TH IY0 OW0 P IY0 AE
wafaransa|W AE F AE R AE N S AE
wafari|W AE F AE R IY0
wafarisayo|W AE F AE R IY0 S AE Y OW0
wafilipi|W AE F IY0 L IY0 P IY0
wafilisti|W AE F IY0 L IY0 S T IY0
waishmaeli|W AE IY0 SH M AE EH0 L IY0
waislamu|W AE IY0 S L AE M UW0
