a|AE
absimilis|AE B S IY M IY L IY S
absinthifolius|AE B S IY N T IY F OW0 L IY UW S
absinthium|AE B S IY N T IY UW M
absinthiātus|AE B S IY N T IY AE T UW S
absinthītārum|AE B S IY N T IY T AE RRR UW M
absinthītēs|AE B S IY N T IY T EH0 S
absistō|AE B S IY S T OW0
absitus|AE B S IY T UW S
absocer|AE B S OW0 K EH0 RRR
absoluō|AE B S OW0 L UW OW0
absolvēns|AE B S OW0 L UW EH0 N S
absolvō|AE B S OW0 L UW OW0
absolūtiō|AE B S OW0 L UW T IY OW0
absolūtus|AE B S OW0 L UW T UW S
absolūtōrius|AE B S OW0 L UW T OW0 RRR IY UW S
absonus|AE B S OW0 N UW S
absonō|AE B S OW0 N OW0
absorbent|AE B S OW0 RRR B EH0 N T
absorbentem|AE B S OW0 RRR B EH0 N T EH0 M
absorbeō|AE B S OW0 RRR B EH0 OW0
absorptiō|AE B S OW0 RRR P T IY OW0
absortus|AE B S OW0 RRR T UW S
abspellō|AE B S P EH0 L L OW0
absportō|AE B S P OW0 RRR T OW0
absque|AE B S K EH0
abstentiō|AE B S T EH0 N T IY OW0
abstergeō|AE B S T EH0 RRR G EH0 OW0
absterreō|AE B S T EH0 RRR RRR EH0 OW0
abstinentia|AE B S T IY N EH0 N T IY AE
abstineō|AE B S T IY N EH0 OW0
abstināx|AE B S T IY N AE K S
abstractiō|AE B S T RRR AE K T IY OW0
abstractus|AE B S T RRR AE K T UW S
abstrahentibus|AE B S T RRR AE HH EH0 N T IY B UW S
abstraherentur|AE B S T RRR AE HH EH0 RRR EH0 N T UW RRR
abstrahēns|AE B S T RRR AE HH EH0 N S
abstrahō|AE B S T RRR AE HH OW0
abstrāxerimus|AE B S T RRR AE K S EH0 RRR IY M UW S
abstrūdō|AE B S T RRR UW D OW0
abstrūsus|AE B S T RRR UW S UW S
abstulī|AE B S T UW L IY
abstēmius|AE B S T EH0 M IY UW S
abstō|AE B S T OW0
absum|AE B S UW M
absurdus|AE B S UW RRR D UW S
absynthītēs|AE B S Y UW1 N T IY T EH0 S
absārius|AE B S AE RRR IY UW S
absēns|AE B S EH0 N S
absīdātus|AE B S IY D AE T UW S
absūmēdō|AE B S UW M EH0 D OW0
absūmō|AE B S UW M OW0
abudius|AE B UW D IY UW S
abundanter|AE B UW N D AE N T EH0 RRR
abundantia|AE B UW N D AE N T IY AE
abundantius|AE B UW N D AE N T IY UW S
abundantēs|AE B UW N D AE N T EH0 S
abundiflōrus|AE B UW N D IY F L OW0 RRR UW S
abundus|AE B UW N D UW S
abundābit|AE B UW N D AE B IY T
abundātiō|AE B UW N D AE T IY OW0
abundātum|AE B UW N D AE T UW M
abundātūrus|AE B UW N D AE T UW RRR UW S
abundō|AE B UW N D OW0
aburius|AE B UW RRR IY UW S
abusina|AE B UW S IY N AE
abyla|AE B Y UW1 L AE
abyssicolus|AE B Y UW1 S S IY K OW0 L UW S
abyssinicus|AE B Y UW1 S S IY N IY K UW S
abyssus|AE B Y UW1 S S UW S
abyssālis|AE B Y UW1 S S AE L IY S
abzoae|AE B Z OW0 AE EH0
abāctius|AE B AE K T IY UW S
abāctor|AE B AE K T OW0 RRR
abāctus|AE B AE K T UW S
abīa|AE B IY AE
abōminandus|AE B OW0 M IY N AE N D UW S
abōminābilis|AE B OW0 M IY N AE B IY L IY S
abōmināmentum|AE B OW0 M IY N AE M EH0 N T UW M
abōminātiō|AE B OW0 M IY N AE T IY OW0
abōminō|AE B OW0 M IY N OW0
abōminōsa|AE B OW0 M IY N OW0 S AE
abōminōsus|AE B OW0 M IY N OW0 S UW S
abūsor|AE B UW S OW0 RRR
abūsque|AE B UW S K EH0
abūsīvus|AE B UW S IY UW UW S
abūtor|AE B UW T OW0 RRR
abȳdenus|AE B Y UW1 D EH0 N UW S
abȳdus|AE B Y UW1 D UW S
ac|AE K
acacia|AE K AE K IY AE
acaciifolius|AE K AE K IY IY F OW0 L IY UW S
acacēsium|AE K AE K EH0 S IY UW M
acadēmicus|AE K AE D EH0 M IY K UW S
acadēmus|AE K AE D EH0 M UW S
acadēmīa|AE K AE D EH0 M IY AE
acalandrus|AE K AE L AE N D RRR UW S
acalyphāceus|AE K AE L Y UW1 P AE K EH0 UW S
acalēphē|AE K AE L EH0 P EH0
acampsis|AE K AE M P S IY S
acanthicarpus|AE K AE N T IY K AE RRR P UW S
acanthifolius|AE K AE N T IY F OW0 L IY UW S
acanthinus|AE K AE N T IY N UW S
acanthius|AE K AE N T IY UW S
acanthiō|AE K AE N T IY OW0
acanthocalycibus|AE K AE N T OW0 K AE L Y UW1 K IY B UW S
acanthocalyx|AE K AE N T OW0 K AE L Y UW1 K S
acanthocarpus|AE K AE N T OW0 K AE RRR P UW S
acanthochitōn|AE K AE N T OW0 K IY T OW0 N
acanthocladus|AE K AE N T OW0 K L AE D UW S
acanthocomus|AE K AE N T OW0 K OW0 M UW S
acanthodontus|AE K AE N T OW0 D OW0 N T UW S
acanthonotus|AE K AE N T OW0 N OW0 T UW S
acanthophorus|AE K AE N T OW0 P OW0 RRR UW S
acanthophyllus|AE K AE N T OW0 P Y UW1 L L UW S
acanthopodius|AE K AE N T OW0 P OW0 D IY UW S
acanthus|AE K AE N T UW S
acaricus|AE K AE RRR IY K UW S
acarnānia|AE K AE RRR N AE N IY AE
acarnānicus|AE K AE RRR N AE N IY K UW S
acascomarcī|AE K AE S K OW0 M AE RRR K IY
acatus|AE K AE T UW S
acaulis|AE K AE UW L IY S
acaustus|AE K AE UW S T UW S
accadicus|AE K K AE D IY K UW S
accanite|AE K K AE N IY T EH0
accanitō|AE K K AE N IY T OW0
accanī|AE K K AE N IY
accanō|AE K K AE N OW0
accapitō|AE K K AE P IY T OW0
accelerātiō|AE K K EH0 L EH0 RRR AE T IY OW0
accelerātrīx|AE K K EH0 L EH0 RRR AE T RRR IY K S
accelerō|AE K K EH0 L EH0 RRR OW0
accendō|AE K K EH0 N D OW0
accentor|AE K K EH0 N T OW0 RRR
accentus|AE K K EH0 N T UW S
accepta|AE K K EH0 P T AE
acceptante|AE K K EH0 P T AE N T EH0
acceptiō|AE K K EH0 P T IY OW0
acceptābilis|AE K K EH0 P T AE B IY L IY S
acceptō|AE K K EH0 P T OW0
accersiō|AE K K EH0 RRR S IY OW0
accessibilis|AE K K EH0 S S IY B IY L IY S
accessitō|AE K K EH0 S S IY T OW0
accessōrius|AE K K EH0 S S OW0 RRR IY UW S
accidenta|AE K K IY D EH0 N T AE
accidentia|AE K K IY D EH0 N T IY AE
accidentum|AE K K IY D EH0 N T UW M
accidentī|AE K K IY D EH0 N T IY
accidentō|AE K K IY D EH0 N T OW0
accidere|AE K K IY D EH0 RRR EH0
accidēns|AE K K IY D EH0 N S
accidō|AE K K IY D OW0
accingō|AE K K IY N G OW0
accinō|AE K K IY N OW0
accipiter|AE K K IY P IY T EH0 RRR
accipitrīna|AE K K IY P IY T RRR IY N AE
accipitrō|AE K K IY P IY T RRR OW0
accipiēns|AE K K IY P IY EH0 N S
accipiō|AE K K IY P IY OW0
accisī|AE K K IY S IY
accius|AE K K IY UW S
acciō|AE K K IY OW0
acclāmō|AE K K L AE M OW0
acclārō|AE K K L AE RRR OW0
acclīnis|AE K K L IY N IY S
acclīnō|AE K K L IY N OW0
acclīvis|AE K K L IY UW IY S
acclīvus|AE K K L IY UW UW S
accolēius|AE K K OW0 L EH0 IY UW S
accomandatiō|AE K K OW0 M AE N D AE T IY OW0
accommodus|AE K K OW0 M M OW0 D UW S
accommodātus|AE K K OW0 M M OW0 D AE T UW S
accommodō|AE K K OW0 M M OW0 D OW0
acconciliō|AE K K OW0 N K IY L IY OW0
accorporō|AE K K OW0 RRR P OW0 RRR OW0
accrēdō|AE K K RRR EH0 D OW0
accrēscente|AE K K RRR EH0 S K EH0 N T EH0
accrēscō|AE K K RRR EH0 S K OW0
accrētus|AE K K RRR EH0 T UW S
accua|AE K K UW AE
accubitus|AE K K UW B IY T UW S
accubitātiō|AE K K UW B IY T AE T IY OW0
accubō|AE K K UW B OW0
accumbere|AE K K UW M B EH0 RRR EH0
accumbō|AE K K UW M B OW0
accumulātiō|AE K K UW M UW L AE T IY OW0
accumulō|AE K K UW M UW L OW0
accurrō|AE K K UW RRR RRR OW0
accēdō|AE K K EH0 D OW0
accēnseō|AE K K EH0 N S EH0 OW0
accēnsibilis|AE K K EH0 N S IY B IY L IY S
accī|AE K K IY
accīdere|AE K K IY D EH0 RRR EH0
accīdia|AE K K IY D IY AE
accīdēns|AE K K IY D EH0 N S
accīdō|AE K K IY D OW0
accūrātiō|AE K K UW RRR AE T IY OW0
accūrātus|AE K K UW RRR AE T UW S
accūrō|AE K K UW RRR OW0
accūsitō|AE K K UW S IY T OW0
accūsābilis|AE K K UW S AE B IY L IY S
accūsātiō|AE K K UW S AE T IY OW0
accūsātor|AE K K UW S AE T OW0 RRR
accūsātrīx|AE K K UW S AE T RRR IY K S
accūsātus|AE K K UW S AE T UW S
accūsātī|AE K K UW S AE T IY
accūsātīvus|AE K K UW S AE T IY UW UW S
accūsātōrius|AE K K UW S AE T OW0 RRR IY UW S
accūsātōriē|AE K K UW S AE T OW0 RRR IY EH0
accūsō|AE K K UW S OW0
acephalus|AE K EH0 P AE L UW S
acer|AE K EH0 RRR
acerbe|AE K EH0 RRR B EH0
acerbitās|AE K EH0 RRR B IY T AE S
acerbus|AE K EH0 RRR B UW S
acerbāte|AE K EH0 RRR B AE T EH0
acerbē|AE K EH0 RRR B EH0
acerbō|AE K EH0 RRR B OW0
acere|AE K EH0 RRR EH0
aceriflōrus|AE K EH0 RRR IY F L OW0 RRR UW S
acerifolius|AE K EH0 RRR IY F OW0 L IY UW S
acerinus|AE K EH0 RRR IY N UW S
aceriphyllus|AE K EH0 RRR IY P Y UW1 L L UW S
acernus|AE K EH0 RRR N UW S
acerra|AE K EH0 RRR RRR AE
acerrae|AE K EH0 RRR RRR AE EH0
acerrōnius|AE K EH0 RRR RRR OW0 N IY UW S
acervus|AE K EH0 RRR UW UW S
acervālis|AE K EH0 RRR UW AE L IY S
acervō|AE K EH0 RRR UW OW0
acerōsus|AE K EH0 RRR OW0 S UW S
acestēs|AE K EH0 S T EH0 S
acesīnus|AE K EH0 S IY N UW S
acesīnēs|AE K EH0 S IY N EH0 S
acetoxidāns|AE K EH0 T OW0 K S IY D AE N S
aceō|AE K EH0 OW0
achaemenis|AE K AE EH0 M EH0 N IY S
achaemenēs|AE K AE EH0 M EH0 N EH0 S
achaeus|AE K AE EH0 UW S
acharis|AE K AE RRR IY S
acharnae|AE K AE RRR N AE EH0
acharnē|AE K AE RRR N EH0
achatēs|AE K AE T EH0 S
achelōus|AE K EH0 L OW0 UW S
achenum|AE K EH0 N UW M
acheronte|AE K EH0 RRR OW0 N T EH0
acherontēus|AE K EH0 RRR OW0 N T EH0 UW S
acheronēnsis|AE K EH0 RRR OW0 N EH0 N S IY S
acherunticus|AE K EH0 RRR UW N T IY K UW S
acherōn|AE K EH0 RRR OW0 N
acherūns|AE K EH0 RRR UW N S
acherūsius|AE K EH0 RRR UW S IY UW S
achille|AE K IY L L EH0
achillem|AE K IY L L EH0 M
achillis|AE K IY L L IY S
achillēs|AE K IY L L EH0 S
achillēus|AE K IY L L EH0 UW S
achillī|AE K IY L L IY
achillīnus|AE K IY L L IY N UW S
achrōmiāns|AE K RRR OW0 M IY AE N S
achāia|AE K AE IY AE
achāicus|AE K AE IY K UW S
achātēs|AE K AE T EH0 S
achātīnus|AE K AE T IY N UW S
achōr|AE K OW0 RRR
acicula|AE K IY K UW L AE
acicularifolius|AE K IY K UW L AE RRR IY F OW0 L IY UW S
aciculifer|AE K IY K UW L IY F EH0 RRR
aciculinus|AE K IY K UW L IY N UW S
aciculāris|AE K IY K UW L AE RRR IY S
aciculātus|AE K IY K UW L AE T UW S
acida|AE K IY D AE
acide|AE K IY D EH0
acidominimus|AE K IY D OW0 M IY N IY M UW S
acidovorāns|AE K IY D OW0 UW OW0 RRR AE N S
acidulus|AE K IY D UW L UW S
acidus|AE K IY D UW S
acidālia|AE K IY D AE L IY AE
acidālius|AE K IY D AE L IY UW S
acidī|AE K IY D IY
acidīnus|AE K IY D IY N UW S
acidō|AE K IY D OW0
acimincum|AE K IY M IY N K UW M
acina|AE K IY N AE
acinacifolius|AE K IY N AE K IY F OW0 L IY UW S
acinasis|AE K IY N AE S IY S
acinifolius|AE K IY N IY F OW0 L IY UW S
acinippō|AE K IY N IY P P OW0
acinus|AE K IY N UW S
acinōsus|AE K IY N OW0 S UW S
acipēnser|AE K IY P EH0 N S EH0 RRR
aciris|AE K IY RRR IY S
aciārium|AE K IY AE RRR IY UW M
aciēs|AE K IY EH0 S
acmodontus|AE K M OW0 D OW0 N T UW S
acnua|AE K N UW AE
acoetis|AE K OW0 EH0 T IY S
acoetēs|AE K OW0 EH0 T EH0 S
acollis|AE K OW0 L L IY S
acolythus|AE K OW0 L Y UW1 T UW S
acona|AE K OW0 N AE
aconitifolius|AE K OW0 N IY T IY F OW0 L IY UW S
acontius|AE K OW0 N T IY UW S
acontizō|AE K OW0 N T IY Z Z OW0
aconītum|AE K OW0 N IY T UW M
aconītus|AE K OW0 N IY T UW S
acoris|AE K OW0 RRR IY S
acornis|AE K OW0 RRR N IY S
acoros|AE K OW0 RRR OW0 S
acorus|AE K OW0 RRR UW S
acousticus|AE K UW S T IY K UW S
acquiēscentis|AE K K IY EH0 S K EH0 N T IY S
acquiēscō|AE K K IY EH0 S K OW0
acquīrō|AE K K IY RRR OW0
acrae|AE K RRR AE EH0
acraephia|AE K RRR AE EH0 P IY AE
acraeus|AE K RRR AE EH0 UW S
acranthus|AE K RRR AE N T UW S
acrillae|AE K RRR IY L L AE EH0
acrisius|AE K RRR IY S IY UW S
acrisiōniadēs|AE K RRR IY S IY OW0 N IY AE D EH0 S
acroanthus|AE K RRR OW0 AE N T UW S
acrobracteātus|AE K RRR OW0 B RRR AE K T EH0 AE T UW S
acrocarpus|AE K RRR OW0 K AE RRR P UW S
acroceraunia|AE K RRR OW0 K EH0 RRR AE UW N IY AE
acrocorium|AE K RRR OW0 K OW0 RRR IY UW M
acrocōnus|AE K RRR OW0 K OW0 N UW S
acrodontus|AE K RRR OW0 D OW0 N T UW S
acroglōssus|AE K RRR OW0 G L OW0 S S UW S
acrolasius|AE K RRR OW0 L AE S IY UW S
acrolepis|AE K RRR OW0 L EH0 P IY S
acronēmaticus|AE K RRR OW0 N EH0 M AE T IY K UW S
acroscopicus|AE K RRR OW0 S K OW0 P IY K UW S
acrotrichus|AE K RRR OW0 T RRR IY K UW S
acrozȳmus|AE K RRR OW0 Z Z Y UW1 M UW S
acroāma|AE K RRR OW0 AE M AE
acrufolius|AE K RRR UW F OW0 L IY UW S
acrō|AE K RRR OW0
actinacanthus|AE K T IY N AE K AE N T UW S
actinocarpus|AE K T IY N OW0 K AE RRR P UW S
actinophyllus|AE K T IY N OW0 P Y UW1 L L UW S
actē|AE K T EH0
actīnium|AE K T IY N IY UW M
actīniō|AE K T IY N IY OW0
actīnopetalus|AE K T IY N OW0 P EH0 T AE L UW S
acuitiō|AE K UW IY T IY OW0
aculeaticarpus|AE K UW L EH0 AE T IY K AE RRR P UW S
aculeolātus|AE K UW L EH0 OW0 L AE T UW S
aculeus|AE K UW L EH0 UW S
aculos|AE K UW L OW0 S
acuminatifolius|AE K UW M IY N AE T IY F OW0 L IY UW S
acutrī|AE K UW T RRR IY
acuō|AE K UW OW0
acāciifōrmis|AE K AE K IY IY F OW0 RRR M IY S
acē|AE K EH0
acēdia|AE K EH0 D IY AE
acēre|AE K EH0 RRR EH0
acērus|AE K EH0 RRR UW S
acēscente|AE K EH0 S K EH0 N T EH0
acēscentēs|AE K EH0 S K EH0 N T EH0 S
