ء|Q
أساسي|Q AE S AE S IY Y Y
أسباب|Q AE S B AE B
أسبوع|Q UW S B UW RH
أسبوعي|Q UW S B UW RH IY Y Y
أستاذ|Q UW S T AE DH
أسترالي|Q UW S T UW RRR AE L IY Y Y
أستراليا|Q UW S T UW RRR AE L IY Y AE
أسرب|Q UW S RRR UW B
أسرة|Q UW S RRR AE
أسري|Q UW S RRR IY Y Y
أسس|Q AE S S AE S AE
أسطرك|Q AE S T AE RRR AE K
أسطرلاب|Q AE S T UW RRR L AE B
أسطمة|Q UW S T UW M M AE
أسطوانة|Q UW S T UW W AE N AE
أسطورة|Q UW S T UW RRR AE
أسطوري|Q UW S T UW RRR IY Y Y
أسطول|Q UW S T UW L
أسف|Q AE S IY F AE
أسفاراج|Q AE S F AE RRR AE D
أسفر|Q AE S F AE RRR AE
أسفراج|Q AE S F AE RRR AE D
أسفلت|Q AE S F AE L T
أسفنيك|Q AE S F AE N IY K
أسقف|Q UW S K UW F F
أسكفة|Q UW S K UW F F AE
أسلوب|Q UW S L UW B
أسماء|Q AE S M AE Q
أسمر|Q AE S M AE RRR
أسمرا|Q AE S M AE RRR AE
أسمرة|Q AE S M AE RRR AE
أسهر|Q AE S HH AE RRR AE
أسهل|Q UW S AE HH HH IY L UW
أسوأ|Q AE S W AE Q
أسوة|Q UW S W AE
أسود|Q UW S UW D
أسى|Q AE S AE N
أسياخ|Q AE S Y AE HH
أسيتون|Q AE S IY T UW N
أسير|Q AE S IY RRR
أشابة|Q UW SH AE B AE
أشار|Q AE SH AE RRR AE
أشبع|Q AE SH B AE RH AE
أشترغار|Q UW SH T UW RRR HH AE RRR
أشخص|Q AE SH HH AE S AE
أشرفي|Q AE SH RRR AE F IY Y Y
أشعل|Q AE SH RH AE L AE
أشقر|Q AE SH G AE RRR
أشكل|Q AE SH K AE L
أشل|Q AE SH L
أشم|Q AE SH AE M M AE
أشمط|Q AE SH M AE T
أشنان|Q UW SH N AE N
أشنة|Q UW SH N AE
أشهب|Q AE SH HH AE B
أشهد|Q AE SH HH AE D AE
أشهل|Q AE SH HH AE L
أشوس|Q AE SH W AE S
أشوه|Q AE SH W AE HH
أشيب|Q AE SH Y AE B
أصأب|Q AE S Q AE B AE
أصبح|Q AE S B AE HH
أصحاح|Q AE S HH AE HH
أصحى|Q AE S HH AE
أصخد|Q AE S HH AE D AE
أصخر|Q AE S HH AE RRR AE
أصدأ|Q AE S D AE Q
أصطرك|Q AE S T AE RRR AE K
أصغى|Q AE S HH AE
أصف|Q AE S AE F
أصفاد|Q AE S F AE D
أصفر|Q AE S F AE RRR AE
أصفهان|Q AE S F AE HH AE N
أصلع|Q AE S L AE RH
أصم|Q AE S AE M M
أصهب|Q AE S HH AE B AE
أصيص|Q AE S IY S
أضاع|Q AE D AE RH AE
أضاف|Q AE D AE F AE
أضر|Q AE D AE RRR RRR AE
أضمر|Q AE D M AE RRR AE
أطاح|Q AE T AE HH AE
أطاق|Q AE T AE K AE
أطباء|Q AE T IY B B AE Q
أطبة|Q AE T IY B B AE
أطرش|Q AE T RRR AE SH
أطروحة|Q UW T RRR UW HH AE
أطفال|Q AE T F AE L
أطل|Q AE T AE L L AE
أطلس|Q AE T L AE S
أطلسي|Q AE T L AE S IY Y Y
أطلع|Q AE T L AE RH AE
أطنب|Q AE T N AE B AE
أطيان|Q AE T Y AE N
أعاجيب|Q AE RH AE D IY B
أعاصير|Q AE RH AE S IY RRR
أعتاب|Q AE RH T AE B
أعتن|Q AE RH T AE N AE
أعجم|Q AE RH D AE M AE
أعجمي|Q AE RH D IY M IY
أعجوبة|Q UW RH D UW B AE
أعذب|Q AE RH DH AE B AE
أعرج|Q AE RH RRR AE D
أعرن|Q AE RH RRR AE N AE
أعز|Q AE RH AE Z Z AE
أعزب|Q AE RH Z AE B
أعزل|Q AE RH Z AE L
أعصر|Q AE RH S AE RRR AE
أعض|Q AE RH AE D D AE
أعطاب|Q AE RH T AE B
أعطب|Q AE RH T AE B AE
أعطى|Q AE RH T AE
أعظ|Q AE RH AE DH DH AE
أعف|Q AE RH AE F F AE
أعفر|Q AE RH F AE RRR
أعقد|Q AE RH G AE D
أعل|Q AE RH AE L L AE
أعلن|Q AE RH L AE N AE
أعلى|Q UW RH L AE
أعمدة|Q AE RH M IY D AE
أعمى|Q UW RH AE M M AE
أعور|Q AE RH W AE RRR
أعيا|Q AE RH Y AE
أعياد|Q AE RH Y AE D
أعيان|Q AE RH Y AE N
أغار|Q AE HH AE RRR AE
أغافت|Q AE HH AE F IY T
أغافث|Q AE HH AE F IY TH
أغبر|Q AE HH B AE RRR
أغرق|Q AE HH RRR AE K AE
أغرم|Q AE HH RRR AE M AE
أغرى|Q AE HH RRR AE
أغسطس|Q AE HH UW S T UW S
أغضب|Q AE HH D AE B AE
أغلب|Q UW HH L AE B UW
أغلف|Q AE HH L AE F
أغلفة|Q AE HH L IY F AE
أغماد|Q AE HH M AE D
أغمي|Q UW HH M IY Y AE
أغوى|Q AE HH W AE
أغيد|Q AE HH Y AE D
أفؤل|Q AE F Q UW L
أفاد|Q AE F AE D AE
أفاويه|Q AE F AE W IY HH
أفتى|Q AE F T AE
أفرط|Q AE F RRR AE T AE
أفرع|Q AE F RRR UW RH
أفرغ|Q AE F RRR AE HH AE
أفريقانية|Q AE F RRR IY K AE N IY Y Y AE
أفريقيا|Q AE F RRR IY K Y AE
أفسنتين|Q AE F S IY N T IY N
أفطس|Q AE F T AE S
أفعى|Q AE F RH AE N
أفغانستان|Q AE F HH AE N IY S T AE N
أفغاني|Q AE F HH AE N IY Y Y
أفقي|Q UW F UW K IY Y Y
أفك|Q AE F AE K AE
أفل|Q AE F AE L AE
أفلاطون|Q AE F L AE T UW N
أفلاطوني|Q AE F L AE T UW N IY Y Y
أفلس|Q AE F L AE S AE
أفيون|Q AE F Y UW N
أقحوان|Q UW K HH UW W AE N
أقدر|Q AE K D AE RRR AE
أقر|Q AE K IY RRR
أقرأ|Q AE K RRR AE Q AE
أقرب|Q AE K RRR AE B AE
أقرع|Q AE K RRR AE RH
أقضب|Q AE K D AE B AE
أقضى|Q UW K D AE
أقط|Q AE K IY T
أقعب|Q AE K RH UW B
أكاذيب|Q AE K AE DH IY B
أكار|Q AE K K AE RRR
أكاف|Q UW K K AE F
أكب|Q AE K AE B B AE
أكتوبر|Q UW K T UW B IY RRR
أكثرية|Q AE K TH AE RRR IY Y Y AE
أكرى|Q AE K RRR AE
أكسجين|Q UW K S IY D IY N
أكسح|Q AE K S AE HH
أكسد|Q AE K S AE D AE
أكسدة|Q AE K S AE D AE
أكسيد|Q UW K S IY D
أكشف|Q AE K SH AE F AE
أكل|Q UW K UW L
أكمة|Q AE K AE M AE HH
أكمون|Q AE K M UW N
أكيد|Q AE K IY D
ألا|Q AE L L AE
ألاباما|Q AE L AE B AE M AE
ألاسكا|Q AE L AE S K AE
ألباني|Q AE L B AE N IY Y Y
ألبانيا|Q AE L B AE N IY Y AE
ألغى|Q AE L HH AE
ألف|Q AE L IY F
ألفبائي|Q AE L IY F B AE Q IY Y Y
ألفية|Q AE L F IY Y Y AE
ألقى|Q AE L K AE
ألكسندروس|Q AE L IY K S AE N D AE RRR UW S
ألم|Q AE L AE M
ألماس|Q AE L M AE S
ألماني|Q AE L M AE N IY Y Y
ألمانيا|Q AE L M AE N IY Y AE
ألمح|Q AE L M AE HH AE
أله|Q AE L L AE HH AE
ألهى|Q AE L HH AE
ألوة|Q AE L W AE
ألوهية|Q UW L UW HH IY Y Y AE
ألية|Q AE L Y AE
أليس|Q AE L Y AE S
أم|Q UW M M
أما|Q AE M M AE
أمات|Q AE M AE T AE
أمازيغ|Q AE M AE Z IY HH
أمازيغي|Q AE M AE Z IY HH IY Y Y
أمازيغية|Q AE M AE Z IY HH IY Y Y AE
أمامي|Q AE M AE M IY Y Y
أمان|Q AE M AE N
أمدمي|Q UW M D AE M IY Y Y
أمراء|Q UW M AE RRR AE Q
أمريكا|Q AE M RRR IY K AE
أمريكي|Q AE M RRR IY K IY Y Y
أمس|Q UW M AE S S UW
أمستردام|Q AE M S T IY RRR D AE M
أمسك|Q AE M S AE K AE
أمسوخ|Q UW M S UW HH
أمصوخ|Q UW M S UW HH
أمضى|Q AE M D AE
أمغر|Q AE M HH AE RRR AE
أمكن|Q AE M K AE N AE
أملج|Q AE M L AE D
أملس|Q AE M L AE S
أممي|Q UW M AE M IY Y Y
أمهري|Q AE M HH AE RRR IY Y Y
أمهل|Q AE M HH AE L AE
أموي|Q UW M AE W IY Y Y
أمي|Q UW M M IY
أميبا|Q AE M IY B AE
أميبي|Q AE M IY B IY Y Y
أمير|Q AE M IY RRR
أميرة|Q AE M IY RRR AE
أميركي|Q AE M EH0 RRR IY K IY Y Y
أميل|Q AE M Y AE L
أن|Q AE N N AE
أنا|Q AE N AE
أناخ|Q AE N AE HH AE
أناس|Q UW N AE S
أناغالس|Q AE N AE HH AE L IY S
أناغاليس|Q AE N AE HH AE L IY S
أناغلس|Q AE N AE HH AE L IY S
أناقة|Q AE N AE K AE
أناني|Q AE N AE N IY Y Y
أنباء|Q AE N B AE Q
أنباض|Q AE N B AE D
أنبج|Q AE M B IY D
أنبذ|Q AE N B AE DH AE
أنبوب|Q UW N B UW B
أنبوبة|Q UW N B UW B AE
أنبيق|Q AE N B IY K
أنت|Q AE N T IY
أنتج|Q AE N T AE D AE
أنتم|Q AE N T UW M
أنتما|Q AE N T UW M AE
أنتن|Q AE N T UW N N AE
أنتيكخانة|Q AE N T IY K HH AE N AE
أنثوي|Q UW N TH AE W IY Y Y
أنثى|Q UW N TH AE
أنجدان|Q AE N D UW D AE N
أنجى|Q AE N D AE
أندر|Q AE N D AE RRR AE
أندراوس|Q AE N D AE RRR AE W UW S
أنزروت|Q AE N Z AE RRR UW T
أنزع|Q AE N Z AE RH AE
أنزل|Q AE N Z AE L AE
أنس|Q AE N AE S AE
أنسون|Q AE N S UW N
أنسى|Q AE N S AE
أنصح|Q AE S B AE HH AE
أنضب|Q AE N D AE B AE
أنضج|Q AE N D AE D AE
أنطاكية|Q AE N T AE K IY Y Y AE
أنطاليا|Q AE N T AE L IY Y AE
أنعل|Q AE N RH UW L
أنعم|Q AE N RH UW M
أنغولا|Q AE N HH OW0 L AE
أنف|Q UW N F AE
أنفاق|Q UW N F AE K
أنفحة|Q AE N F IY HH AE
أنفق|Q AE N F AE K AE
أنقذ|Q AE N K AE DH AE
أنقض|Q AE N K AE D IY
أنكر|Q AE N K AE RRR AE
أنما|Q AE N N AE M AE
أنملة|Q AE N M AE L AE
أنموذج|Q UW N M UW DH AE D
أنهك|Q AE N HH AE K AE
أنهى|Q AE N HH AE
أنوار|Q AE N W AE RRR
أنواط|Q AE N W AE T
أنواع|Q AE N W AE RH
أنور|Q AE N W AE RRR
أنوق|Q AE N UW K
أنيسون|Q AE N IY S UW N
أنيون|Q AE N Y UW N
أهبة|Q UW HH B AE
أهدب|Q AE HH D AE B AE
أهدى|Q AE HH D AE
أهر|Q AE HH RRR
أهلا|Q AE HH L AE N
أهلي|Q AE HH L IY Y Y
أهلية|Q AE HH L IY Y Y AE
أهوج|Q AE HH W AE D
أهيف|Q AE HH Y AE F
أو|Q AE W
أوبرا|Q UW B IY RRR AE
أوتاوا|Q OW0 T AE W AE
أوتوماتيكي|Q UW T UW M AE T IY K IY Y Y
أوج|Q AE W D
أوجد|Q UW D AE D UW
أوجز|Q AE W D AE Z AE
أوجس|Q AE W D AE S AE
أوجع|Q AE W D AE RH AE
أوحال|Q AE W HH AE L
أوحد|Q AE W HH AE D
أوحل|Q AE W HH AE L AE
أودى|Q AE W D AE
أور|Q UW RRR
أوراق|Q AE W RRR AE K
أورانوس|Q UW RRR AE N UW S
أورانيا|Q AE W RRR AE N IY Y AE
أورانيوم|Q UW RRR AE N Y UW M
أوركسترا|Q OW0 RRR K EH0 S T RRR AE
أوروبا|Q UW RRR UW B B AE
أوروبي|Q UW RRR UW B B IY Y Y
أوروغواي|Q UW RRR UW HH UW W AE Y
أورى|Q AE W RRR AE
أوريغون|Q UW RRR IY HH UW N
أوزبكستان|Q UW Z B AE K IY S T AE N
أوساكا|Q UW S AE K AE
أوشك|Q AE W SH AE K AE
أوصى|Q AE W S AE
أوضح|Q AE W D AE HH AE
أوعية|Q AE W RH IY Y AE
أوغندا|Q UW HH AE N D AE
أوقد|Q AE W K AE D AE
أوقف|Q AE W K AE F AE
أوقية|Q UW K IY Y Y AE
أوكرانيا|Q UW K RRR AE N IY Y AE
أوكلاهوما|Q UW K L AE HH UW M AE
أوكيناوا|Q UW K IY N AE W AE
أول|Q AE W W AE L
أولئك|Q UW L AE Q IY K AE
أولمبي|Q UW L IY M B IY Y Y
أولو|Q UW L UW
أولى|Q UW L AE
أولي|Q AE W W AE L IY Y Y
أولياء|Q AE W L IY Y AE Q
أونسة|Q UW N S AE
أونصة|Q UW N S AE
أي|Q AE Y Y
أياد|Q AE Y AE D IY N
أيام|Q AE Y Y AE M
أيرلندا|Q AE Y IY RRR L AE N D AE
أيش|Q AE Y SH IY N
أيقظ|Q AE Y K AE DH AE
أيقن|Q AE Y K AE N AE
أيل|Q UW Y Y AE L
أيلول|Q AE Y L UW L
أين|Q AE Y N AE
أيهقان|Q AE Y HH UW K AE N
أيوب|Q AE Y Y UW B
أيوبي|Q AE Y Y UW B IY Y Y
أيون|Q AE Y UW N
ؤ|Q UW
إ|Q IY
إباحة|Q IY B AE HH AE
إباحي|Q IY B AE HH IY Y Y
إباحية|Q IY B AE HH IY Y Y AE
إبادة|Q IY B AE D AE
إبالة|Q IY B B AE L AE
إبان|Q IY B B AE N AE
إبتات|Q IY B T AE T
إبجال|Q IY B D AE L
إبداعي|Q IY B D AE RH IY Y Y
إبراهيم|Q IY B RRR AE HH IY M
إبرة|Q IY B RRR AE
إبريز|Q IY B RRR IY Z
إبريسم|Q IY B RRR AE Y S AE M
إبريق|Q IY B RRR IY G
إبريل|Q IY B RRR IY L
إبزيم|Q IY B Z IY M
إبطاء|Q IY B T AE Q
إبعاد|Q IY B RH AE D
إبل|Q IY B IY L
إبليز|Q IY B L IY Z
إبليس|Q IY B L IY S
إبليسي|Q IY B L IY S IY Y Y
إبيقوري|Q IY B IY K UW RRR IY Y Y
إتاحة|Q IY T AE HH AE
إتاوة|Q IY T AE W AE
إتقان|Q IY T K AE N
إتلاف|Q IY T L AE F
إثبات|Q IY TH B AE T
إثمد|Q IY TH M IY D
إثيوبيا|Q IY TH Y UW B IY Y AE
إجازة|Q IY D AE Z AE
إجاص|Q IY D D AE S
إجاصة|Q IY D D AE S AE
إجبار|Q IY D B AE RRR
إجباري|Q IY D B AE RRR IY Y Y
إجمالي|Q IY D M AE L IY Y Y
إجهاض|Q IY D HH AE D
إحارة|Q IY HH AE RRR AE
إحاطة|Q IY HH AE T AE
إحدى|Q IY HH D AE
إحسان|Q IY HH S AE N
إحصائي|Q IY HH S AE Q IY Y Y
إدارة|Q IY D AE RRR AE
إداري|Q IY D AE RRR IY Y Y
إدحية|Q IY D HH IY Y AE
إدريس|Q IY D RRR IY S
إدهاش|Q IY D HH AE SH
إذ|Q IY DH
إذا|Q IY DH AE
إذاعة|Q IY DH AE RH AE
إذخر|Q IY DH HH IY RRR
إذما|Q IY DH M AE
إرادي|Q IY RRR AE D IY Y Y
إربيان|Q IY RRR B IY Y AE N
إرتريا|Q IY RRR IY T RRR IY Y AE
إردب|Q IY RRR D AE B B
إرزيز|Q IY RRR Z IY Z
إرهاب|Q IY RRR HH AE B
إرهابي|Q IY RRR HH AE B IY Y Y
إرهاق|Q IY RRR HH AE K
إريس|Q IY RRR RRR IY S
إزاء|Q IY Z AE Q AE
إزار|Q IY Z AE RRR
إزالة|Q IY Z AE L AE
إزعاج|Q IY Z RH AE D
إزميل|Q IY Z M IY L
إسبانيا|Q IY S B AE N IY Y AE
إسبانية|Q IY S B AE N IY Y AE
إسبغول|Q IY S B AE HH OW0 L
إستاد|Q IY S T AE D
إستار|Q IY S T AE RRR
إستبرق|Q IY S T AE B RRR AE K
إستديو|Q IY S T IY D Y OW0
إستوديو|Q IY S T UW D IY Y OW0
إستوكهولم|Q IY S T UW K HH UW L M
إستونيا|Q IY S T OW0 N IY Y AE
إسحاق|Q IY S HH AE K
إسرائيل|Q IY S RRR AE Q IY L
إسرائيلي|Q IY S RRR AE Q IY L IY Y Y
إسرنج|Q IY S RRR IY N D
إسطبل|Q IY S T AE B L
إسطرك|Q IY S T AE RRR AE K
إسفنط|Q IY S F IY N T
إسفيدباج|Q IY S F IY D AE B AE D
إسقنقور|Q IY S K AE N K UW RRR
إسكاف|Q IY S K AE F
إسكتلندا|Q IY S K UW T L AE N D AE
إسكتلندي|Q IY S K UW T L AE N D IY Y Y
إسكندراني|Q IY S K AE N D AE RRR AE N IY Y Y
إسلام|Q IY S L AE M
إسماعيل|Q IY S M AE RH IY L
إسماعيلي|Q IY S M AE RH IY L IY Y Y
إسناد|Q IY S N AE D
إسوة|Q IY S W AE
إشبيلية|Q IY SH B IY L Y AE
إشبين|Q IY SH B IY N
إشبينة|Q IY SH B IY N AE
إشعاعي|Q IY SH RH AE RH IY Y Y
إشغال|Q IY SH HH AE L
إشفى|Q IY SH F AE
إشهار|Q IY SH HH AE RRR
إصبع|Q IY S B AE RH
إصطبل|Q IY S T AE B L
إصطرك|Q IY S T AE RRR AE K
إصقنقور|Q IY S K AE N K UW RRR
إضافة|Q IY D AE F AE
إطار|Q IY T AE RRR
إطراء|Q IY T RRR AE Q
إطرية|Q IY T RRR IY Y AE
إطريفل|Q IY T RRR IY F AE L
إطفائي|Q IY T F AE Q IY Y Y
إعراب|Q IY RH RRR AE B
إعصار|Q IY RH S AE RRR
إعلام|Q IY RH L AE M
إعلامي|Q IY RH L AE M IY Y Y
إعلان|Q IY RH L AE N
إعياء|Q IY RH Y AE Q
إغريقي|Q IY HH RRR IY K IY Y Y
إغليق|Q IY HH L IY K
إغناطيوس|Q IY HH N AE T IY Y UW S
إفادة|Q IY F AE D AE
إفراغ|Q IY F RRR AE HH
إفرند|Q IY F RRR IY N D
إفريقيا|Q IY F RRR IY K Y AE
إفريقية|Q IY F RRR IY K Y AE
إقالة|Q IY K AE L AE
إقامة|Q IY K AE M AE
إقليل|Q IY K L IY L
إقليم|Q IY K L IY M
إقليميا|Q IY K L IY M IY Y AE
إقليمية|Q IY K L IY M IY Y Y AE
إقناع|Q IY K N AE RH
إقنيز|Q IY K N IY Z
إكاف|Q IY K AE F
إكتاب|Q IY K T AE B
إكسينون|Q IY K S IY N OW0 N
إكليل|Q IY K L IY L
إكوادور|Q IY K W AE D OW0 RRR
إل|Q IY L L
إلحاق|Q IY L HH AE K
إلكترونيات|Q IY L IY K T RRR UW N IY Y Y AE T
إله|Q IY L AE HH
إلهام|Q IY L HH AE M
إلى|Q IY L AE
إلياس|Q IY L Y AE S
إما|Q IY M M AE
إمالة|Q IY M AE L AE
إمامة|Q IY M AE M AE
إمبراطوري|Q IY M B AE RRR AE T UW RRR IY Y Y
إمبريالي|Q IY M B IY RRR Y AE L IY Y Y
إمساكية|Q IY M S AE K IY Y Y AE
إمضاء|Q IY M D AE Q
إمكان|Q IY M K AE N
إملاء|Q IY M L AE Q
إمناء|Q IY M N AE Q
إمهال|Q IY M HH AE L
إن|Q IY N N AE
إناء|Q IY N AE Q
إنبيق|Q IY N B IY K
إنتاج|Q IY N T AE D
إنترنت|Q IY N T AE RRR N AE T
إنجلترا|Q IY N G IY L T EH0 RRR AE
إنجليزي|Q IY N G L IY Z IY Y Y
إندونيسي|Q IY N D UW N IY S IY Y Y
إندونيسيا|Q IY N D UW N IY S IY Y AE
إنزكان|Q IY N Z AE G G AE N
إنسان|Q IY N S AE N
إنسانة|Q IY N S AE N AE
إنفحة|Q IY N F AE HH AE
إنقاض|Q IY N K AE D
إنكار|Q IY N K AE RRR
إنكشاري|Q IY N K IY SH AE RRR IY Y Y
إنما|Q IY N N AE M AE
إنموذج|Q IY N M UW DH AE D
إنهاء|Q IY N HH AE Q
إهداء|Q IY HH D AE Q
إهليجي|Q IY HH L IY D IY Y Y
إهليلج|Q IY HH L IY L AE D
إهليلجي|Q IY HH L IY L AE D IY Y Y
إي|Q IY
إيا|Q IY Y Y AE
إياب|Q IY Y AE B
إيارج|Q IY Y AE RRR AE D
إياك|Q IY Y Y AE K IY
إيانا|Q IY Y Y AE N AE
إياهما|Q IY Y Y AE HH UW M AE
إيثار|Q IY TH AE RRR
