а|AA
абсолютист|AA B S AO L UH T IH S T
абсолютистка|AA B S AO L UH T IH S T K AA
абсолютний|AA B S OW0 L UW T N EH0 IY
абсолютно|AA B S OW0 L UW T N AO
абсолютність|AA B S OW0 L UW T N IY S T
абсолюція|AA B S OW0 L UW T IY Y AA
абсорбент|AA B S AO RRR B EH N T
абсорбер|AA B S AO RRR B EH0 RRR
абсорбування|AA B S AO RRR B UH V AA N AA
абсорбціометр|AA B S AO RRR B T IY AO M EH0 T RRR
абсорбція|AA B S AO RRR B T IY Y AA
абстинент|AA B S T EH0 N EH N T
абстинентка|AA B S T EH0 N EH N T K AA
абстиненція|AA B S T EH0 N EH N T IY Y AA
абстрагованість|AA B S T RRR AA AO V AA N IY S T
абстрагування|AA B S T RRR AA UH V AA N AA
абстракт|AA B S T RRR AA K T
абстрактний|AA B S T RRR AA K T N EH0 IY
абстрактність|AA B S T RRR AA K T N IY S T
абстракціонізм|AA B S T RRR AA K T IY OW0 N IY Z M
абстракціоніст|AA B S T RRR AA K T IY OW0 N IY S T
абстракціоністка|AA B S T RRR AA K T IY OW0 N IY S T K AA
абстракція|AA B S T RRR AA K T IY Y AA
абсурд|AA B S UW RRR D
абсурдизм|AA B S UH RRR D IH Z M
абсурдист|AA B S UH RRR D IH S T
абсурдистка|AA B S UH RRR D IH S T K AA
абсурдний|AA B S UW RRR D N EH0 IY
абсурдно|AA B S UW RRR D N AO
абсурдність|AA B S UW RRR D N IY S T
абсцес|AA B S T EH S
абсциса|AA B S T IH S AA
абузус|AA B UW Z UH S
абулія|AA B UH L IY Y AA
абхаз|AA B HH AA Z
абхазець|AA B HH AA Z EH0 T
абхазка|AA B HH AA Z K AA
абшит|AA B SH IH T
абіогенез|AA B IY AO EH0 N EH Z
абісаль|AA B IY S AA L
абіссінець|AA B IY S IY N EH0 T
абіссінка|AA B IY S IY N K AA
абітурієнт|AA B IY T UH RRR IY Y EH N T
абітурієнтка|AA B IY T UH RRR IY Y EH N T K AA
аваль|AA V AA L
аваліст|AA V AA L IY S T
авангард|AA V AA N AA RRR D
авангардизм|AA V AA N AA RRR D IH Z M
авангардист|AA V AA N AA RRR D IH S T
аванзал|AA V AA N Z AA L
аванкамера|AA V AA N K AA M EH0 RRR AA
аванложа|AA V AA N L AO ZH AA
аванпорт|AA V AA N P AO RRR T
аванпост|AA V AA N P AO S T
аванс|AA V AA N S
авансик|AA V AA N S EH0 K
авансодавець|AA V AA N S AO D AA V EH0 T
авансотримач|AA V AA N S AO T RRR EH0 M AA T
авансоутримувач|AA V AA N S AO UH T RRR IH M UH V AA T
авансування|AA V AA N S UH V AA N AA
авансцена|AA V AA N S T EH N AA
авантитул|AA V AA N T IH T UH L
авантура|AA V AA N T UW RRR AA
авантурник|AA V AA N T UW RRR N EH0 K
авантурниця|AA V AA N T UW RRR N EH0 T AA
авантюра|AA V AA N T UW RRR AA
авантюризм|AA V AA N T UH RRR IH Z M
авантюрин|AA V AA N T UH RRR IH N
авантюрист|AA V AA N T UH RRR IH S T
авантюристка|AA V AA N T UH RRR IH S T K AA
авантюрник|AA V AA N T UW RRR N EH0 K
авантюрниця|AA V AA N T UW RRR N EH0 T AA
авантюрність|AA V AA N T UW RRR N IY S T
авар|AA V AA RRR
аварець|AA V AA RRR EH0 T
аварка|AA V AA RRR K AA
аварійний|AA V AA RRR IY IY N EH0 IY
аварійник|AA V AA RRR IY IY N EH0 K
аварійність|AA V AA RRR IY IY N IY S T
аварія|AA V AA RRR IY Y AA
авгур|AA UW UW RRR
август|AA UW UH S T
августа|AA UW UW S T AA
авгіт|AA UW IY T
авгіїв|AA UW IY Y IY UW
авдитор|AA UW D IH T AO RRR
авдиторія|AA UW D EH0 T AO RRR IY Y AA
авеню|AA V EH0 N UW
аверс|AA V EH0 RRR S
авлос|AA UW L AO S
аво|AA W AO
авокадо|AA W AO K AA D AO
аврал|AA UW RRR AA L
авран|AA UW RRR AA N
аврикула|AA UW RRR IH K UH L AA
аврора|AA UW RRR AO RRR AA
австралопітек|AA UW S T RRR AA L AO P IY T EH K
австралоїд|AA UW S T RRR AA L AO Y IY D
австралійка|AA UW S T RRR AA L IY IY K AA
австралійська|AA UW S T RRR AA L IY IY S K AA
австралійський|AA UW S T RRR AA L IY IY S K EH0 IY
австралійці|AA UW S T RRR AA L IY IY T IY
австралія|AA UW S T RRR AA L IY Y AA
австралієць|AA UW S T RRR AA L IY Y EH0 T
австромарксист|AA UW S T RRR AO M AA RRR K S IH S T
австрофіл|AA UW S T RRR OW0 F IY L
австрійка|AA UW S T RRR IY IY K AA
австрійський|AA UW S T RRR IY IY S K EH0 IY
австрія|AA UW S T RRR IY Y AA
австріяк|AA UW S T RRR IY Y AA K
австріячка|AA UW S T RRR IY Y AA T K AA
австрієць|AA UW S T RRR IY Y EH0 T
автаркізм|AA UW T AA RRR K IY Z M
автаркія|AA UW T AA RRR K IY Y AA
автентика|AA UW T EH N T EH0 K AA
автентифікація|AA UW T EH0 N T EH0 F IY K AA T IY Y AA
автентичний|AA UW T EH0 N T IH T N EH0 IY
автентичність|AA UW T EH0 N T IH T N IY S T
авто|AA UW T AO
автоаерозапчастина|AA UW T AO AA EH0 RRR AO Z AA P T AA S T IH N AA
автоалієнація|AA UW T AO AA L IY Y EH0 N AA T IY Y AA
автоаматор|AA UW T AO AA M AA T AO RRR
автоаматорка|AA UW T AO AA M AA T AO RRR K AA
автоамфібія|AA UW T AO AA M F IY B IY Y AA
автоапологія|AA UW T AO AA P AO L AO IY Y AA
автобаза|AA UW T AO B AA Z AA
автобальзам|AA UW T AO B AA L Z AA M
автобан|AA UW T AO B AA N
автобатальйон|AA UW T AO B AA T AA L Y AO N
автобензовоз|AA UW T AO B EH0 N Z AO W AO Z
автобензоцистерна|AA UW T AO B EH0 N Z AO T EH0 S T EH RRR N AA
автобетономішалка|AA UW T AO B EH0 T AO N AO M IY SH AA L K AA
автоблокування|AA UW T AO B L AO K UH V AA N AA
автобудування|AA UW T AO B UH D UH V AA N AA
автобудівник|AA UW T AO B UH D IY UW N IH K
автобус|AA UW T AO B UH S
автобусик|AA UW T AO B UH S EH0 K
автобусна|AA UW T AO B UH S N AA
автобусний|AA UW T AO B UH S N EH0 IY
автобіограф|AA UW T AO B IY AO RRR AA F
автобіографічність|AA UW T AO B IY AO RRR AA F IY T N IY S T
автобіографія|AA UW T AO B IY AO RRR AA F IY Y AA
автовага|AA UW T AO V AA AA
автовагон|AA UW T AO V AA AO N
автовакцина|AA UW T AO V AA K T IH N AA
автовантажник|AA UW T AO V AA N T AA ZH N EH0 K
автовеломотогонки|AA UW T AO V EH L AO M AO T AO AO N K EH0
автовиробник|AA UW T AO V EH0 RRR AO B N IH K
автовласник|AA UW T AO UW L AA S N EH0 K
автоводоцистерна|AA UW T AO W AO D AO T EH0 S T EH RRR N AA
автоводій|AA UW T AO W OW0 D IY IY
автовокзал|AA UW T AO W AO G Z AA L
автовідповідач|AA UW T AO V IY D P AO V IY D AA T
автовізок|AA UW T AO V IY Z AO K
автогальмо|AA UW T AO AA L M AO
автогараж|AA UW T AO AA RRR AA ZH
автогемотерапія|AA UW T AO EH0 M AO T EH0 RRR AA P IY Y AA
автоген|AA UW T AO EH N
автогенез|AA UW T AO EH0 N EH Z
автогенник|AA UW T AO EH N EH0 K
автодидакт|AA UW T AO D EH0 D AA K T
автократія|AA UW T AO K RRR AA T IY Y AA
автоматизація|AA UW T AO M AA T EH0 Z AA T IY Y AA
автоматизувати|AA UW T AO M AA T EH0 Z UH V AA T EH0
автоматична|AA UW T AO M AA T IH T N AA
автоматичний|AA UW T AO M AA T IH T N EH0 IY
автоматично|AA UW T AO M AA T IH T N AO
автомобіль|AA UW T AO M OW0 B IY L
автомобільна|AA UW T AO M OW0 B IY L N AA
автомобільний|AA UW T AO M OW0 B IY L N EH0 IY
автомобіліст|AA UW T AO M AO B IY L IY S T
автомобілістка|AA UW T AO M AO B IY L IY S T K AA
автопортрет|AA UW T AO P AO RRR T RRR EH T
автор|AA UW T AO RRR
автореференція|AA UW T AO RRR EH0 F EH0 RRR EH N T IY Y AA
авторизувати|AA UW T AO RRR EH0 Z UH V AA T EH0
авторство|AA UW T AO RRR S T W AO
автостоянка|AA UW T AO S T AO Y AA N K AA
авіабаза|AA V IY AA B AA Z AA
авіабензин|AA V IY AA B EH0 N Z IH N
авіабомба|AA V IY AA B AO M B AA
авіабудування|AA V IY AA B UH D UH V AA N AA
авіабудівник|AA V IY AA B UH D IY UW N IH K
авіабудівництво|AA V IY AA B UH D IY UW N IH T T W AO
авіабілет|AA V IY AA B IY L EH T
авіавдар|AA V IY AA UW D AA RRR
авіавиставка|AA V IY AA V IH S T AA UW K AA
авіагармата|AA V IY AA AA RRR M AA T AA
авіагоризонт|AA V IY AA AO RRR EH0 Z AO N T
авіагосподарство|AA V IY AA AO S P AO D AA RRR S T W AO
авіадвигун|AA V IY AA D V EH0 UW N
авіадесант|AA V IY AA D EH0 S AA N T
авіадесантник|AA V IY AA D EH0 S AA N T N EH0 K
авіадесантування|AA V IY AA D EH0 S AA N T UH V AA N AA
авіадивізія|AA V IY AA D EH0 V IY Z IY Y AA
авіадиспетчер|AA V IY AA D EH0 S P EH T EH0 RRR
авіаекспрес|AA V IY AA EH0 K S P RRR EH S
авіаескадрилья|AA V IY AA EH0 S K AA D RRR IH L Y AA
авіаз'єднання|AA V IY AA Z Y EH D N AA N AA
авіазавод|AA V IY AA Z AA W AO D
авіазагін|AA V IY AA Z AA IY N
авіазасіб|AA V IY AA Z AA S IY B
авіазв'язок|AA V IY AA Z V Y AA Z AO K
авіакаса|AA V IY AA K AA S AA
авіакатастрофа|AA V IY AA K AA T AA S T RRR AO F AA
авіаквиток|AA V IY AA K V EH0 T AO K
авіаклуб|AA V IY AA K L UW B
авіаколедж|AA V IY AA K AO L EH0 D
авіакомпанія|AA V IY AA K AO M P AA N IY Y AA
авіакомплекс|AA V IY AA K AO M P L EH0 K S
авіаконструктор|AA V IY AA K OW0 N S T RRR UW K T AO RRR
авіаконструювання|AA V IY AA K AO N S T RRR UH Y UH V AA N AA
авіалайнер|AA V IY AA L AA IY N EH0 RRR
авіаль|AA V IY AA L
авіалінія|AA V IY AA L IY N IY Y AA
авіамайстерня|AA V IY AA M AA IY S T EH RRR N AA
авіаматка|AA V IY AA M AA T K AA
авіамаяк|AA V IY AA M AA Y AA K
авіаметеослужба|AA V IY AA M EH0 T EH0 OW0 S L UW ZH B AA
авіаметеостанція|AA V IY AA M EH0 T EH0 AO S T AA N T IY Y AA
авіамеханік|AA V IY AA M EH0 HH AA N IY K
авіамодель|AA V IY AA M AO D EH L
авіамоделізм|AA V IY AA M AO D EH0 L IY Z M
авіамоделіст|AA V IY AA M AO D EH0 L IY S T
авіамотор|AA V IY AA M AO T AO RRR
авіамоторобудування|AA V IY AA M AO T AO RRR AO B UH D UH V AA N AA
авіаносець|AA V IY AA N AO S EH0 T
авіаобприскування|AA V IY AA AO B P RRR IH S K UH V AA N AA
авіаобприскувач|AA V IY AA AO B P RRR IH S K UH V AA T
авіаобробка|AA V IY AA AO B RRR AO B K AA
авіапарк|AA V IY AA P AA RRR K
авіапасажир|AA V IY AA P AA S AA ZH IH RRR
авіапатруль|AA V IY AA P AA T RRR UW L
авіапатрулювання|AA V IY AA P AA T RRR UH L UH V AA N AA
авіаперевезення|AA V IY AA P EH0 RRR EH0 V EH Z EH0 N AA
авіаперевізник|AA V IY AA P EH0 RRR EH0 V IY Z N EH0 K
авіапереліт|AA V IY AA P EH0 RRR EH0 L IY T
авіаподорож|AA V IY AA P AO D AO RRR AO ZH
авіаполк|AA V IY AA P AO L K
авіаполіт|AA V IY AA P OW0 L IY T
авіапорт|AA V IY AA P AO RRR T
авіапошта|AA V IY AA P AO SH T AA
авіапромисловість|AA V IY AA P RRR AO M EH0 S L AO V IY S T
авіапідживлення|AA V IY AA P IY D IH UW L EH0 N AA
авіапідприємство|AA V IY AA P IY D P RRR EH0 Y EH M S T W AO
авіаракетобудування|AA V IY AA RRR AA K EH0 T AO B UH D UH V AA N AA
авіарейд|AA V IY AA RRR EH IY D
авіарейс|AA V IY AA RRR EH IY S
авіарозвідка|AA V IY AA RRR AO Z V IY D K AA
авіарозвідування|AA V IY AA RRR AO Z V IY D UH V AA N AA
авіасалон|AA V IY AA S AA L AO N
авіасекстант|AA V IY AA S EH0 K S T AA N T
авіасервіс|AA V IY AA S EH RRR V IY S
авіасполучення|AA V IY AA S P OW0 L UW T EH0 N AA
авіаспорт|AA V IY AA S P AO RRR T
авіатехнік|AA V IY AA T EH HH N IY K
авіатехніка|AA V IY AA T EH HH N IY K AA
авіатика|AA V IY AA T EH0 K AA
авіатор|AA V IY AA T AO RRR
авіаторпеда|AA V IY AA T AO RRR P EH D AA
авіатравма|AA V IY AA T RRR AA UW M AA
авіатранспорт|AA V IY AA T RRR AA N S P AO RRR T
авіатраса|AA V IY AA T RRR AA S AA
авіаудар|AA V IY AA UH D AA RRR
авіаучилище|AA V IY AA UH T IH L EH0 SH T EH0
авіафауна|AA V IY AA F AA UH N AA
авіафахівець|AA V IY AA F AA HH IY V EH T
авіахім|AA V IY AA HH IY M
авіахімовець|AA V IY AA HH IY M AO V EH0 T
авіаційник|AA V IY AA T IY IY N EH0 K
авіація|AA V IY AA T IY Y AA
авіачастина|AA V IY AA T AA S T IH N AA
авіашкола|AA V IY AA SH K AO L AA
авіашоу|AA V IY AA SH AO UH
авіз|AA V IY Z
авізо|AA V IY Z AO
авізування|AA V IY Z UH V AA N AA
авіста|AA V IY S T AA
авітаміноз|AA V IY T AA M IY N AO Z
авіфауна|AA V IY F AA UH N AA
авієтка|AA V IY Y EH T K AA
агава|AA AA V AA
агентство|AA EH N S T W AO
агенція|AA EH N T IY Y AA
агнеса|AA N EH S AA
аграрний|AA RRR AA RRR N EH0 IY
агресивний|AA RRR EH0 S IH UW N EH0 IY
агресивність|AA RRR EH0 S IH UW N IY S T
агресор|AA RRR EH S AO RRR
агресія|AA RRR EH S IY Y AA
агролісівництво|AA RRR AO L IY S IY UW N IH T T W AO
ад'ютант|AA D Y UH T AA N T
ад'єктивація|AA D Y EH0 K T EH0 V AA T IY Y AA
адаптація|AA D AA P T AA T IY Y AA
адаптувати|AA D AA P T UH V AA T EH0
адвокат|AA D W AO K AA T
адекватний|AA D EH0 K V AA T N EH0 IY
аденозин|AA D EH0 N AO Z IH N
адепт|AA D EH P T
адміністративний|AA D M IY N IY S T RRR AA T IH UW N EH0 IY
адміністратор|AA D M IY N IY S T RRR AA T AO RRR
адміністрація|AA D M IY N IY S T RRR AA T IY Y AA
адмініструвати|AA D M IY N IY S T RRR UH V AA T EH0
адреса|AA D RRR EH0 S AA
адріан|AA D RRR IY AA N
аеродром|AA EH0 RRR AO D RRR AO M
аероліт|AA EH0 RRR OW0 L IY T
аеропорт|AA EH0 RRR AO P AO RRR T
аероскопія|AA EH0 RRR AO S K OW0 P IY Y AA
аерофлот|AA EH0 RRR AO F L AO T
азбука|AA Z B UH K AA
азербайджан|AA Z EH0 RRR B AA IY D AA N
азербайджанський|AA Z EH0 RRR B AA IY D AA N S K EH0 IY
азіатський|AA Z IY AA T K EH0 IY
азія|AA Z IY Y AA
академічний|AA K AA D EH0 M IY T N EH0 IY
академія|AA K AA D EH M IY Y AA
акація|AA K AA T IY Y AA
акації|AA K AA T IY Y IY
аквамарин|AA K V AA M AA RRR IH N
аквамариновий|AA K V AA M AA RRR IH N AO V EH0 IY
акваріум|AA K V AA RRR IY UH M
акт|AA K T
активація|AA K T EH0 V AA T IY Y AA
активний|AA K T IH UW N EH0 IY
активно|AA K T IH UW N AO
активність|AA K T IH UW N IY S T
активувати|AA K T EH0 W UH V AA T EH0
активізм|AA K T EH0 V IY Z M
активіст|AA K T EH0 V IY S T
активістка|AA K T EH0 V IY S T K AA
актор|AA K T AO RRR
акторка|AA K T AO RRR K AA
актриса|AA K T RRR IH S AA
актуальний|AA K T UH AA L N EH0 IY
акул|AA K UW L
акула|AA K UW L AA
акцентувати|AA K T EH0 N T UH V AA T EH0
акціонер|AA K T IY AO N EH RRR
акціонерне|AA K T IY AO N EH RRR N EH0
акціонерний|AA K T IY AO N EH RRR N EH0 IY
акція|AA K T IY Y AA
албанець|AA L B AA N EH0 T
албанка|AA L B AA N K AA
албанський|AA L B AA N S K EH0 IY
албанія|AA L B AA N IY Y AA
але|AA L EH
алегоричний|AA L EH0 AO RRR IH T N EH0 IY
алегорія|AA L EH0 AO RRR IY Y AA
алергія|AA L EH0 RRR IY Y AA
алжир|AA L ZH IH RRR
алжирський|AA L ZH IH RRR S K EH0 IY
алкоголь|AA L K AO AO L
аллах|AA L AA HH
алло|AA L AO
алфавіт|AA L F AA V IY T
альбатрос|AA L B AA T RRR AO S
альв|AA L V
альтернатива|AA L T EH0 RRR N AA T IH V AA
альтернативний|AA L T EH0 RRR N AA T IH UW N EH0 IY
альфабет|AA L F AA B EH T
альянс|AA L Y AA N S
алюміній|AA L UH M IY N IY IY
алістер|AA L IY S T EH0 RRR
аматор|AA M AA T AO RRR
амбітний|AA M B IY T N EH0 IY
амбіція|AA M B IY T IY Y AA
америка|AA M EH RRR EH0 K AA
американець|AA M EH0 RRR EH0 K AA N EH0 T
американський|AA M EH0 RRR EH0 K AA N S K EH0 IY
американізація|AA M EH0 RRR EH0 K AA N IY Z AA T IY Y AA
американізм|AA M EH0 RRR EH0 K AA N IY Z M
амнезія|AA M N EH0 Z IY Y AA
амніоти|AA M N IY AO T EH0
ампер|AA M P EH RRR
амстердам|AA M S T EH0 RRR D AA M
амфібія|AA M F IY B IY Y AA
аналогічний|AA N AA L OW0 IY T N EH0 IY
аналогія|AA N AA L AO IY Y AA
аналіз|AA N AA L IY Z
аналізувати|AA N AA L IY Z UH V AA T EH0
аналітик|AA N AA L IY T EH0 K
аналітичний|AA N AA L IY T IH T N EH0 IY
анамнії|AA N AA M N IY Y IY
ананас|AA N AA N AA S
анастасія|AA N AA S T AA S IY Y AA
анатолій|AA N AA T AO L IY IY
анатомічний|AA N AA T OW0 M IY T N EH0 IY
анатомія|AA N AA T AO M IY Y AA
анафема|AA N AA F EH0 M AA
ангеліна|AA N EH0 L IY N AA
англомовний|AA N L AO M AO UW N EH0 IY
англійка|AA N L IY IY K AA
англійська|AA N L IY IY S K AA
англійський|AA N L IY IY S K EH0 IY
англіканство|AA N L IY K AA N S T W AO
англіцизм|AA N L IY T IH Z M
англія|AA N L IY Y AA
англієць|AA N L IY Y EH0 T
ангольський|AA N AO L S K EH0 IY
андоррський|AA N D AO RRR S K EH0 IY
андріан|AA N D RRR IY AA N
андрій|AA N D RRR IY IY
андріїв|AA N D RRR IY Y IY UW
анекдот|AA N EH0 G D AO T
анексувати|AA N EH0 K S UH V AA T EH0
анексія|AA N EH K S IY Y AA
анжеліка|AA N ZH EH0 L IY K AA
анна|AA N AA
аномальний|AA N AO M AA L N EH0 IY
аномалія|AA N AO M AA L IY Y AA
анонімний|AA N OW0 N IY M N EH0 IY
анонімність|AA N OW0 N IY M N IY S T
ансамбль|AA N S AA M B L
антагонізм|AA N T AA OW0 N IY Z M
антарктичний|AA N T AA RRR K T IH T N EH0 IY
антена|AA N T EH N AA
антиамериканський|AA N T EH0 AA M EH0 RRR EH0 K AA N S K EH0 IY
антибіотик|AA N T EH0 B IY AO T EH0 K
антибіотика|AA N T EH0 B IY AO T EH0 K AA
антибіотикам|AA N T EH0 B IY AO T EH0 K AA M
антибіотиками|AA N T EH0 B IY AO T EH0 K AA M EH0
антибіотиках|AA N T EH0 B IY AO T EH0 K AA HH
антибіотики|AA N T EH0 B IY AO T EH0 K EH0
антибіотиком|AA N T EH0 B IY AO T EH0 K AO M
антибіотику|AA N T EH0 B IY AO T EH0 K UH
антибіотиків|AA N T EH0 B IY AO T EH0 K IY UW
антидот|AA N T EH0 D AO T
антикорупційний|AA N T EH0 K AO RRR UH P T IY IY N EH0 IY
антиномія|AA N T EH0 N AO M IY Y AA
антитіло|AA N T EH0 T IY L AO
античний|AA N T IH T N EH0 IY
антонім|AA N T AO N IY M
антропологічний|AA N T RRR AO P AO L OW0 IY T N EH0 IY
антропологія|AA N T RRR AO P AO L AO IY Y AA
анімалістичний|AA N IY M AA L IY S T IH T N EH0 IY
апарат|AA P AA RRR AA T
апатичний|AA P AA T IH T N EH0 IY
апатія|AA P AA T IY Y AA
апостроф|AA P AO S T RRR AO F
аптека|AA P T EH K AA
арабський|AA RRR AA B S K EH0 IY
аравія|AA RRR AA V IY Y AA
арахнологію|AA RRR AA HH N AO L AO IY Y UH
арахнологія|AA RRR AA HH N AO L AO IY Y AA
арахнологіє|AA RRR AA HH N AO L AO IY Y EH0
арахнологією|AA RRR AA HH N AO L AO IY Y EH0 Y UH
арахнології|AA RRR AA HH N AO L AO IY Y IY
аргентина|AA RRR EH0 N T IH N AA
арешт|AA RRR EH SH T
арештовувати|AA RRR EH0 SH T AO W UH V AA T EH0
арештувати|AA RRR EH0 SH T UH V AA T EH0
аритметика|AA RRR EH0 T M EH T EH0 K AA
арифметика|AA RRR EH0 F M EH T EH0 K AA
арифметичний|AA RRR EH0 F M EH0 T IH T N EH0 IY
арка|AA RRR K AA
арккосинус|AA RRR K AO S EH0 N UH S
арктангенс|AA RRR K T AA N EH0 N S
арктичний|AA RRR K T IH T N EH0 IY
аркуш|AA RRR K UH SH
армія|AA RRR M IY Y AA
аромат|AA RRR AO M AA T
ароматичний|AA RRR AO M AA T IH T N EH0 IY
ароматний|AA RRR AO M AA T N EH0 IY
артерій|AA RRR T EH RRR IY IY
артерію|AA RRR T EH RRR IY Y UH
артерія|AA RRR T EH RRR IY Y AA
артеріям|AA RRR T EH RRR IY Y AA M
артеріями|AA RRR T EH RRR IY Y AA M EH0
артеріях|AA RRR T EH RRR IY Y AA HH
артеріє|AA RRR T EH RRR IY Y EH0
артерією|AA RRR T EH RRR IY Y EH0 Y UH
артерії|AA RRR T EH RRR IY Y IY
артишок|AA RRR T EH0 SH AO K
арфа|AA RRR F AA
арфуш|AA RRR F UW SH
арфіст|AA RRR F IY S T
арфістка|AA RRR F IY S T K AA
архаїзація|AA RRR HH AA Y IY Z AA T IY Y AA
архаїзм|AA RRR HH AA Y IY Z M
археолог|AA RRR HH EH0 AO L AO
археологів|AA RRR HH EH0 AO L AO IY UW
археологічний|AA RRR HH EH0 AO L OW0 IY T N EH0 IY
археологія|AA RRR HH EH0 AO L AO IY Y AA
архонт|AA RRR HH AO N T
архітектор|AA RRR HH IY T EH K T AO RRR
архітектура|AA RRR HH IY T EH0 K T UW RRR AA
архітектурний|AA RRR HH IY T EH0 K T UW RRR N EH0 IY
архієпископ|AA RRR HH IY Y EH0 P IH S K AO P
аріка|AA RRR IY K AA
арістотель|AA RRR IY S T AO T EH0 L
асимптота|AA S EH0 M P T AO T AA
асиміляція|AA S EH0 M IY L AA T IY Y AA
асинхронний|AA S EH0 N HH RRR AO N EH0 IY
асистент|AA S EH0 S T EH N T
асистентка|AA S EH0 S T EH N T K AA
аскет|AA S K EH T
аскетизм|AA S K EH0 T IH Z M
аскетично|AA S K EH0 T IH T N AO
асортимент|AA S AO RRR T EH0 M EH N T
асоціація|AA S AO T IY AA T IY Y AA
аспект|AA S P EH K T
астероїд|AA S T EH0 RRR AO Y IY D
астрологія|AA S T RRR AO L AO IY Y AA
астрономія|AA S T RRR AO N AO M IY Y AA
асія|AA S IY Y AA
атака|AA T AA K AA
ательє|AA T EH0 L Y EH
атеїзм|AA T EH0 Y IY Z M
атеїстичний|AA T EH0 Y IY S T IH T N EH0 IY
атлантичний|AA T L AA N T IH T N EH0 IY
атом|AA T AO M
аттик|AA T EH0 K
аудиторія|AA UH D EH0 T AO RRR IY Y AA
аура|AA UH RRR AA
аутизм|AA UH T IH Z M
аутсайдер|AA UH T AA IY D EH0 RRR
афаліна|AA F AA L IY N AA
афганський|AA V AA N S K EH0 IY
афганістан|AA V AA N IY S T AA N
африка|AA F RRR EH0 K AA
африканець|AA F RRR EH0 K AA N EH0 T
африканка|AA F RRR EH0 K AA N K AA
африканський|AA F RRR EH0 K AA N S K EH0 IY
афіни|AA F IY N EH0
афіша|AA F IY SH AA
ах|AA HH
ацтек|AA T T EH K
ацтекський|AA T T EH K S K EH0 IY
аґрус|AA G RRR UH S
аґрусовий|AA G RRR UH S AO V EH0 IY
аґрусівка|AA G RRR UH S IY UW K AA
баба|B AA B AA
бабисько|B AA B IH S K AO
бабище|B AA B IH SH T EH0
бабка|B AA B K AA
бабуся|B AA B UW S AA
бабченко|B AA B T EH0 N K AO
баварський|B AA V AA RRR S K EH0 IY
баварія|B AA V AA RRR IY Y AA
бавитися|B AA V EH0 T EH0 S AA
бавовна|B AA W AO UW N AA
бавовняний|B AA W AO UW N AA N EH0 IY
багаж|B AA AA ZH
багатий|B AA AA T EH0 IY
