aa|AA
aataminaikainen|AA T AA M IY N AA IY K AA IY N EH0 N
aataminomena|AA T AA M IY N OW0 M EH0 N AA
aate|AA T EH0 Q
aateli|AA T EH0 L IY
aatelinen|AA T EH0 L IY N EH0 N
aatelismies|AA T EH0 L IY S M IY EH0 S
aatelisnainen|AA T EH0 L IY S N AA IY N EH0 N
aatelisneiti|AA T EH0 L IY S N EH0 IY T IY
aatelisrouva|AA T EH0 L IY S RRR OW0 UW W AA
aatelisto|AA T EH0 L IY S T OW0
aatella|AA T EH0 L AA Q
aateloida|AA T EH0 L OW0 IY D AA Q
aateloiminen|AA T EH0 L OW0 IY M IY N EH0 N
aatelointi|AA T EH0 L OW0 IY N T IY
aato|AA T OW0
aatonaatto|AA T OW0 N AA T OW0
aatos|AA T OW0 S
aatra|AA T RRR AA
aatteellinen|AA T EH0 L L IY N EH0 N
aatto|AA T OW0
aava|AA V AA
aave|AA V EH0 Q
aavemainen|AA V EH0 M AA IY N EH0 N
aavikko|AA V IY K OW0
aavikkoilves|AA V IY K OW0 IY L V EH0 S
aavikkokenguru|AA V IY K OW0 K EH0 NG UW RRR UW
aavikkolokki|AA V IY K OW0 L OW0 K IY
aavikkopöllö|AA V IY K OW0 P OE L OE
aavikoituakseen|AA V IY K OW0 IY T UW AA K S EH0 N
aavikoituminen|AA V IY K OW0 IY T UW M IY N EH0 N
aavistaa|AA V IY S T AA Q
aavistamaton|AA V IY S T AA M AA T OW0 N
aavistamatta|AA V IY S T AA M AA T AA
aavistaminen|AA V IY S T AA M IY N EH0 N
aavisteleminen|AA V IY S T EH0 L EH0 M IY N EH0 N
aavistus|AA V IY S T UW S
abakus|AA B AA K UW S
abbedissa|AA B EH0 D IY S AA
abbreviaatio|AA B RRR EH0 V IY AA T IY OW0
abdikaatio|AA B D IY K AA T IY OW0
abdominaalinen|AA B D OW0 M IY N AA L IY N EH0 N
aberraatio|AA B EH0 RRR RRR AA T IY OW0
abessiivi|AA B EH0 S S IY V IY
abessinialainen|AA B EH0 S IY N IY AA L AA IY N EH0 N
abi|AA B IY
abioottinen|AA B IY OW0 T IY N EH0 N
abiturientti|AA B IY T UW RRR IY EH0 N T IY
ablatiivi|AA B L AA T IY V IY
ablaut|AA B L AA UW T
abnormaali|AA B N OW0 RRR M AA L IY
abnormi|AA B N OW0 RRR M IY
aboraalinen|AA B OW0 RRR AA L IY N EH0 N
aboriginaali|AA B OW0 RRR IY G IY N AA L IY
abortoida|AA B OW0 RRR T OW0 IY D AA Q
abortti|AA B OW0 RRR T IY
abrakadabra|AA B RRR AA K AA D AA B RRR AA
absessi|AA B S EH0 S IY
absintti|AA B S IY N T IY
absolutismi|AA B S OW0 L UW T IY S M IY
absolutistinen|AA B S OW0 L UW T IY S T IY N EH0 N
absoluutti|AA B S OW0 L UW T IY
absorboida|AA B S OW0 RRR B OW0 IY D AA Q
absorboiminen|AA B S OW0 RRR B OW0 IY M IY N EH0 N
absorboitua|AA B S OW0 RRR B OW0 IY T UW AA Q
absorboituakseen|AA B S OW0 RRR B OW0 IY T UW AA K S EH0 N
absorboituminen|AA B S OW0 RRR B OW0 IY T UW M IY N EH0 N
absorptio|AA B S OW0 RRR P T IY OW0
absorptiokyky|AA B S OW0 RRR P T IY OW0 K Y UW1 K Y UW1
absorptioviiva|AA B S OW0 RRR P T IY OW0 V IY V AA
abstrahoida|AA B S T RRR AA HH OW0 IY D AA Q
abstrahoiminen|AA B S T RRR AA HH OW0 IY M IY N EH0 N
abstrahointi|AA B S T RRR AA HH OW0 IY N T IY
abstrahoitua|AA B S T RRR AA HH OW0 IY T UW AA Q
abstrahoituma|AA B S T RRR AA HH OW0 IY T UW M AA
abstrahoituminen|AA B S T RRR AA HH OW0 IY T UW M IY N EH0 N
abstrakti|AA B S T RRR AA K T IY
abstraktinen|AA B S T RRR AA K T IY N EH0 N
abstraktio|AA B S T RRR AA K T IY OW0
abstraktistaminen|AA B S T RRR AA K T IY S T AA M IY N EH0 N
abstraktistuminen|AA B S T RRR AA K T IY S T UW M IY N EH0 N
abstraktoida|AA B S T RRR AA K T OW0 IY D AA Q
absurdi|AA B S UW RRR D IY
absurdisti|AA B S UW RRR D IY S T IY Q
abyssaalinen|AA B Y UW1 S S AA L IY N EH0 N
adamantiini|AA D AA M AA N T IY N IY
adamiitti|AA D AA M IY T IY
adapteri|AA D AA P T EH0 RRR IY
adapterit|AA D AA P T EH0 RRR IY T
adaptiivinen|AA D AA P T IY V IY N EH0 N
adaptoida|AA D AA P T OW0 IY D AA Q
adaptoiminen|AA D AA P T OW0 IY M IY N EH0 N
adaptoitua|AA D AA P T OW0 IY T UW AA Q
addiktio|AA D IY K T IY OW0
addiktoiva|AA D IY K T OW0 IY V AA
additiivinen|AA D IY T IY V IY N EH0 N
additioreaktio|AA D IY T IY OW0 RRR EH0 AA K T IY OW0
addressi|AA D RRR EH0 S IY
adekvaatti|AA D EH0 K V AA T IY
adessiivi|AA D EH0 S S IY V IY
adiabaatti|AA D IY AA B AA T IY
adiabaattinen|AA D IY AA B AA T IY N EH0 N
adipolyysi|AA D IY P OW0 L Y UW1 S IY
adjektiivi|AA D Y EH0 K T IY V IY
adjungaatti|AA D Y UW NG NG AA T IY
admittanssi|AA D M IY T T AA N S IY
adoptio|AA D OW0 P T IY OW0
adoptoida|AA D OW0 P T OW0 IY D AA Q
adoptoiminen|AA D OW0 P T OW0 IY M IY N EH0 N
adoptointi|AA D OW0 P T OW0 IY N T IY
adoraalinen|AA D OW0 RRR AA L IY N EH0 N
adpositio|AA D P OW0 S IY T IY OW0
adrenaliini|AA D RRR EH0 N AA L IY N IY
adressi|AA D RRR EH0 S IY
adressia|AA D RRR EH0 S S IY AA
adsorboiminen|AA D S OW0 RRR B OW0 IY M IY N EH0 N
adsorboitua|AA D S OW0 RRR B OW0 IY T UW AA Q
adsorboituminen|AA D S OW0 RRR B OW0 IY T UW M IY N EH0 N
adsorptiokromatografia|AA D S OW0 RRR P T IY OW0 K RRR OW0 M AA T OW0 G RRR AA F IY AA
adsorptiokuivain|AA D S OW0 RRR P T IY OW0 K UW IY V AA IY N
adsukipapu|AA D S UW K IY P AA P UW
adventti|AA D V EH0 N T IY
adventtikalenteri|AA D V EH0 N T IY K AA L EH0 N T EH0 RRR IY
adverbi|AA D V EH0 RRR B IY
adverbiaali|AA D V EH0 RRR B IY AA L IY
adverbiaalinen|AA D V EH0 RRR B IY AA L IY N EH0 N
adverbilauseke|AA D V EH0 RRR B IY L AA UW S EH0 K EH0 Q
adversatiivinen|AA D V EH0 RRR S AA T IY V IY N EH0 N
aedeagus|AA EH0 D EH0 AA G UW S
aerobic|AA EH0 RRR OW0 B IY K IY
aerobikata|AA EH0 RRR OW0 B IY K AA T AA Q
aerobinen|AA EH0 RRR OW0 B IY N EH0 N
aerodynaaminen|AA EH0 RRR OW0 D Y UW1 N AA M IY N EH0 N
aerodynamiikka|AA EH0 RRR OW0 D Y UW1 N AA M IY K AA
aerofagia|AA EH0 RRR OW0 F AA G IY AA
aerologia|AA EH0 RRR OW0 L OW0 G IY AA
aerometri|AA EH0 RRR OW0 M EH0 T RRR IY
aerometria|AA EH0 RRR OW0 M EH0 T RRR IY AA
aeronomi|AA EH0 RRR OW0 N OW0 M IY
aeronomia|AA EH0 RRR OW0 N OW0 M IY AA
aerosoli|AA EH0 RRR OW0 S OW0 L IY
affiliaatio|AA F IY L IY AA T IY OW0
afgaani|AA F G AA N IY
afgaaninvinttikoira|AA F G AA N IY N V IY N T IY K OW0 IY RRR AA
afganistanilainen|AA F G AA N IY S T AA N IY L AA IY N EH0 N
aforismi|AA F OW0 RRR IY S M IY
aforismikokoelma|AA F OW0 RRR IY S M IY K OW0 K OW0 EH0 L M AA
aforisti|AA F OW0 RRR IY S T IY
aforistikko|AA F OW0 RRR IY S T IY K OW0
aforistinen|AA F OW0 RRR IY S T IY N EH0 N
afrikaans|AA F RRR IY K AA N S
afrikanhanhi|AA F RRR IY K AA N HH AA N HH IY
afrikkalainen|AA F RRR IY K AA L AA IY N EH0 N
afrikkalaisamerikkalainen|AA F RRR IY K AA L AA IY S AA M EH0 RRR IY K AA L AA IY N EH0 N
afrosuomalainen|AA F RRR OW0 S UW OW0 M AA L AA IY N EH0 N
afrotanssi|AA F RRR OW0 T AA N S IY
afääri|AA F AE RRR IY
agaave|AA G AA V EH0
agalmatoliitti|AA G AA L M AA T OW0 L IY T IY
agentti|AA G EH0 N T IY
agglutinoida|AA G L UW T IY N OW0 IY D AA Q
aggregaatio|AA G RRR EH0 G AA T IY OW0
aggregoida|AA G RRR EH0 G OW0 IY D AA Q
aggregointi|AA G RRR EH0 G OW0 IY N T IY
aggressiivinen|AA G G RRR EH0 S S IY V IY N EH0 N
aggressiivisuus|AA G RRR EH0 S S IY V IY S UW S
agility|AA G IY L IY T Y UW1
agitaatio|AA G IY T AA T IY OW0
agitaattori|AA G IY T AA T OW0 RRR IY
agitoida|AA G IY T OW0 IY D AA Q
agitoiminen|AA G IY T OW0 IY M IY N EH0 N
agitprop|AA G IY T P RRR OW0 P
agnostikko|AA G N OW0 S T IY K OW0
agnostinen|AA G N OW0 S T IY N EH0 N
agnostisismi|AA G N OW0 S T IY S IY S M IY
agnostisuus|AA G N OW0 S T IY S UW S
agogiikka|AA G OW0 G IY K AA
agogo|AA G OW0 G OW0
agonaalinen|AA G OW0 N AA L IY N EH0 N
agonia|AA G OW0 N IY AA
agonisti|AA G OW0 N IY S T IY
agorafobia|AA G OW0 RRR AA F OW0 B IY AA
agrologia|AA G RRR OW0 L OW0 G IY AA
agronomia|AA G RRR OW0 N OW0 M IY AA
ah|AA HH
aha|AA AA Q
ahaa|AA AA
ahava|AA AA V AA
ahavoittaa|AA AA V OW0 IY T AA Q
ahavoittaminen|AA AA V OW0 IY T AA M IY N EH0 N
ahavoitua|AA AA V OW0 IY T UW AA Q
ahavoituminen|AA AA V OW0 IY T UW M IY N EH0 N
ahdas|AA HH D AA S
ahdata|AA HH D AA T AA Q
ahde|AA HH D EH0 Q
ahdin|AA HH D IY N
ahdinko|AA HH D IY NG K OW0
ahdistaa|AA HH D IY S T AA Q
ahdistaminen|AA HH D IY S T AA M IY N EH0 N
ahdisteleminen|AA HH D IY S T EH0 L EH0 M IY N EH0 N
ahdistelu|AA HH D IY S T EH0 L UW
ahdistua|AA HH D IY S T UW AA Q
ahdistuminen|AA HH D IY S T UW M IY N EH0 N
ahdistus|AA HH D IY S T UW S
ahdistushäiriö|AA HH D IY S T UW S HH AE IY RRR IY OE
ahdos|AA HH D OW0 S
ahertaa|AA EH0 RRR T AA Q
ahertaminen|AA EH0 RRR T AA M IY N EH0 N
ahjo|AA HH Y OW0
ahjohiili|AA HH Y OW0 HH IY L IY
ahkera|AA HH K EH0 RRR AA
ahkeroida|AA HH K EH0 RRR OW0 IY D AA Q
ahkeroiminen|AA HH K EH0 RRR OW0 IY M IY N EH0 N
ahkeroitseminen|AA HH K EH0 RRR OW0 IY T S EH0 M IY N EH0 N
ahkio|AA HH K IY OW0
ahma|AA HH M AA
ahmaiseminen|AA HH M AA IY S EH0 M IY N EH0 N
ahmaista|AA HH M AA IY S T AA Q
ahmatti|AA HH M AA T IY
ahmia|AA HH M IY AA Q
ahmiminen|AA HH M IY M IY N EH0 N
ahmimishäiriö|AA HH M IY M IY S HH AE IY RRR IY OE
ahmintahäiriö|AA HH M IY N T AA HH AE IY RRR IY OE
ahnas|AA HH N AA S
ahnasta|AA HH N AA S T AA
ahne|AA HH N EH0 Q
ahnehtia|AA HH N EH0 HH T IY AA Q
ahnehtiminen|AA HH N EH0 HH T IY M IY N EH0 N
ahneus|AA HH N EH0 UW S
aho|AA OW0
ahola|AA OW0 L AA
aholainen|AA OW0 L AA IY N EH0 N
aholeinikki|AA OW0 L EH0 IY N IY K IY
ahomansikka|AA OW0 M AA N S IY K AA
ahosuolaheinä|AA OW0 S UW OW0 L AA HH EH0 IY N AE
ahtaa|AA HH T AA Q
ahtaaminen|AA HH T AA M IY N EH0 N
ahtaanpaikankammo|AA HH T AA M P AA IY K AA NG K AA M OW0
ahtaminen|AA HH T AA M IY N EH0 N
ahtaneeksi|AA HH T AA N EH0 K S IY
ahtaneella|AA HH T AA N EH0 L AA
ahtaneelle|AA HH T AA N EH0 L EH0 Q
ahtaneelta|AA HH T AA N EH0 L T AA
ahtaneen|AA HH T AA N EH0 N
ahtaneena|AA HH T AA N EH0 N AA
ahtaneeseen|AA HH T AA N EH0 S EH0 N
ahtaneessa|AA HH T AA N EH0 S AA
ahtaneesta|AA HH T AA N EH0 S T AA
ahtaneetta|AA HH T AA N EH0 T AA
ahtanutta|AA HH T AA N UW T AA
ahtauma|AA HH T AA UW M AA
ahtaus|AA HH T AA UW S
ahtauttaa|AA HH T AA UW T AA Q
ahtauttaminen|AA HH T AA UW T AA M IY N EH0 N
ahtautua|AA HH T AA UW T UW AA Q
ahtautuminen|AA HH T AA UW T UW M IY N EH0 N
ahtera|AA HH T EH0 RRR AA
ahteri|AA HH T EH0 RRR IY
ahti|AA HH T IY
ahto|AA HH T OW0
ahtojää|AA HH T OW0 Y AE
ahtoutuminen|AA HH T OW0 UW T UW M IY N EH0 N
ahven|AA HH V EH0 N
ahvenanmaa|AA HH V EH0 N AA M M AA
ahvenanmaanlammas|AA HH V EH0 N AA M M AA N L AA M AA S
ahvenanmanner|AA HH V EH0 N AA M M AA N EH0 RRR
ahvenanmeri|AA HH V EH0 N AA M M EH0 RRR IY
ahvenkala|AA HH V EH0 NG K AA L AA
ahvenkalat|AA HH V EH0 NG K AA L AA T
ahvenmuhennos|AA HH V EH0 M M UW EH0 N OW0 S
ahvo|AA HH V OW0
ai|AA IY
aiai|AA IY AA IY
aidanteko|AA IY D AA N T EH0 K OW0
aidas|AA IY D AA S
aidata|AA IY D AA T AA Q
aidattu|AA IY D AA T UW Q
aidoittaminen|AA IY D OW0 IY T T AA M IY N EH0 N
aids|AA IY D S
aie|AA IY EH0 Q
aiemminkin|AA IY EH0 M M IY NG K IY N
aientaa|AA IY EH0 N T AA Q
aientaminen|AA IY EH0 N T AA M IY N EH0 N
aihe|AA IY EH0 Q
aiheellistaa|AA IY EH0 L L IY S T AA Q
aiheellistaminen|AA IY EH0 L L IY S T AA M IY N EH0 N
aiheellistuminen|AA IY EH0 L L IY S T UW M IY N EH0 N
aiheeton|AA IY EH0 T OW0 N
aihekokonaisuus|AA IY EH0 K K OW0 K OW0 N AA IY S UW S
aihetodiste|AA IY EH0 T T OW0 D IY S T EH0 Q
aiheuttaa|AA IY EH0 UW T AA Q
aiheuttaminen|AA IY EH0 UW T AA M IY N EH0 N
aiheutua|AA IY EH0 UW T UW AA Q
aiheutuminen|AA IY EH0 UW T UW M IY N EH0 N
aihio|AA IY IY OW0
aija|AA IY Y AA
aijai|AA IY Y AA IY
aika|AA IY K AA
aikaan|AA IY K AA N
aikaansaada|AA IY K AA N S AA D AA Q
aikaansaaminen|AA IY K AA N S AA M IY N EH0 N
aikaansaava|AA IY K AA N S AA V AA
aikaansaavuus|AA IY K AA N S AA V UW S
aikaerotteinen|AA IY K AA EH0 RRR OW0 T T EH0 IY N EH0 N
aikaikkuna|AA IY K AA IY K UW N AA
aikaileminen|AA IY K AA IY L EH0 M IY N EH0 N
aikailla|AA IY K AA IY L AA Q
aikaillen|AA IY K AA IY L EH0 N
aikainen|AA IY K AA IY N EH0 N
aikaisemmin|AA IY K AA IY S EH0 M IY N
aikaisheteisyys|AA IY K AA IY S HH EH0 T EH0 IY S Y UW1 S
aikaisimmin|AA IY K AA IY S IY M IY N
aikaisin|AA IY K AA IY S IY N
aikaistaa|AA IY K AA IY S T AA Q
aikaistaminen|AA IY K AA IY S T AA M IY N EH0 N
aikaistua|AA IY K AA IY S T UW AA Q
aikaistuminen|AA IY K AA IY S T UW M IY N EH0 N
aikajakso|AA IY K AA Y AA K S OW0
aikakatkaista|AA IY K AA K AA T K AA IY S T AA Q
aikakatkaisu|AA IY K AA K AA T K AA IY S UW
aikakausi|AA IY K AA K AA UW S IY
aikakauslehtipaperi|AA IY K AA K AA UW S L EH0 HH T IY P AA P EH0 RRR IY
aikakoodi|AA IY K AA K OW0 D IY
aikalainen|AA IY K AA L AA IY N EH0 N
aikalaskelma|AA IY K AA L AA S K EH0 L M AA
aikamatka|AA IY K AA M AA T K AA
aikamatkaaja|AA IY K AA M AA T K AA Y AA
aikamatkailu|AA IY K AA M AA T K AA IY L UW
aikamoinen|AA IY K AA M OW0 IY N EH0 N
aikamuoto|AA IY K AA M UW OW0 T OW0
aikamääre|AA IY K AA M AE RRR EH0 Q
aikana|AA IY K AA N AA
aikanaan|AA IY K AA N AA N
aikaohjaus|AA IY K AA OW0 HH Y AA UW S
aikapallo|AA IY K AA P AA L OW0
aikapula|AA IY K AA P UW L AA
aikaraja|AA IY K AA RRR AA Y AA
aikasakko|AA IY K AA S AA K OW0
aikasarja|AA IY K AA S AA RRR Y AA
aikasten|AA IY K AA S T EH0 N
aikatauluttaa|AA IY K AA T AA UW L UW T AA Q
aikatauluttaminen|AA IY K AA T AA UW L UW T T AA M IY N EH0 N
aikatyö|AA IY K AA T Y UW1 OE
aikava|AA IY K AA V AA
aikaväli|AA IY K AA V AE L IY
aikeissa|AA IY K EH0 IY S AA
aikido|AA IY K IY D OW0
aikoa|AA IY K OW0 AA Q
aikoinaan|AA IY K OW0 IY N AA N
aikominen|AA IY K OW0 M IY N EH0 N
aikomus|AA IY K OW0 M UW S
aikuinen|AA IY K UW IY N EH0 N
aikuislapsi|AA IY K UW IY S L AA P S IY
aikuismaisesti|AA IY K UW IY S M AA IY S EH0 S T IY Q
aikuistaa|AA IY K UW IY S T AA Q
aikuistua|AA IY K UW IY S T UW AA Q
aikuistuminen|AA IY K UW IY S T UW M IY N EH0 N
aikuistuttava|AA IY K UW IY S T UW T AA V AA
aikuistuttu|AA IY K UW IY S T UW T UW Q
aila|AA IY L AA
ailahdella|AA IY L AA HH D EH0 L AA Q
ailahdellen|AA IY L AA HH D EH0 L EH0 N
ailahtaa|AA IY L AA HH T AA Q
ailahtaminen|AA IY L AA HH T AA M IY N EH0 N
ailahteleminen|AA IY L AA HH T EH0 L EH0 M IY N EH0 N
aili|AA IY L IY
ailurofobia|AA IY L UW RRR OW0 F OW0 B IY AA
aimo|AA IY M OW0
aina|AA IY N AA
aine|AA IY N EH0 Q
aineellinen|AA IY N EH0 L L IY N EH0 N
aineellistaa|AA IY N EH0 L L IY S T AA Q
aineellistaminen|AA IY N EH0 L L IY S T AA M IY N EH0 N
aineellistuminen|AA IY N EH0 L L IY S T UW M IY N EH0 N
aineenvaihdunta|AA IY N EH0 N V AA IY HH D UW N T AA
aineet|AA IY N EH0 T
aineeton|AA IY N EH0 T OW0 N
ainehiukkanen|AA IY N EH0 HH HH IY UW K AA N EH0 N
aineisto|AA IY N EH0 IY S T OW0
aineistotietokanta|AA IY N EH0 IY S T OW0 T IY EH0 T OW0 K AA N T AA
aineistua|AA IY N EH0 IY S T UW AA Q
aineistuminen|AA IY N EH0 IY S T UW M IY N EH0 N
ainemäärä|AA IY N EH0 M M AE RRR AE
aineoppi|AA IY N EH0 Q OW0 P IY
aineryhmä|AA IY N EH0 RRR RRR Y UW1 HH M AE
aines|AA IY N EH0 S
ainesana|AA IY N EH0 S S AA N AA
ainesosa|AA IY N EH0 S OW0 S AA
aini|AA IY N IY
ainiaan|AA IY N IY AA N
ainikki|AA IY N IY K IY
aino|AA IY N OW0
ainoa|AA IY N OW0 AA
ainoinen|AA IY N OW0 IY N EH0 N
ainokainen|AA IY N OW0 K AA IY N EH0 N
ainuntaa|AA IY N UW N T AA Q
ainut|AA IY N UW T
aio|AA IY OW0 Q
aioli|AA IY OW0 L IY
aiolinen|AA IY OW0 L IY N EH0 N
aion|AA IY OW0 N
aioni|AA IY OW0 N IY
aira|AA IY RRR AA
airaksinen|AA IY RRR AA K S IY N EH0 N
airas|AA IY RRR AA S
airfryer|AA IY RRR F RRR AA IY EH0 RRR
airi|AA IY RRR IY
airo|AA IY RRR OW0
airue|AA IY RRR UW EH0 Q
airut|AA IY RRR UW T
ais|AA IY S
aisa|AA IY S AA
aisaaminen|AA IY S AA M IY N EH0 N
aisakeinu|AA IY S AA K EH0 IY N UW
aisankannatin|AA IY S AA NG K AA N AA T IY N
aiskhylos|AA IY S K HH Y UW1 L OW0 S
aisti|AA IY S T IY Q
aistia|AA IY S T IY AA Q
aistielämys|AA IY S T IY EH0 L AE M Y UW1 S
aistiharha|AA IY S T IY HH AA RRR HH AA
aistikas|AA IY S T IY K AA S
aistin|AA IY S T IY N
aistinelin|AA IY S T IY N EH0 L IY N
aistinsisältö|AA IY S T IY N S IY S AE L T OE
aita|AA IY T AA
aitaa|AA IY T AA Q
aitaamaton|AA IY T AA M AA T OW0 N
aitaaminen|AA IY T AA M IY N EH0 N
aitaverkko|AA IY T AA V EH0 RRR K OW0
aitio|AA IY T IY OW0
aito|AA IY T OW0
aitoa|AA IY T OW0 AA Q
aitoakseen|AA IY T OW0 AA K S EH0 N
aitoja|AA IY T OW0 Y AA
aitolehti|AA IY T OW0 L EH0 HH T IY
aitomaksasammal|AA IY T OW0 M AA K S AA S AA M AA L
aitominen|AA IY T OW0 M IY N EH0 N
aitosammal|AA IY T OW0 S AA M AA L
aitotumainen|AA IY T OW0 T UW M AA IY N EH0 N
aitovieri|AA IY T OW0 V IY EH0 RRR IY
aitovirna|AA IY T OW0 V IY RRR N AA
aitta|AA IY T AA
aivan|AA IY V AA N
aivastaa|AA IY V AA S T AA Q
aivastava|AA IY V AA S T AA V AA
aivasteleminen|AA IY V AA S T EH0 L EH0 M IY N EH0 N
aivastuttaminen|AA IY V AA S T UW T AA M IY N EH0 N
aivojumppa|AA IY V OW0 Y UW M P AA
aivokalvontulehdus|AA IY V OW0 K AA L V OW0 N T UW L EH0 HH D UW S
aivokirurgi|AA IY V OW0 K IY RRR UW RRR G IY
aivokuolema|AA IY V OW0 K UW OW0 L EH0 M AA
aivokuorenalainen|AA IY V OW0 K UW OW0 RRR EH0 N AA L AA IY N EH0 N
aivokuori|AA IY V OW0 K UW OW0 RRR IY
aivokurkiainen|AA IY V OW0 K UW RRR K IY AA IY N EH0 N
aivokuume|AA IY V OW0 K UW M EH0 Q
aivokäyrä|AA IY V OW0 K AE Y UW1 RRR AE
aivolisäke|AA IY V OW0 L IY S AE K EH0 Q
aivolohko|AA IY V OW0 L OW0 HH K OW0
aivolymfooma|AA IY V OW0 L Y UW1 M F OW0 M AA
aivomato|AA IY V OW0 M AA T OW0
aivopestä|AA IY V OW0 P EH0 S T AE Q
aivosähkökäyrä|AA IY V OW0 S AE HH K OE K AE Y UW1 RRR AE
aivot|AA IY V OW0 T
aivotoiminta|AA IY V OW0 T OW0 IY M IY N T AA
