ᆜ|Y UW0
가달|K AE D AE L
가독성|K AE D OW0 K S AH NG
가돌리늄|K AE D OW0 L IY L IY IY N IY0 UW M
가동|K AE D OW0 NG
가동되다|K AE D OW0 NG D W EH0 D AE
가동하다|K AE D OW0 NG AE D AE
가두녀성|K AE D UW N IY0 AH S AH NG
가두다|K AE D UW D AE
가두리|K AE D UW R IY
가드|K AE D UW0
가득|K AE D UW0 K
가득가득|K AE D UW0 K K AE D UW0 K
가득하다|K AE D UW0 K AE D AE
가따까나|K AE T AE K AE N AE
가라|K AE R AE
가라데|K AE R AE D EH0
가라앉다|K AE R AE AE N T AE
가라오케|K AE R AE OW0 K EH0
가락|K AE R AE K
가락점|K AE R AE K T AH M
가락지|K AE R AE K T IY
가락지빵|K AE R AE K T IY P AE NG
가람|K AE R AE M
가랑비|K AE R AE NG B IY
가련하다|K AE R Y AH N AE D AE
가련히|K AE R Y AH N IY IY
가렵다|K AE R Y AH P T AE
가령|K AE R Y AH NG
가령가령ᄒᆞ다|K AE R Y AH NG G AE R Y AH NG AE D AE
가로|K AE R OW0
가로다|K AE R OW0 D AE
가로등|K AE R OW0 D UW0 NG
가로막|K AE R OW0 M AE K
가로지다|K AE R OW0 D IY D AE
가뢰|K AE R W EH0
가루|K AE R UW
가르다|K AE R UW0 D AE
가르치다|K AE R UW0 T IY D AE
가르침|K AE R UW0 T IY M
가름|K AE R UW0 M
가리다|K AE R IY D AE
가리비|K AE R IY B IY
가마|K AE M AE
가마괴|K AE M AE G W EH0
가마솥|K AE M AE S OW0 T
가마우지|K AE M AE UW D IY
가마치|K AE M AE T IY
가만|K AE M AE N
가만가만|K AE M AE N G AE M AE N
가만두다|K AE M AE N D UW D AE
가만히|K AE M AE N IY IY
가맣다|K AE M AE T AE
가면|K AE M Y AH N
가면극|K AE M Y AH N G UW0 K
가멸다|K AE M Y AH L D AE
가명|K AE M Y AH NG
가무|K AE M UW
가무이야기|K AE M UW IY Y AE G IY
가문|K AE M UW N
가물가물|K AE M UW L G AE M UW L
가물치|K AE M UW L IY T IY
가뭄|K AE M UW M
가뭇가뭇|K AE M UW T K AE M UW T
가미카제|K AE M IY K AE D EH0
가발|K AE B AE L
가방|K AE B AE NG
가벌|K AE B AH L
가벼워지다|K AE B Y AH W AH D IY D AE
가변|K AE B Y AH N
가볍다|K AE B Y AH P T AE
가보|K AE B OW0
가보로네|K AE B OW0 R OW0 N EH0
가봉|K AE B OW0 NG
가부좌|K AE B UW D W AE
가불기|K AE B UW L G IY
가브리엘|K AE B UW0 R IY EH0 L
가쁘다|K AE P UW0 D AE
가사|K AE S AE
가산|K AE S AE N
가산되다|K AE S AE N D W EH0 D AE
가산하다|K AE S AE N AE D AE
가설|K AE S AH L
가설되다|K AE S AH L D W EH0 D AE
가설법|K AE S AH L P AH P
가설하다|K AE S AH R AE D AE
가성비|K AE S AH NG B IY
가세|K AE S EH0
가세하다|K AE S EH0 AE D AE
가소롭다|K AE S OW0 R OW0 P T AE
가소제|K AE S OW0 D EH0
가솔린|K AE S OW0 L IY L IY IY N
가수|K AE S UW
가숭어|K AE S UW NG AH
가스|K AE S UW0
가스나이|K AE S UW0 N AE IY
가스레인지|K AE S UW0 R EH0 IY N IY0 D IY
가스파초|K AE S UW0 P AE T OW0
가슴|K AE S UW0 M
가슴뼈|K AE S UW0 M P Y AH
가슴주머니|K AE S UW0 M D UW M AH N IY
가시|K AE SH IY
가시고기|K AE SH IY G OW0 G IY
가시나|K AE SH IY N AE
가시나무|K AE SH IY N AE M UW
가시납지리|K AE SH IY N AE P T IY R IY
가시다|K AE SH IY D AE
가시두더지|K AE SH IY D UW D AH D IY
가시버시|K AE SH IY B AH SH IY
가시비름|K AE SH IY B IY R UW0 M
가시아버지|K AE SH IY AE B AH D IY
가시어머니|K AE SH IY AH M AH N IY
가시집|K AE SH IY D IY P
가시화|K AE SH IY V W AE
가식|K AE SH IY K
가식하다|K AE SH IY K AE D AE
가실|K AE SH IY L
가쓰오부시|K AE S UW0 OW0 B UW SH IY
가야|K AE Y AE
가야금|K AE Y AE G UW0 M
가언적|K AE AH N IY0 D AH K
가없다|K AE AH P T AE
가없이|K AE AH P SH IY
가연성|K AE Y AH N S AH NG
가엾다|K AE Y AH P T AE
가오|K AE OW0
가오리|K AE OW0 R IY
가요|K AE Y OW0
가운데|K AE UW N D EH0
가운데소리|K AE UW N D EH0 S OW0 R IY
가웃|K AE UW T
가위|K AE IY
가위바위보|K AE IY B AE IY B OW0
가위주먹|K AE IY D UW M AH K
가을|K AE UW0 L
가을철|K AE UW0 L IY T AH L
가이|K AE IY
가이드|K AE IY D UW0
가이아나|K AE IY AE N AE
가자|K AE D AE
가장|K AE D AE NG
가장자리|K AE D AE NG D AE R IY
가정|K AE D AH NG
가정교사|K AE D AH NG K Y OW0 S AE
가정법|K AE D AH NG P AH P
가정부|K AE D AH NG B UW
가정하다|K AE D AH NG AE D AE
가제|K AE D EH0
가제따|K AE D EH0 T AE
가젤|K AE D EH0 L
가져가다|K AE D AH G AE D AE
가져오다|K AE D AH OW0 D AE
가족|K AE D OW0 K
가주|K AE D UW
가죽|K AE D UW K
가죽끈|K AE D UW K K UW0 N
가지|K AE D IY
가지가지|K AE D IY G AE D IY
가지고|K AE D IY G OW0
가지다|K AE D IY D AE
가지뿔|K AE D IY P UW L
가짜|K AE T AE
가차|K AE T AE
가찹다|K AE T AE P T AE
가창|K AE T AE NG
가창오리|K AE T AE NG OW0 R IY
가철|K AE T AH L
가체|K AE T EH0
가축|K AE T UW K
가치|K AE T IY
가치관|K AE T IY G W AE N
가타나|K AE T AE N AE
가타카나|K AE T AE K AE N AE
가톨릭|K AE T OW0 L IY L IY IY K
가톨릭교회|K AE T OW0 L IY L IY IY K K Y OW0 V W EH0
가티노|K AE T IY N OW0
가파르다|K AE P AE R UW0 D AE
가하다|K AE AE D AE
가혹|K AE V OW0 K
가히|K AE IY IY
각|K AE K
각각|K AE K K AE K
각골난망|K AE K K OW0 L L AE N M AE NG
각국|K AE K K UW K
각기|K AE K K IY
각다귀|K AE K T AE G IY
각도|K AE K T OW0
각막|K AE NG M AE K
각목|K AE NG M OW0 K
각본|K AE K P OW0 N
각선미|K AE K S AH N M IY
각설|K AE K S AH L
각시|K AE K SH IY
각시붕어|K AE K SH IY B UW NG AH
각오|K AE G OW0
각자|K AE K T AE
각종|K AE K T OW0 NG
각주구검|K AE K T UW G UW G AH M
각하|K AE K AE
간|K AE N
간간이|K AE N G AE N IY
간계|K AE N G Y EH0
간곡|K AE N G OW0 K
간곡하다|K AE N G OW0 K AE D AE
간균|K AE N G Y UW N
간극|K AE N G UW0 K
간나|K AE N N AE
간난|K AE N N AE N
간단|K AE N D AE N
간단하다|K AE N D AE N AE D AE
간단히|K AE N D AE N IY IY
간데없이|K AE N D EH0 AH P SH IY
간드리|K AE N D UW0 R IY
간모|K AE N M OW0
간물|K AE N M UW L
간밤|K AE N B AE M
간병인|K AE N B Y AH NG IY N
간부|K AE N B UW
간부회|K AE N B UW V W EH0
간사|K AE N S AE
간사하다|K AE N S AE AE D AE
간사히|K AE N S AE IY IY
간선|K AE N S AH N
간선도로|K AE N S AH N D OW0 R OW0
간섭|K AE N S AH P
간섭하다|K AE N S AH P AE D AE
간성|K AE N S AH NG
간식|K AE N SH IY K
간신|K AE N SH IY N
간신히|K AE N SH IY N IY IY
간쑤|K AE N S UW
간악|K AE N AE K
간악하다|K AE N AE K AE D AE
간유|K AE N IY0 UW
간음|K AE N UW0 M
간장|K AE N IY0 D AE NG
간절|K AE N IY0 D AH L
간접|K AE N IY0 D AH P
간접화법|K AE N IY0 D AH P W AE B AH P
간주|K AE N IY0 D UW
간증|K AE N IY0 D UW0 NG
간지|K AE N IY0 D IY
간지럼|K AE N IY0 D IY R AH M
간직하다|K AE N IY0 D IY K AE D AE
간질|K AE N IY0 D IY L
간질거리다|K AE N IY0 D IY L G AH R IY D AE
간질이다|K AE N IY0 D IY R IY D AE
간첩|K AE N IY0 T AH P
간청|K AE N IY0 T AH NG
간청하다|K AE N IY0 T AH NG AE D AE
간체|K AE N IY0 T EH0
간체자|K AE N IY0 T EH0 D AE
간추리다|K AE N IY0 T UW R IY D AE
간통|K AE N T OW0 NG
간파|K AE N P AE
간판|K AE N P AE N
간편하다|K AE N P Y AH N AE D AE
간헐천|K AE N AH L IY T AH N
간호|K AE N V OW0
간호사|K AE N V OW0 S AE
간호원|K AE N V OW0 W AH N
간호하다|K AE N V OW0 AE D AE
간혹|K AE N V OW0 K
갇히다|K AE T IY D AE
갈|K AE L
갈겨니|K AE L G Y AH N IY
갈고|K AE L G OW0
갈고닦다|K AE L G OW0 D AE K T AE
갈고랑이|K AE L G OW0 R AE NG IY
갈고리|K AE L G OW0 R IY
갈기|K AE L G IY
갈까마귀|K AE L K AE M AE G IY
갈나무|K AE L L AE M UW
갈다|K AE L D AE
갈닦다|K AE L D AE K T AE
갈등|K AE L T UW0 NG
갈라지다|K AE L L AE D IY D AE
갈륨|K AE L IY L IY UW M
갈리|K AE L IY L IY IY
갈리다|K AE L IY L IY IY D AE
갈리시아|K AE L IY L IY IY SH IY AE
갈림|K AE L IY L IY IY M
갈림길|K AE L IY L IY IY M K IY L
갈망|K AE L M AE NG
갈망하다|K AE L M AE NG AE D AE
갈문망둑|K AE L M UW N M AE NG D UW K
갈밭|K AE L B AE T
갈밭쥐|K AE L B AE T T IY
갈보|K AE L B OW0
갈보집|K AE L B OW0 D IY P
갈부수다|K AE L B UW S UW D AE
갈비|K AE L B IY
갈비뼈|K AE L B IY P Y AH
갈비탕|K AE L B IY T AE NG
갈수록|K AE L S UW R OW0 K
갈쓰뚝|K AE L S UW0 T UW K
갈아들다|K AE R AE D UW0 L D AE
갈아신다|K AE R AE SH IY N D AE
갈아입다|K AE R AE IY P T AE
갈아타다|K AE R AE T AE D AE
갈옷|K AE R OW0 T
갈음이름씨|K AE R UW0 M IY R UW0 M SH IY
갈음하다|K AE R UW0 M AE D AE
갈증|K AE L IY T UW0 NG
갈참나무|K AE L IY T AE M N AE M UW
갈치|K AE L IY T IY
갈퀴|K AE L K IY
갈퀴다|K AE L K IY D AE
갈토|K AE L T OW0
갉|K AE K
갉다|K AE K T AE
감|K AE M
감각|K AE M G AE K
감각적|K AE M G AE K T AH K
감금|K AE M G UW0 M
감기|K AE M G IY
감기다|K AE M G IY D AE
감나무|K AE M N AE M UW
감다|K AE M T AE
감당|K AE M D AE NG
감당되다|K AE M D AE NG D W EH0 D AE
감당하다|K AE M D AE NG AE D AE
감독|K AE M D OW0 K
감돌고기|K AE M D OW0 L G OW0 G IY
감동|K AE M D OW0 NG
감동사|K AE M D OW0 NG S AE
감람|K AE M N AE M
감람나무|K AE M N AE M N AE M UW
감로|K AE M N OW0
감리교|K AE M N IY G Y OW0
감마|K AE M M AE
감명|K AE M M Y AH NG
감명되다|K AE M M Y AH NG D W EH0 D AE
감명하다|K AE M M Y AH NG AE D AE
감미료|K AE M M IY R Y OW0
감방|K AE M B AE NG
감비아|K AE M B IY AE
감사|K AE M S AE
감사하다|K AE M S AE AE D AE
감사합니다|K AE M S AE AE M N IY D AE
감상|K AE M S AE NG
감소|K AE M S OW0
감송|K AE M S OW0 NG
감쇠기|K AE M S W EH0 G IY
감수|K AE M S UW
감수하다|K AE M S UW AE D AE
감숙|K AE M S UW K
감시|K AE M SH IY
감시하다|K AE M SH IY AE D AE
감싸다|K AE M S AE D AE
감안|K AE M AE N
감염|K AE M Y AH M
감염증|K AE M Y AH M T UW0 NG
감옥|K AE M OW0 K
감응|K AE M UW0 NG
감자|K AE M T AE
감자튀김|K AE M D AE T IY G IY M
감전|K AE M D AH N
감정|K AE M D AH NG
감정아이|K AE M D AH NG AE IY
감지|K AE M D IY
감지하다|K AE M D IY AE D AE
감초|K AE M T OW0
감추다|K AE M T UW D AE
감칠맛|K AE M T IY L M AE T
감탄|K AE M T AE N
감탄사|K AE M T AE N S AE
감탄하다|K AE M T AE N AE D AE
감투|K AE M T UW
감파르다|K AE M P AE R UW0 D AE
감히|K AE M IY IY
갑|K AE P
갑각|K AE P K AE K
갑각류|K AE P K AE NG N IY0 UW
갑분싸|K AE P P UW N S AE
갑옷|K AE B OW0 T
갑자기|K AE P T AE G IY
갑작스럽다|K AE P T AE K S UW0 R AH P T AE
갑작스레|K AE P T AE K S UW0 R EH0
갑충|K AE P T UW NG
갑판|K AE P P AE N
값|K AE P
값어치|K AE B AH T IY
갓|K AE T
갓난아기|K AE N N AE N AE G IY
갓난아이|K AE N N AE N AE IY
강|K AE NG
강가|K AE NG K AE
강간|K AE NG G AE N
강간하다|K AE NG G AE N AE D AE
강경|K AE NG G Y AH NG
강계|K AE NG G Y EH0
강구다|K AE NG G UW D AE
강국|K AE NG G UW K
강권|K AE NG G W AH N
강권하다|K AE NG G W AH N AE D AE
강남|K AE NG N AE M
강남천자국|K AE NG N AE M T AH N IY0 D AE G UW K
강녕|K AE NG N IY0 AH NG
강단|K AE NG D AE N
강당|K AE NG D AE NG
강도|K AE NG D OW0
강도다리|K AE NG D OW0 D AE R IY
강력|K AE NG N IY0 AH K
강력하다|K AE NG N IY0 AH K AE D AE
강렬하다|K AE NG N IY0 AH R AE D AE
강림|K AE NG N IY M
강물|K AE NG M UW L
강변|K AE NG B Y AH N
강사|K AE NG S AE
강서|K AE NG S AH
강설|K AE NG S AH L
강세|K AE NG S EH0
강소|K AE NG S OW0
강속구|K AE NG S OW0 K K UW
강수|K AE NG S UW
강수량|K AE NG S UW R Y AE NG
강신무|K AE NG SH IY N M UW
강아지|K AE NG AE D IY
강아지풀|K AE NG AE D IY P UW L
강압|K AE NG AE P
강어귀|K AE NG AH G IY
강요|K AE NG Y OW0
강요하다|K AE NG Y OW0 AE D AE
강원도|K AE NG W AH N D OW0
강의|K AE NG IY
강점|K AE NG D AH M
강점기|K AE NG D AH M G IY
강점되다|K AE NG D AH M D W EH0 D AE
강점하다|K AE NG D AH M AE D AE
강정|K AE NG D AH NG
강제|K AE NG D EH0
강조|K AE NG D OW0
강조하다|K AE NG D OW0 AE D AE
강좌|K AE NG D W AE
강준치|K AE NG D UW N IY0 T IY
강철|K AE NG T AH L
강추|K AE NG T UW
강탈|K AE NG T AE L
강탈되다|K AE NG T AE L D W EH0 D AE
강탈하다|K AE NG T AE R AE D AE
강퇴|K AE NG T W EH0
강판|K AE NG P AE N
강퍅|K AE NG P Y AE K
강퍅하다|K AE NG P Y AE K AE D AE
강풍|K AE NG P UW NG
강하다|K AE NG AE D AE
강화|K AE NG V W AE
강화도|K AE NG V W AE D OW0
강화하다|K AE NG V W AE AE D AE
강활|K AE NG V W AE L
강희자전|K AE NG IY IY D AE D AH N
갖|K AE T
갖가지|K AE T K AE D IY
갖다|K AE T T AE
갖추다|K AE T T UW D AE
같다|K AE T T AE
같은|K AE T UW0 N
같이|K AE T IY
같이하다|K AE T IY AE D AE
같잖다|K AE T T AE N T AE
갚다|K AE P T AE
개|K EH
개가하다|K EH G AE AE D AE
개같다|K EH G AE T T AE
개고기|K EH G OW0 G IY
개기장|K EH G IY D AE NG
개꿈|K EH K UW M
개꿩|K EH K W AH NG
개나리|K EH N AE R IY
개나리꽃|K EH N AE R IY K OW0 T
개념|K EH N IY0 AH M
개다|K EH D AE
개독교|K EH D OW0 K K Y OW0
개량|K EH R Y AE NG
개량하다|K EH R Y AE NG AE D AE
개마고원|K EH M AE G OW0 W AH N
개명|K EH M Y AH NG
개명되다|K EH M Y AH NG D W EH0 D AE
개명하다|K EH M Y AH NG AE D AE
개미|K EH M IY
개밥바라기|K EH B AE P P AE R AE G IY
개별자|K EH B Y AH L IY T AE
개사|K EH S AE
개사곡|K EH S AE G OW0 K
개사되다|K EH S AE D W EH0 D AE
개사하다|K EH S AE AE D AE
개살구|K EH S AE L G UW
개선|K EH S AH N
개선되다|K EH S AH N D W EH0 D AE
개선문|K EH S AH N M UW N
개선하다|K EH S AH N AE D AE
개성|K EH S AH NG
개소리|K EH S OW0 R IY
개소주|K EH S OW0 D UW
개수|K EH S UW
개역|K EH Y AH K
개요|K EH Y OW0
개인|K EH IY N
개인적|K EH IY N IY0 D AH K
개인주의|K EH IY N IY0 D UW IY
개자식|K EH D AE SH IY K
개장|K EH D AE NG
개장국|K EH D AE NG K UW K
개정|K EH D AH NG
개정판|K EH D AH NG P AE N
개조|K EH D OW0
개조되다|K EH D OW0 D W EH0 D AE
개조하다|K EH D OW0 AE D AE
개지랄|K EH D IY R AE L
개지랄하다|K EH D IY R AE R AE D AE
개집|K EH D IY P
개천|K EH T AH N
개체|K EH T EH0
개판|K EH P AE N
개혁|K EH IY AH K
개혁되다|K EH IY AH K T W EH0 D AE
개혁하다|K EH IY AH K AE D AE
갯과|K EH T K W AE
갱지|K EH NG D IY
갸름하다|K Y AE R UW0 M AE D AE
갸울다|K Y AE UW L D AE
갸웃|K Y AE UW T
갸웃거리다|K Y AE UW T K AH R IY D AE
갹|K Y AE K
갹출|K Y AE K T UW L
갹출하다|K Y AE K T UW R AE D AE
거|K AH
거기|K AH G IY
거꾸로|K AH K UW R OW0
거느리다|K AH N UW0 R IY D AE
거두다|K AH D UW D AE
거듭|K AH D UW0 P
거듭씨|K AH D UW0 P SH IY
거듭홀소리|K AH D UW0 P OW0 L S OW0 R IY
거뜨다|K AH T UW0 D AE
거류|K AH R Y UW
거르다|K AH R UW0 D AE
거리|K AH R IY
거릿모테이|K AH R IY N M OW0 T EH0 IY
거릿모티이|K AH R IY N M OW0 T IY IY
거무스름하다|K AH M UW S UW0 R UW0 M AE D AE
거문고|K AH M UW N G OW0
거미|K AH M IY
거미줄|K AH M IY D UW L
거북|K AH B UW K
거북선|K AH B UW K S AH N
거북이|K AH B UW G IY
거서간|K AH S AH G AE N
거세다|K AH S EH0 D AE
거스러미|K AH S UW0 R AH M IY
거스르다|K AH S UW0 R UW0 D AE
거스름돈|K AH S UW0 R UW0 M T OW0 N
거슬리다|K AH S UW0 L IY L IY IY D AE
거시기|K AH SH IY G IY
거실|K AH SH IY L
거울|K AH UW L
거웃|K AH UW T
거위|K AH IY
거의|K AH IY
거이|K AH IY
거주|K AH D UW
거주자|K AH D UW D AE
거주하다|K AH D UW AE D AE
거즈|K AH D UW0
거치다|K AH T IY D AE
거치적거리다|K AH T IY D AH K K AH R IY D AE
거칠다|K AH T IY L D AE
거품|K AH P UW M
거품기|K AH P UW M G IY
걱정|K AH K T AH NG
걱정되다|K AH K T AH NG D W EH0 D AE
걱정스럽다|K AH K T AH NG S UW0 R AH P T AE
걱정하다|K AH K T AH NG AE D AE
건늠길|K AH N N UW0 M G IY L
건달|K AH N D AE L
건답|K AH N D AE P
건더기|K AH N D AH G IY
건반|K AH N B AE N
건발기|K AH N B AE L G IY
건조|K AH N IY0 D OW0
건조기|K AH N IY0 D OW0 G IY
건조하다|K AH N IY0 D OW0 AE D AE
건지다|K AH N IY0 D IY D AE
건초|K AH N IY0 T OW0
걷다|K AH T T AE
걸|K AH L
걸그룹|K AH L G UW0 R UW P
걸레|K AH L L EH0
걸리다|K AH L IY L IY IY D AE
걸림갈음이름씨|K AH L IY L IY IY M G AE R UW0 M IY R UW0 M SH IY
걸림씨|K AH L IY L IY IY M SH IY
걸신|K AH L SH IY N
걸어|K AH R AH
걸어가다|K AH R AH G AE D AE
걸어오다|K AH R AH OW0 D AE
걸음|K AH R UW0 M
걸음걸이|K AH R UW0 M G AH R IY
걸음마|K AH R UW0 M M AE
걸인|K AH R IY N
걸작|K AH L IY T AE K
걸쭉하다|K AH L IY T UW K AE D AE
걸프렌드|K AH L P UW0 R EH0 N D UW0
걸핏|K AH L P IY T
걸핏걸핏|K AH L P IY T K AH L P IY T
검독수리|K AH M D OW0 K S UW R IY
검둥오리|K AH M D UW NG OW0 R IY
검둥오리사촌|K AH M D UW NG OW0 R IY S AE T OW0 N
검둥이|K AH M D UW NG IY
검스|K AH M S UW0
검양옻나무|K AH M Y AE NG OW0 N N AE M UW
검열하다|K AH M Y AH R AE D AE
검은|K AH M UW0 N
검은금|K AH M UW0 N G UW0 M
검은담비|K AH M UW0 N D AE M B IY
검은딸기|K AH M UW0 N T AE L G IY
검은머리흰따오기|K AH M UW0 N M AH R IY IY IY N T AE OW0 G IY
검은머리흰죽지|K AH M UW0 N M AH R IY IY IY N IY0 D UW K T IY
검은목논병아리|K AH M UW0 N M OW0 NG N OW0 N B Y AH NG AE R IY
검은목두루미|K AH M UW0 N M OW0 K T UW R UW M IY
검은무리|K AH M UW0 N M UW R IY
검은지빠귀|K AH M UW0 N IY0 D IY P AE G IY
검정|K AH M D AH NG
검정망둑|K AH M D AH NG M AE NG D UW K
겁|K AH P
겁나다|K AH M N AE D AE
겁먹다|K AH M M AH K T AE
겁박|K AH P P AE K
겁박하다|K AH P P AE K AE D AE
것|K AH T
겉|K AH T
겉옷|K AH T OW0 T
겉장|K AH T T AE NG
겉핥다|K AH T AE L T AE
게|K EH0
게놈|K EH0 N OW0 M
게니자|K EH0 N IY D AE
게다가|K EH0 D AE G AE
게르마늄|K EH0 R UW0 M AE N IY0 UW M
게르만|K EH0 R UW0 M AE N
게릴라|K EH0 R IY L L AE
게사니|K EH0 S AE N IY
게스트하우스|K EH0 S UW0 T UW0 AE UW S UW0
게시|K EH0 SH IY
게시되다|K EH0 SH IY D W EH0 D AE
게시판|K EH0 SH IY P AE N
게시하다|K EH0 SH IY AE D AE
게양|K EH0 Y AE NG
게양되다|K EH0 Y AE NG D W EH0 D AE
게양하다|K EH0 Y AE NG AE D AE
게우다|K EH0 UW D AE
게으르다|K EH0 UW0 R UW0 D AE
게으름|K EH0 UW0 R UW0 M
게이|K EH0 IY
게이기|K EH0 IY G IY
게이다|K EH0 IY D AE
게이샤|K EH0 IY SH AE
게이트|K EH0 IY T UW0
게임|K EH0 IY M
게임기|K EH0 IY M G IY
게임성|K EH0 IY M S AH NG
게장|K EH0 D AE NG
게타|K EH0 T AE
게톱치|K EH0 T OW0 P T IY
겜|K EH0 M
겨|K Y AH
겨누다|K Y AH N UW D AE
겨드랑이|K Y AH D UW0 R AE NG IY
겨란|K Y AH R AE N
겨레|K Y AH R EH0
겨루다|K Y AH R UW D AE
겨르|K Y AH R UW0
겨를|K Y AH R UW0 L
겨리|K Y AH R IY
겨우|K Y AH UW
겨우살이|K Y AH UW S AE R IY
겨울|K Y AH UW L
겨울잠쥐|K Y AH UW L IY D AE M D IY
겨울철|K Y AH UW L IY T AH L
겨이삭|K Y AH IY S AE K
겨자|K Y AH D AE
겨풀|K Y AH P UW L
격|K Y AH K
격납고|K Y AH NG N AE P K OW0
격려|K Y AH NG N IY0 AH
격려되다|K Y AH NG N IY0 AH D W EH0 D AE
격려하다|K Y AH NG N IY0 AH AE D AE
격리|K Y AH NG N IY
격언|K Y AH G AH N
격전|K Y AH K T AH N
격차|K Y AH K T AE
격찬하다|K Y AH K T AE N AE D AE
격파하다|K Y AH K P AE AE D AE
격화하다|K Y AH K W AE AE D AE
겪다|K Y AH K T AE
견|K Y AH N
견과|K Y AH N G W AE
견디다|K Y AH N D IY D AE
견성|K Y AH N S AH NG
견실|K Y AH N SH IY L
견실하다|K Y AH N SH IY R AE D AE
견유|K Y AH N IY0 UW
견주다|K Y AH N IY0 D UW D AE
결|K Y AH L
결과|K Y AH L G W AE
결과적|K Y AH L G W AE D AH K
결국|K Y AH L G UW K
결단|K Y AH L T AE N
결단코|K Y AH L T AE N K OW0
결렬|K Y AH L IY L IY AH L
결론|K Y AH L L OW0 N
결사옹위|K Y AH L S AE OW0 NG IY
결석|K Y AH L S AH K
결석하다|K Y AH L S AH K AE D AE
결속|K Y AH L S OW0 K
결심|K Y AH L SH IY M
결심하다|K Y AH L SH IY M AE D AE
결장|K Y AH L IY T AE NG
결점|K Y AH L IY T AH M
결정|K Y AH L IY T AH NG
결정되다|K Y AH L IY T AH NG D W EH0 D AE
결정론|K Y AH L IY T AH NG N OW0 N
결정수|K Y AH L IY T AH NG S UW
결정짓다|K Y AH L IY T AH NG D IY T T AE
결정하다|K Y AH L IY T AH NG AE D AE
결정화|K Y AH L IY T AH NG V W AE
결코|K Y AH L K OW0
결핍|K Y AH L P IY P
결핍하다|K Y AH L P IY P AE D AE
결함|K Y AH R AE M
결합|K Y AH R AE P
결합되다|K Y AH R AE P T W EH0 D AE
결합하다|K Y AH R AE P AE D AE
결혼|K Y AH R V OW0 N
결혼식|K Y AH R V OW0 N SH IY K
결혼하다|K Y AH R V OW0 N AE D AE
겸|K Y AH M
겸손|K Y AH M S OW0 N
겸손하다|K Y AH M S OW0 N AE D AE
겸하다|K Y AH M AE D AE
겸허하다|K Y AH M AH AE D AE
겹|K Y AH P
겹놓다|K Y AH M N OW0 T AE
겹빵이|K Y AH P P AE NG IY
겹치다|K Y AH P T IY D AE
경계|K Y AH NG G Y EH0
경공업|K Y AH NG G OW0 NG AH P
경관|K Y AH NG G W AE N
경기|K Y AH NG G IY
경기도|K Y AH NG G IY D OW0
경기충청도방언|K Y AH NG G IY T UW NG T AH NG D OW0 B AE NG AH N
경량|K Y AH NG N IY0 AE NG
경력|K Y AH NG N IY0 AH K
경련|K Y AH NG N IY0 AH N
경로|K Y AH NG N OW0
경멸|K Y AH NG M Y AH L
경멸감|K Y AH NG M Y AH L G AE M
경멸적|K Y AH NG M Y AH L IY T AH K
경사|K Y AH NG S AE
경성|K Y AH NG S AH NG
경시|K Y AH NG SH IY
경악|K Y AH NG AE K
경악하다|K Y AH NG AE K AE D AE
경영|K Y AH NG Y AH NG
경영자|K Y AH NG Y AH NG D AE
경영하다|K Y AH NG Y AH NG AE D AE
