'ayé|'ajé
ajogún|ad͡ʒoɡún
ajá|ad͡ʒá
ajábó|ad͡ʒábó
ajádìí|ad͡ʒádìí
ajáko|ad͡ʒáko
ajé|ad͡ʒé
ajétúnmọbí|ad͡ʒétúnmɔbí
ajíbádé|ad͡ʒíbádé
ajíbádẹ|ad͡ʒíbádɛ
ajíbóyè|ad͡ʒíbójè
ajíhìnrere|ad͡ʒíhìnrere
ajíjọlá|ad͡ʒíd͡ʒɔlá
ajírébi|ad͡ʒírébi
ajírọ́ba|ad͡ʒírɔ́ba
ajò|ad͡ʒò
ajónirun|ad͡ʒónirũ
ajẹran|ad͡ʒɛran
ajẹ́rìí|ad͡ʒɛ́rìí
akaia|akaia
akani|akani
akbori|akbori
akekèé|akekèé
akelausi|akelausi
akesẹ̀|akesɛ̀
akimu|akimu
akin|akĩ
akitiyan|akitijan
akiṣi|akiʃi
akko|akko
akokoro|akokoro
akori|akori
aksa|aksa
aksibu|aksibu
akuila|akuila
akànlé|akànlé
akálolo|akálolo
akáloló|akáloló
akéré|akéré
akérò|akérò
akésẹ̀|akésɛ̀
akéwì|akéwì
akéwọ́|akéwɔ́
akíkanjú|akíkand͡ʒú
akínbọ̀dé|akínbɔ̀dé
akínsanmí|akínsanmí
akínsọ̀yínù|akínsɔ̀jínù
akíntádé|akíntádé
akíntópé|akíntók͡pé
akíntóyè|akíntójè
akíntúndé|akíntúndé
akíntọ́lá|akíntɔ́lá
akíntọ́pẹ́|akíntɔ́k͡pɛ́
akínwándé|akínwándé
akínwùnmí|akínwùnmí
akókò|akókò
akókóró|akókóró
akónilẹ́rú|akónilɛ́rú
akóniṣiṣẹ́|akóniʃiʃɛ́
akẹgbé|akɛɡ͡bé
akẹgbẹ́|akɛɡ͡bɛ́
akẹ̀sán|akɛ̀sán
akẹ́kọ̀ọ́|akɛ́kɔ̀ɔ́
akọlà|akɔlà
akọni|akɔ̃i
akọrin|akɔrĩ
akọ̀wé|akɔ̀wé
akọ́lé|akɔ́lé
akọ́lédowó|akɔ́lédowó
alagbalúgbú|alaɡ͡balúɡ͡bú
alayé|alajé
alekisandiria|alekisandiria
aleksanderu|aleksanderu
alfa|alfa
alfeu|alfeu
algumu|alɡumu
alhaja|alhad͡ʒa
alhaji|alhad͡ʒi
alikama’|alikama’
alimon|alimon
alkedama|alkedama
allameleki|allameleki
allen|allen
almondi|almondi
alohùn|alohùn
aloti|aloti
aludùùrù|aludùùrù
aluṣi|aluʃi
alàgbà|alàɡ͡bà
alààyè|alààjè
alábojútó|alábod͡ʒútó
aláboyún|alábojún
alábà|alábà
alábàágbé|alábàáɡ͡bé
alábàápín|alábàák͡pín
alábágbé|alábáɡ͡bé
alábákú|alábákú
alábápín|alábák͡pín
alábáṣiṣẹ́|alábáʃiʃɛ́
alábáṣiṣẹ́pọ̀|alábáʃiʃɛ́k͡pɔ̀
alábòsí|alábòsí
alábòápàdé|alábòák͡pàdé
alábójútó|alábód͡ʒútó
alábùkún|alábùkún
aládé|aládé
aládùúgbò|aládùúɡ͡bò
aláfarawé|aláfarawé
aláfẹ́|aláfɛ́
aláfọ̀ṣẹ|aláfɔ̀ʃɛ
alága|aláɡa
alágbe|aláɡ͡be
alágbàfọ̀|aláɡ͡bàfɔ̀
alágbàro|aláɡ͡bàro
alágbàtọ́jú|aláɡ͡bàtɔ́d͡ʒú
alágbàwí|aláɡ͡bàwí
alágbàṣe|aláɡ͡bàʃe
alágbára|aláɡ͡bára
alágbèrè|aláɡ͡bèrè
alágbéká|aláɡ͡béká
alágbẹ̀dẹ|aláɡ͡bɛ̀dɛ
alágídí|aláɡídí
aláhesọ|aláhesɔ
alájà|alád͡ʒà
alájàpá|alád͡ʒàk͡pá
alájápá|alád͡ʒák͡pá
alájẹkì|alád͡ʒɛkì
alájẹṣu|alád͡ʒɛʃu
alájọni|alád͡ʒɔ̃i
alájọpín|alád͡ʒɔk͡pín
alájọru|alád͡ʒɔru
alákadá|alákadá
alákòóso|alákòóso
alákọbẹ̀rẹ̀|alákɔbɛ̀rɛ̀
alákọrí|alákɔrí
alákọ́kọ́|alákɔ́kɔ́
alálúpàyídà|alálúk͡pàjídà
alámì|alámì
alápatà|alák͡patà
alápáǹdẹ̀dẹ̀|alák͡páǹdɛ̀dɛ̀
alápòméjì|alák͡pòméd͡ʒì
alápẹẹrẹ|alák͡pɛɛrɛ
alára|alára
aláre|aláre
alárinà|alárĩà
aláriwo|aláriwo
aláràbarà|aláràbarà
aláràmbar|aláràmbar
aláràmbarà|aláràmbarà
alárékérekè|alárékérekè
alárékọjá|alárékɔd͡ʒá
alárìnkiri|alárìnkiri
aláròyé|aláròjé
aláró|aláró
alárẹrẹ|alárɛrɛ
alásè|alásè
alásẹ́wó|alásɛ́wó
alásọtẹ́lẹ̀|alásɔtɛ́lɛ̀
aláta|aláta
alátakò|alátakò
aláwòkọ́ṣe|aláwòkɔ́ʃe
aláwẹ́|aláwɛ́
aláwọ|aláwɔ
aláwọ̀|aláwɔ̀
aláwọ̀ṣe|aláwɔ̀ʃe
aláyídà|alájídà
aláyídáyidà|alájídájidà
aláàbò|aláàbò
aláàfin|aláàfĩ
aláàrùn|aláàrùn
aláàánú|aláàánú
aláàárù|aláàárù
aláàárẹ̀|aláàárɛ̀
aláìdúró|aláìdúró
aláìgbàgbọ́|aláìɡ͡bàɡ͡bɔ́
aláìgbé|aláìɡ͡bé
aláìgbédè|aláìɡ͡bédè
aláìgbọ́|aláìɡ͡bɔ́
aláìgbọ́n|aláìɡ͡bɔ́n
aláìgbọ́ràn|aláìɡ͡bɔ́ràn
aláìjẹ̀bi|aláìd͡ʒɛ̀bi
aláìjẹ́|aláìd͡ʒɛ́
aláìkẹ́kọ̀ọ́|aláìkɛ́kɔ̀ɔ́
aláìkọlà|aláìkɔlà
aláìlera|aláìlera
aláìlábàwọ́n|aláìlábàwɔ́n
aláìlábùkù|aláìlábùkù
aláìlágbára|aláìláɡ͡bára
aláìlákóṣo|aláìlákóʃo
aláìláàánú|aláìláàánú
aláìlè|aláìlè
aláìlèdáríjì|aláìlèdáríd͡ʒì
aláìlèdúró|aláìlèdúró
aláìlèfẹnusọ|aláìlèfɛ̃usɔ
aláìlérè|aláìlérè
aláìléso|aláìléso
aláìléwéko|aláìléwéko
aláìléèérí|aláìléèérí
aláìlófin|aláìlófĩ
aláìlópin|aláìlók͡pĩ
aláìlóye|aláìlóje
aláìlẹ́bi|aláìlɛ́bi
aláìlẹ́gbẹ́|aláìlɛ́ɡ͡bɛ́
aláìlẹ́gàn|aláìlɛ́ɡàn
aláìlẹ́kọ̀ọ́|aláìlɛ́kɔ̀ɔ́
aláìlẹ́mìí|aláìlɛ́mìí
aláìlẹ́ṣẹ̀|aláìlɛ́ʃɛ̀
aláìlọ́gbọ́n|aláìlɔ́ɡ͡bɔ́n
aláìlọ́mọ|aláìlɔ́mɔ
aláìlọ́pẹ́|aláìlɔ́k͡pɛ́
aláìmoore|aláìmoore
aláìmu|aláìmu
aláìmòye|aláìmòje
aláìmọ|aláìmɔ
aláìmọ̀kan|aláìmɔ̀kan
aláìmọ́|aláìmɔ́
aláìnání|aláìnání
aláìní|aláìní
aláìnífẹ̀ẹ́|aláìnífɛ̀ɛ́
aláìnígbàgbọ́|aláìníɡ͡bàɡ͡bɔ́
aláìníláárí|aláìníláárí
aláìnílò|aláìnílò
aláìro|aláìro
aláìrékọjá|aláìrékɔd͡ʒá
aláìríran|aláìríran
aláìríwí|aláìríwí
aláìríṣẹ́|aláìríʃɛ́
aláìsàn|aláìsàn
aláìsìn|aláìsìn
aláìsọ|aláìsɔ
aláìtó|aláìtó
aláìtún|aláìtún
aláìtọ́jú|aláìtɔ́d͡ʒú
aláìwà|aláìwà
aláìwú|aláìwú
aláìwọṣọ|aláìwɔʃɔ
aláìyẹ|aláìjɛ
aláìṣòdodo|aláìʃòdodo
aláìṣòótọ́|aláìʃòótɔ́
aláìṣẹ̀|aláìʃɛ̀
aláǹgbá|aláǹɡ͡bá
aláǹtakùn|aláǹtakùn
aláṣehàn|aláʃehàn
aláṣepé|aláʃek͡pé
aláṣẹ|aláʃɛ
aláṣọ|aláʃɔ
alòbá|alòbá
alóhun|alóhũ
alóńgẹ|alóńɡɛ
alẹ́|alɛ́
alọ́ba|alɔ́ba
alọ́nilọ́wọ́gbà|alɔ́nilɔ́wɔ́ɡ͡bà
amadi|amadi
amagedoni|amaɡedoni
amaleki|amaleki
amariah|amariah
amasa|amasa
amasai|amasai
amasiah|amasiah
amittai|amittai
ammieli|ammieli
ammihudu|ammihudu
amminadabu|ammĩadabu
ammiṣaddai|ammiʃaddai
ammoni|ammoni
amnoni|amnoni
amojútó|amod͡ʒútó
amoni|amoni
amori|amori
amosi|amosi
ampliatu|amk͡pliatu
amramu|amramu
amáyédẹrùn|amájédɛrùn
amáyédẹ̀rún|amájédɛ̀rún
amòfin|amòfĩ
amòye|amòje
amóhùnmáwòrán|amóhùnmáwòrán
amóríbọ́|amóríbɔ́
amósùn|amósùn
amúdá|amúdá
amúlétutu|amúlétutu
amúlétutù|amúlétutù
amúlẹ̀tutu|amúlɛ̀tutu
amúnisìn|amúnisìn
amúnkùn|amúnkùn
amúnáwá|amúnáwá
amẹ́ríkà|amɛ́ríkà
amọ̀|amɔ̀
amọ̀kòkò|amɔ̀kòkò
amọ̀nà|amɔ̀nà
an|an
anaki|anaki
anania|anania
ananiah|ananiah
anatoti|anatoti
anderu|anderu
androniku|androniku
anenu|anenu
aneri|aneri
angẹli|anɡɛli
aninilára|anĩilára
anna|anna
annasi|annasi
anoti|anoti
antioku|antioku
antipa|antik͡pa
antipatrisi|antik͡patrisi
anímáṣahun|anímáʃahũ
aníní|aníní
apani|ak͡pani
apanijẹ|ak͡panid͡ʒɛ
apanirun|ak͡panirũ
apelle|ak͡pelle
apidán|ak͡pidán
apii|ak͡pii
apollioni|ak͡pollioni
apollo|ak͡pollo
apollo”|ak͡pollo”
aporo|ak͡poro
aposteli|ak͡posteli
appaimu|ak͡pk͡paimu
apànìyàn|ak͡pànìjàn
apá|ak͡pá
apárí|ak͡párí
apèèrè|ak͡pèèrè
apògèdè|ak͡pòɡèdè
apó|ak͡pó
apẹyẹ|ak͡pɛjɛ
apẹ̀gàn|ak͡pɛ̀ɡàn
apẹ̀rẹ̀|ak͡pɛ̀rɛ̀
apọ́ngbọ̀n|ak͡pɔ́nɡ͡bɔ̀n
apọ́nilójú|ak͡pɔ́nilód͡ʒú
ara|ara
araba|araba
arabah|arabah
arabia|arabia
aradi|aradi
aramaiki|aramaiki
aramu|aramu
ararati|ararati
ardi|ardi
areopagu|areok͡paɡu
areta|areta
arfadi|arfadi
arfaksadi|arfaksadi
arfakṣadi|arfakʃadi
argobu|arɡobu
ari|ari
arie|arie
arieli|arieli
arimatea|arimatea
arioku|arioku
aristarku|aristarku
aristobulu|aristobulu
ariwo|ariwo
arki|arki
arkippu|arkik͡pk͡pu
arnoni|arnoni
aroeri|aroeri
arpadi|ark͡padi
arsa|arsa
artema|artema
artemisi|artemisi
aràn|aràn
aràwọn|aràwɔ̃
ará|ará
arábìnrin|arábìnrĩ
arákùnrin|arákùnrĩ
aránṣọ|aránʃɔ
aráyé|arájé
aré|aré
arìnrìn|arìnrìn
aríran|aríran
aríìkẹ́|aríìkɛ́
aríṣekọ́lá|aríʃekɔ́lá
arò|arò
aró|aró
arógunyò|aróɡũjò
arógunyọ̀|aróɡũjɔ̀
arómáṣọdún|arómáʃɔdún
arúfin|arúfĩ
arúfin’|arúfĩ’
arúgbó|arúɡ͡bó
arẹwà|arɛwà
arẹ́gbẹ́ṣọlá|arɛ́ɡ͡bɛ́ʃɔlá
arọ|arɔ
asa|asa
asafu|asafu
asaheli|asaheli
asareeli|asareeli
asariah|asariah
aseka|aseka
asenati|asenati
asifati|asifati
asinkritu|asĩkritu
asiria|asiria
asori|asori
asosi|asosi
asotu|asotu
asrieli|asrieli
assani|assani
assari|assari
asuba|asuba
asà|asà
asán|asán
asé|asé
asìnkú|asìnkú
asṣuri|asʃuri
asọnidahoro|asɔ̃idahoro
asọ̀|asɔ̀
asọ̀rọ̀|asɔ̀rɔ̀
atadi|atadi
atalia|atalia
ataliah|ataliah
atarotu|atarotu
ata’re|ata’re
ateni|ateni
atikú|atikú
attai|attai
atukọ̀|atukɔ̀
atá|atá
atẹ̀wé|atɛ̀wé
atẹ́|atɛ́
atẹ́gùn|atɛ́ɡùn
atẹ́rere|atɛ́rere
atọjúlékiri|atɔd͡ʒúlékiri
atọ̀húnrìnwá|atɔ̀húnrìnwá
atọ̀ọ́lé|atɔ̀ɔ́lé
atọ́batẹ́lẹ̀|atɔ́batɛ́lɛ̀
atọ́kóṣẹ̀|atɔ́kóʃɛ̀
atọ́kùn|atɔ́kùn
atọ́kọ̀sẹ|atɔ́kɔ̀sɛ
atọ́kọ̀ṣe|atɔ́kɔ̀ʃe
atọ́nisọ́nà|atɔ́nisɔ́nà
atọ́nà|atɔ́nà
augustu|auɡustu
avenue|avenue
awakọ̀|awakɔ̀
awalẹ̀|awalɛ̀
awòràwọ̀|awòràwɔ̀
awólọ́wọ̀|awólɔ́wɔ̀
awọ|awɔ
ayahi|ajahi
ayálégbé|ajáléɡ͡bé
ayánilówó|ajánilówó
ayára|ajára
ayárabíàṣá|ajárabíàʃá
ayé|ajé
ayéfẹ́lẹ́|ajéfɛ́lɛ́
ayélujára|ajélud͡ʒára
ayélàágbé|ajélàáɡ͡bé
ayérayé|ajérajé
ayé’|ajé’
ayò|ajò
ayùn|ajùn
ayẹyẹ|ajɛjɛ
ayọ̀|ajɔ̀
ayọ̀bámi|ajɔ̀bámi
ayọ̀dèjì|ajɔ̀dèd͡ʒì
ayọ̀mídé|ajɔ̀mídé
ayọ́kẹ́lẹ́|ajɔ́kɛ́lɛ́
ayọ́lẹ̀wò|ajɔ́lɛ̀wò
aà|aà
aáwọ̀|aáwɔ̀
aáyán|aáján
ańgẹ́lì|ańɡɛ́lì
aṣani|aʃani
aṣbeli|aʃbeli
aṣdodu|aʃdodu
aṣebi|aʃebi
aṣerah|aʃerah
aṣeri|aʃeri
aṣibea|aʃibea
aṣiwèrè|aʃiwèrè
aṣkeloni|aʃkeloni
aṣkenasi|aʃkenasi
aṣojú|aʃod͡ʒú
aṣtarotu|aʃtarotu
aṣtoreti|aʃtoreti
aṣàtìpó|aʃàtìk͡pó
aṣàìgbọràn|aʃàìɡ͡bɔràn
aṣá|aʃá
aṣáko|aʃáko
aṣálẹ̀|aʃálɛ̀
aṣáájú|aʃáád͡ʒú
aṣèbàjẹ́|aʃèbàd͡ʒɛ́
aṣèyíówùú|aʃèjíówùú
aṣíwájú|aʃíwád͡ʒú
aṣòdì|aʃòdì
aṣòfin|aʃòfĩ
aṣẹ́gun|aʃɛ́ɡũ
aṣọ̀fọ̀|aʃɔ̀fɔ̀
aṣọ́bodè|aʃɔ́bodè
aṣọ́nà|aʃɔ́nà
a”|a”
ba|ba
baalati|baalati
baali|baali
baalimu|baalimu
baali’|baali’
baana|baana
baanah|baanah
baaṣa|baaʃa
baba|baba
babaláwo|babaláwo
baba’|baba’
babeli|babeli
babeli’|babeli’
babiloni|babiloni
babà|babà
babájídé|babád͡ʒídé
babátúńdé|babátúńdé
balaamu|balaamu
balaki|balaki
balógun|balóɡũ
balùwẹ̀|balùwɛ̀
balẹ̀|balɛ̀
bamitiisi|bamitiisi
bamitiisi’|bamitiisi’
bamoti|bamoti
bani|bani
banújẹ́|banúd͡ʒɛ́
bar|bar
baraba|baraba
barakeli|barakeli
baraki|baraki
bariga|bariɡa
barle|barle
barnaba|barnaba
barnea|barnea
barsaba|barsaba
barsillai|barsillai
bartimeu|bartimeu
bartolomeu|bartolomeu
baruku|baruku
basemati|basemati
basi|basi
bati|bati
batṣeba|batʃeba
batẹnijẹ́|batɛ̃id͡ʒɛ́
bauchi|bauchi
baà|baà
baálé|baálé
baálẹ̀|baálɛ̀
baṣani|baʃani
baṣọ̀run|baʃɔ̀rũ
beari|beari
beelsebulu|beelsebulu
beeri|beeri
beeroti|beeroti
beerṣeba|beerʃeba
bekeri|bekeri
bela|bela
beliali|beliali
belṣassari|belʃassari
benaiah|benaiah
bene|bene
beni|beni
benjamini|bend͡ʒamĩi
beori|beori
berea|berea
beredi|beredi
berekiah|berekiah
beriah|beriah
beriti|beriti
bernike|bernike
berota|berota
besaleli|besaleli
beseki|beseki
beseri|beseri
besodeiah|besodeiah
betani|betani
beteli|beteli
betfage|betfaɡe
beti|beti
betisaida|betisaida
betueli|betueli
bigitana|biɡitana
bikri|bikri
bilasitu|bilasitu
bileamu|bileamu
bilidadi|bilidadi
biliha|biliha
bimhali|bimhali
binnui|bĩnui
biri|biri
biribiri|biribiri
bitinia|bitĩia
bo|bo
boanaji|boanad͡ʒi
boasi|boasi
bodè|bodè
bohani|bohani
bojú|bod͡ʒú
bojútó|bod͡ʒútó
bokimu|bokimu
bolẹ̀|bolɛ̀
bomirin|bomirĩ
bora|bora
bori|bori
borí|borí
bosra|bosra
breath|breath
bu|bu
buhari|buhari
bukki|bukki
bulu|bulu
bunni|bũni
burú|burú
burúkú|burúkú
busi|busi
busii|busii
buyì|bujì
bà|bà
bàba|bàba
bàbà|bàbà
bàbàrà|bàbàrà
bàbá|bàbá
bàbáa|bàbáa
bàbángídá|bàbánɡídá
bàjẹ́|bàd͡ʒɛ́
bàlágà|bàláɡà
bàrúwá|bàrúwá
bàtà|bàtà
bàtàa|bàtàa
bàá|bàá
bàìbàì|bàìbàì
bá|bá
báa|báa
bádé|bádé
bákan|bákan
bámi|bámi
bámú|bámú
báni|báni
bánkẹ́|bánkɛ́
bára|bára
báwa|báwa
báwo|báwo
báwọ̀nyí|báwɔ̀njí
báyi|báji
báyì|bájì
báyìí|bájìí
báyìíì|bájìíì
báyọ̀|bájɔ̀
báàgì|báàɡì
báálẹ̀|báálɛ̀
báǹkì|báǹkì
bá̀|bá̀
bá’ni|bá’ni
bèbè|bèbè
bèbí|bèbí
bèèrè|bèèrè
bélò|bélò
béèrè|béèrè
bì|bì
bìkítà|bìkítà
bí|bí
bíba|bíba
bíbu|bíbu
bíbá|bíbá
bíbí|bíbí
bíbíire|bíbíire
bíbísí|bíbísí
bíbùkún|bíbùkún
bíbú|bíbú
bíbọ|bíbɔ
bíbọ̀|bíbɔ̀
bíbọ́|bíbɔ́
bídèmí|bídèmí
bíi|bíi
bíléèdì|bíléèdì
bímpé|bímk͡pé
bímọ|bímɔ
bínú|bínú
bíríkì|bíríkì
bíríkìlà|bíríkìlà
bísí|bísí
bísólì|bísólì
bísóyè|bísójè
bíyi|bíji
bíìmù|bíìmù
bíṣọ́ọ̀bù|bíʃɔ́ɔ̀bù
bíọ́dún|bíɔ́dún
bí’|bí’
bí’mọ|bí’mɔ
bí’nú|bí’nú
bò|bò
bòòji|bòòd͡ʒi
bòó|bòó
bó|bó
bójú|bód͡ʒú
bójúmu|bód͡ʒúmu
bóo|bóo
bótobòto|bótobòto
bótò|bótò
bótó|bótó
bóyá|bójá
bóòlù|bóòlù
bù|bù
bùba|bùba
bùgan|bùɡan
bùjẹbùdànù|bùd͡ʒɛbùdànù
bùkátà|bùkátà
bùkún|bùkún
bùkọ́lá|bùkɔ́lá
bú|bú
bú'jọba|bú'd͡ʒɔba
búburú|búburú
búburú’|búburú’
búgan|búɡan
búra|búra
búrẹ́dì|búrɛ́dì
bẹ|bɛ
bẹtilẹhẹmu|bɛtilɛhɛmu
bẹ̀|bɛ̀
bẹ̀bẹ̀|bɛ̀bɛ̀
bẹ̀rè|bɛ̀rè
bẹ̀rù|bɛ̀rù
bẹ̀rẹ̀|bɛ̀rɛ̀
bẹ̀wò|bɛ̀wò
bẹ́|bɛ́
bẹ́ẹ̀|bɛ́ɛ̀
bọ|bɔ
bọwọ́|bɔwɔ́
bọ̀|bɔ̀
bọ̀dá|bɔ̀dá
bọ̀dé|bɔ̀dé
bọ̀gìnì|bɔ̀ɡìnì
bọ̀lì|bɔ̀lì
bọ̀rìṣà|bɔ̀rìʃà
bọ̀wọ̀|bɔ̀wɔ̀
bọ̀ọ́|bɔ̀ɔ́
bọ̀’|bɔ̀’
bọ́|bɔ́
bọ́lá|bɔ́lá
bọ́láfadé|bɔ́láfadé
bọ́ọ̀lù|bɔ́ɔ̀lù
bọ́ọ́lù|bɔ́ɔ́lù
bọ́’lè|bɔ́’lè
b’ódún|b’ódún
b’ólóde|b’ólóde
b’ẹkùn|b’ɛkùn
b’ẹ́kùn|b’ɛ́kùn
b’ọ̀gún|b’ɔ̀ɡún
caleb|caleb
califonia|califonia
ceter|ceter
chelsea|chelsea
civic|civic
d'áyé|d'ájé
da|da
daa|daa
dabbeṣeti|dabbeʃeti
dabe|dabe
daberati|daberati
dadakùádà|dadakùádà
dafidi|dafidi
dagoni|daɡoni
dahoro|dahoro
dalmanuta|dalmanuta
dalóhùn|dalóhùn
dalẹ̀|dalɛ̀
damari|damari
damasku|damasku
dan|dan
dandan|dandan
dani|dani
daniẹli|daniɛli
danù|danù
dara|dara
darandaran|darandaran
darapọ̀|darak͡pɔ̀
dariusi|dariusi
darí|darí
darúgbó|darúɡ͡bó
dasán|dasán
datani|datani
daá|daá
daṣọ|daʃɔ
da’ṣé|da’ʃé
de|de
debari|debari
debiri|debiri
dedani|dedani
dekapoli|dekak͡poli
delaiah|delaiah
dema|dema
demetriusi|demetriusi
deueli|deueli
diblataimu|diblataimu
diboni|diboni
didimu|didimu
digbí|diɡ͡bí
dili|dili
dimina|dimĩa
din|dĩ
dina|dĩa
dionisiu|dionisiu
diotirefe|diotirefe
