ሀ|hə
ሀዲዶ|hədido
ሀድ|həd
ሀድያ|hədɨja
ሀጂ|həd͡ʒi
ሀጅ|həd͡ʒ
ሀገ|həɡə
ሀገረስብከት|həɡərəsɨbɨkət
ሀገሩ|həɡəru
ሀገሪቱ|həɡəritu
ሀገሪቷ|həɡəritʷa
ሀገራት|həɡərat
ሀገራቸው|həɡərat͡ʃəw
ሀገራችን|həɡərat͡ʃɨn
ሀገራዊ|həɡərawi
ሀገሬ|həɡəre
ሀገር|həɡər
ሀገሮቻቸው|həɡərot͡ʃat͡ʃəw
ሀገሮች|həɡərot͡ʃ
ሀገሯ|həɡərʷa
ሀጐስ|həɡʷes
ሀጢአ|hətʼiə
ሀጢያት|hətʼijat
ሀፍረት|həfɨrət
ሁ|hu
ሁለመና|huləməna
ሁለተኛ|hulətəɲa
ሁለተኛው|hulətəɲaw
ሁለቱ|hulətu
ሁለታችን|hulətat͡ʃɨn
ሁለት|hulət
ሁለትዮሽ|hulətɨjoʃ
ሁሉ|hulu
ሁሉም|hulum
ሁሉን|hulun
ሁላቸው|hulat͡ʃəw
ሁላችን|hulat͡ʃɨn
ሁሌ|hule
ሁልጊዜ|hulɨɡize
ሁመራ|huməra
ሁም|hum
ሁሴን|husen
ሁበት|hubət
ሁት|hut
ሁትም|hutɨm
ሁነ|hunə
ሁነው|hunəw
ሁኑ|hunu
ሁናቴ|hunate
ሁኔታ|huneta
ሁኔታው|hunetaw
ሁኔታዎች|hunetawot͡ʃ
ሁኖ|huno
ሁኚ|huɲi
ሁከት|hukət
ሁዋሊት|huwalit
ሁዋት|huwat
ሁዳ|huda
ሂ|hi
ሂሊኮፍ|hilikof
ሂሊኮፕተ|hilikopɨtə
ሂላፎች|hilafot͡ʃ
ሂል|hil
ሂልተን|hilɨtən
ሂር|hir
ሂርጱዬ|hirɨpʼuje
ሂሳ|hisa
ሂሳቡ|hisabu
ሂሳብ|hisab
ሂስ|his
ሂትለር|hitɨlər
ሂውስተን|hiwɨsɨtən
ሂይልተን|hijɨlɨtən
ሂደቱ|hidətu
ሂደት|hidət
ሂደቶች|hidətot͡ʃ
ሂደዋል|hidəwal
ሂዱ|hidu
ሂዲንክ|hidinɨk
ሂድ|hid
ሄ|he
ሄሊኮ|heliko
ሄሊኮኘተሮች|helikoɲətərot͡ʃ
ሄሊኮፍተሮች|helikofɨtərot͡ʃ
ሄሊኮፕተሩ|helikopɨtəru
ሄሊኮፕተር|helikopɨtər
ሄሊኮፕተሮች|helikopɨtərot͡ʃ
ሄሊኮፕተሯ|helikopɨtərʷa
ሄሮይን|herojɨn
ሄን|hen
ሄደ|hedə
ሄደበት|hedəbət
ሄደች|hedət͡ʃ
ሄደው|hedəw
ሄዱ|hedu
ሄዱበት|hedubət
ሄዱት|hedut
ሄዳ|heda
ሄዳለች|hedalət͡ʃ
ሄዳለን|hedalən
ሄዳችሁ|hedat͡ʃɨhu
ሄድ|hed
ሄድክ|hedɨk
ሄዶ|hedo
ሄጄ|hed͡ʒe
ሄጉ|heɡu
ሄግ|heɡ
ህ|h
ህሊና|hɨlina
ህሊናቸው|hɨlinat͡ʃəw
ህሊናችን|hɨlinat͡ʃɨn
ህሊናው|hɨlinaw
ህልም|hɨlɨm
ህልውና|hɨlɨwɨna
ህልውናው|hɨlɨwɨnaw
ህመሙ|hɨməmu
ህመማቸው|hɨməmat͡ʃəw
ህመም|hɨməm
ህሙማን|hɨmuman
ህም|hɨm
ህር|hɨr
ህብረ|hɨbɨrə
ህብረተሰቡ|hɨbɨrətəsəbu
ህብረተሰብ|hɨbɨrətəsəb
ህብረቱ|hɨbɨrətu
ህብረት|hɨbɨrət
ህትመታቸው|hɨtɨmətat͡ʃəw
ህትመት|hɨtɨmət
ህትመቶ|hɨtɨməto
ህን|hɨn
ህንድ|hɨnɨd
ህንዶች|hɨnɨdot͡ʃ
ህንጻ|hɨnɨt͡sʼa
ህንጻው|hɨnɨt͡sʼaw
ህንጻዎች|hɨnɨt͡sʼawot͡ʃ
ህክምና|hɨkɨmɨna
ህክምናው|hɨkɨmɨnaw
ህወሀት|hɨwəhət
ህዝበ|hɨzɨbə
ህዝቡ|hɨzɨbu
ህዝባቸው|hɨzɨbat͡ʃəw
ህዝባችን|hɨzɨbat͡ʃɨn
ህዝባዊ|hɨzɨbawi
ህዝቤ|hɨzɨbe
ህዝብ|hɨzɨb
ህዝብዋ|hɨzɨbɨwa
ህዝቦች|hɨzɨbot͡ʃ
ህዝቦቿ|hɨzɨbot͡ʃʷa
ህዝቧ|hɨzɨbʷa
ህይወታቸው|hɨjɨwətat͡ʃəw
ህይወቴ|hɨjɨwəte
ህይወት|hɨjɨwət
ህይወቷ|hɨjɨwətʷa
ህዳር|hɨdar
ህገ|hɨɡə
ህገወጥ|hɨɡəwətʼ
ህጋዊ|hɨɡawi
ህጋዊነት|hɨɡawinət
ህግ|hɨɡ
ህጐች|hɨɡʷet͡ʃ
ህጻናቱ|hɨt͡sʼanatu
ህጻናት|hɨt͡sʼanat
ህጻናቶች|hɨt͡sʼanatot͡ʃ
ህጻን|hɨt͡sʼan
ህጻኗ|hɨt͡sʼanwa
ሆ|ho
ሆሊውድ|holiwɨd
ሆላንዳ|holanɨda
ሆላንድ|holanɨd
ሆር|hor
ሆሮ|horo
ሆሳ|hosa
ሆስተን|hosɨtən
ሆስኒ|hosɨni
ሆስፒታሉ|hosɨpitalu
ሆስፒታል|hosɨpital
ሆስፒታሎች|hosɨpitalot͡ʃ
ሆታ|hota
ሆቴሉ|hotelu
ሆቴል|hotel
ሆቴሎች|hotelot͡ʃ
ሆች|hot͡ʃ
ሆነ|honə
ሆነች|honət͡ʃ
ሆነችው|honət͡ʃɨw
ሆነዋል|honəwal
ሆነው|honəw
ሆኑ|honu
ሆና|hona
ሆናቸው|honat͡ʃəw
ሆናችሁ|honat͡ʃɨhu
ሆኔ|hone
ሆን|hon
ሆንኩ|honɨku
ሆንክ|honɨk
ሆኖ|hono
ሆኗል|honwal
ሆኜ|hoɲe
ሆኩ|hoku
ሆዱ|hodu
ሆዳቸው|hodat͡ʃəw
ሆድ|hod
ለ|lə
ለሀጬን|ləhət͡ʃʼen
ለሀጯን|ləhət͡ʃʼʷan
ለሁ|ləhu
ለህ|ləh
ለሊት|ləlit
ለሌላ|ləlela
ለመ|ləmə
ለመቀ|ləməkʼə
ለመን|ləmən
ለመደ|ləmədə
ለመድ|ləməd
ለሙ|ləmu
ለሙስሊሟ|ləmusɨlimʷa
ለሚ|ləmi
ለሚኖሩ|ləminoru
ለሚያ|ləmija
ለሚያስ|ləmijas
ለሚደርስ|ləmidərɨs
ለሚገኙ|ləmiɡəɲu
ለማ|ləma
ለማሰ|ləmasə
ለማሳካት|ləmasakat
ለማስ|ləmas
ለማስታወስ|ləmasɨtawəs
ለማስቻል|ləmasɨt͡ʃal
ለማስዋብ|ləmasɨwab
ለማስፈን|ləmasɨfən
ለማሻሻል|ləmaʃaʃal
ለማቅረብ|ləmakʼɨrəb
ለማወቅ|ləmawəkʼ
ለማዳ|ləmada
ለማድረግ|ləmadɨrəɡ
ለማድቀቅ|ləmadɨkʼəkʼ
ለማፋጠን|ləmafatʼən
ለምነ|ləmɨnə
ለምነው|ləmɨnəw
ለምን|ləmɨn
ለምኜ|ləmɨɲe
ለምዶ|ləmɨdo
ለር|lər
ለሰው|ləsəw
ለሱ|ləsu
ለስላሳ|ləsɨlasa
ለስራ|ləsɨra
ለስር|ləsɨr
ለስደት|ləsɨdət
ለቀ|ləkʼə
ለቀሙ|ləkʼəmu
ለቀቀች|ləkʼəkʼət͡ʃ
ለቀቁ|ləkʼəkʼu
ለቀቁት|ləkʼəkʼut
ለቀቃቸው|ləkʼəkʼat͡ʃəw
ለቀቅ|ləkʼəkʼ
ለቀው|ləkʼəw
ለቁ|ləkʼu
ለቃ|ləkʼa
ለቅ|ləkʼ
ለቅሰው|ləkʼɨsəw
ለቅሶ|ləkʼɨso
ለቅቀው|ləkʼɨkʼəw
ለቅቅ|ləkʼɨkʼ
ለቅቆ|ləkʼɨkʼo
ለቆ|ləkʼo
ለበለበው|ləbələbəw
ለበሱ|ləbəsu
ለበስ|ləbəs
ለባሹ|ləbaʃu
ለቤተ|ləbetə
ለብሰው|ləbɨsəw
ለብቻ|ləbɨt͡ʃa
ለተ|lətə
ለተለየ|lətələjə
ለተራበ|lətərabə
ለተክኒሻ|lətəkɨniʃa
ለቱ|lətu
ለታል|lətal
ለት|lət
ለትም|lətɨm
ለትን|lətɨn
ለች|lət͡ʃ
ለናል|lənal
ለኔ|ləne
ለንደን|lənɨdən
ለአፍሪካ|ləəfɨrika
ለእንተሀቡ|ləɨnɨtəhəbu
ለእንግሊዟ|ləɨnɨɡɨlizʷa
ለከታቸው|ləkətat͡ʃəw
ለወደፊቱ|ləwədəfitu
ለወጠች|ləwətʼət͡ʃ
ለወጠው|ləwətʼəw
ለወጡ|ləwətʼu
ለወጡት|ləwətʼut
ለወጥ|ləwətʼ
ለዋለን|ləwalən
ለዋል|ləwal
ለዋወጠው|ləwawətʼəw
ለዋወጡ|ləwawətʼu
ለዋወጥ|ləwawətʼ
ለውም|ləwɨm
ለውጠው|ləwɨtʼəw
ለውጡ|ləwɨtʼu
ለውጣ|ləwɨtʼa
ለውጣቸው|ləwɨtʼat͡ʃəw
ለውጥ|ləwɨtʼ
ለውጦ|ləwɨtʼo
ለውጦች|ləwɨtʼot͡ʃ
ለውጭ|ləwɨt͡ʃʼ
ለዚህ|ləzih
ለየው|ləjəw
ለዩ|ləju
ለያዩ|ləjaju
ለያይ|ləjaj
ለይስሙላ|ləjɨsɨmula
ለይተህ|ləjɨtəh
ለይተን|ləjɨtən
ለይቶ|ləjɨto
ለይኩ|ləjɨku
ለደ|lədə
ለገሰ|ləɡəsə
ለገሱ|ləɡəsu
ለገዳዮ|ləɡədajo
ለጋ|ləɡa
ለጋሽ|ləɡaʃ
ለጋሾች|ləɡaʃot͡ʃ
ለግ|ləɡ
ለግል|ləɡɨl
ለግሱ|ləɡɨsu
ለጥኩ|lətʼɨku
ለፉት|ləfut
ለፊት|ləfit
ለፋ|ləfa
ለፍ|ləf
ለፍኩ|ləfɨku
ለፕሬዝዳንቷ|ləpɨrezɨdanɨtʷa
ሉ|lu
ሉም|lum
ሉታል|lutal
ሉት|lut
ሉናል|lunal
ሉን|lun
ሉኝ|luɲ
ሉአላዊ|luəlawi
ሉአላዊነታችን|luəlawinətat͡ʃɨn
ሉአላዊነት|luəlawinət
ሉካ|luka
ሉካን|lukan
ሉክ|luk
ሉክሰምበርግ|lukɨsəmɨbərɨɡ
ሉዊስ|luwis
ሊ|li
ሊሆን|lihon
ሊሙ|limu
ሊሞ|limo
ሊሰ|lisə
ሊሰመር|lisəmər
ሊሰጡ|lisətʼu
ሊሰጥ|lisətʼ
ሊስት|lisɨt
ሊሸ|liʃə
ሊሾ|liʃo
ሊቀ|likʼə
ሊቀመንበሩ|likʼəmənɨbəru
ሊቀመንበር|likʼəmənɨbər
ሊቀርብ|likʼərɨb
ሊቃነ|likʼanə
ሊቃውንት|likʼawɨnɨt
ሊቃውንቶች|likʼawɨnɨtot͡ʃ
ሊቅ|likʼ
ሊቢያ|libija
ሊባኖሳዊ|libanosawi
ሊባኖስ|libanos
ሊብሮ|libɨro
ሊብያ|libɨja
ሊቨርፑ|livərɨpu
ሊቨርፑል|livərɨpul
ሊቨን|livən
ሊተባበሩ|litəbabəru
ሊቲ|liti
ሊታሰብ|litasəb
ሊነሳ|linəsa
ሊንከን|linɨkən
ሊኖሩ|linoru
ሊኖር|linor
ሊከፈት|likəfət
ሊክ|lik
ሊኮፕ|likop
ሊዊስ|liwis
ሊዛራዙ|lizarazu
ሊዝ|liz
ሊያ|lija
ሊያመጣ|lijamətʼa
ሊያር|lijar
ሊያሰሩ|lijasəru
ሊያሳ|lijasa
ሊያስ|lijas
ሊያስገኝ|lijasɨɡəɲ
ሊያናግሩ|lijanaɡɨru
ሊያወ|lijawə
ሊያወጣ|lijawətʼa
ሊያዝ|lijaz
ሊያደርጉ|lijadərɨɡu
ሊያደርግ|lijadərɨɡ
ሊያጣ|lijatʼa
ሊይዙ|lijɨzu
ሊዮ|lijo
ሊዮኔ|lijone
ሊዮን|lijon
ሊደረግ|lidərəɡ
ሊደርስ|lidərɨs
ሊድ|lid
ሊድስ|lidɨs
ሊገ|liɡə
ሊገሉ|liɡəlu
ሊገላግ|liɡəlaɡ
ሊገባ|liɡəba
ሊገዙ|liɡəzu
ሊጉ|liɡu
ሊጋ|liɡa
ሊጋው|liɡaw
ሊግ|liɡ
ሊጐች|liɡʷet͡ʃ
ሊጠ|litʼə
ሊጠቀሙ|litʼəkʼəmu
ሊጠበቅ|litʼəbəkʼ
ሊፈ|lifə
ሊፈቱ|lifətu
ሊፋ|lifa
ሊፍት|lifɨt
ሊፒ|lipi
ሊፕስር|lipɨsɨr
ላ|la
ላለ|lalə
ላለሁ|laləhu
ላለህ|laləh
ላለማ|laləma
ላለች|lalət͡ʃ
ላለን|lalən
ላለፉ|laləfu
ላለፉት|laləfut
ላሉ|lalu
ላሊበላ|lalibəla
ላላችሁ|lalat͡ʃɨhu
ላላገኙ|lalaɡəɲu
ላል|lal
ላሎ|lalo
ላሜ|lame
ላምቡርዴ|lamɨburɨde
ላሞች|lamot͡ʃ
ላራሹ|laraʃu
ላሳምናችሁ|lasamɨnat͡ʃɨhu
ላሳዛኟ|lasazaɲʷa
ላስ|las
ላስቲክ|lasɨtik
ላስት|lasɨt
ላስነብብ|lasɨnəbɨb
ላሻቸው|laʃat͡ʃəw
ላሻንስ|laʃanɨs
ላቀ|lakʼə
ላቀቁ|lakʼəkʼu
ላቀዱ|lakʼədu
ላቁ|lakʼu
ላቁኦተ|lakʼuotə
ላቅ|lakʼ
ላበስ|labəs
ላብ|lab
ላቦራቶሪ|laboratori
ላቱ|latu
ላቱን|latun
ላቲቪያ|lativija
ላቲን|latin
ላታል|latal
ላት|lat
ላትም|latɨm
ላትን|latɨn
ላቸዋለን|lat͡ʃəwalən
ላቸዋል|lat͡ʃəwal
ላቸው|lat͡ʃəw
ላቸውም|lat͡ʃəwɨm
ላቸውን|lat͡ʃəwɨn
ላችሁ|lat͡ʃɨhu
ላችኋለሁ|lat͡ʃɨhʷaləhu
ላችኋል|lat͡ʃɨhʷal
ላችን|lat͡ʃɨn
ላችው|lat͡ʃɨw
ላነሷቸው|lanəsʷat͡ʃəw
ላንተ|lanɨtə
ላንደር|lanɨdər
ላንዱ|lanɨdu
ላንድ|lanɨd
ላንድሮቨሯ|lanɨdɨrovərʷa
ላኤሰብ|laesəb
ላከች|lakət͡ʃ
ላከናወ|lakənawə
ላከው|lakəw
ላኩ|laku
ላኩልን|lakulɨn
ላኩት|lakut
ላኪዎች|lakiwot͡ʃ
ላካ|laka
ላካቸው|lakat͡ʃəw
ላክ|lak
ላኳቸው|lakʷat͡ʃəw
ላዊ|lawi
ላዊው|lawiw
ላውንቸር|lawɨnɨt͡ʃər
ላዚዮ|lazijo
ላዩ|laju
ላይ|laj
ላይቤሪያ|lajɨberija
ላይነሽ|lajɨnəʃ
ላዮ|lajo
ላደሉ|ladəlu
ላደረገ|ladərəɡə
ላደን|ladən
ላዲን|ladin
ላጠ|latʼə
ላጡ|latʼu
ላጤ|latʼe
ላጯት|lat͡ʃʼʷat
ላፈ|lafə
ላፍ|laf
ሌ|le
ሌለበት|leləbət
ሌለው|leləw
ሌሊቱ|lelitu
ሌሊት|lelit
ሌላ|lela
ሌላቸው|lelat͡ʃəw
ሌላኛዋ|lelaɲawa
ሌላኛው|lelaɲaw
ሌላዋ|lelawa
ሌላው|lelaw
ሌላውን|lelawɨn
ሌሌ|lele
ሌሎ|lelo
ሌሎቹ|lelot͡ʃu
ሌሎች|lelot͡ʃ
ሌባ|leba
ሌቦች|lebot͡ʃ
ሌተር|letər
ሌት|let
ሌኒን|lenin
ሌንጮ|lenɨt͡ʃʼo
ሌክ|lek
ሌይስተር|lejɨsɨtər
ሌጌዌይላ|leɡewejɨla
ል|l
ልሀለን|lɨhələn
ልሀል|lɨhəl
ልሁ|lɨhu
ልህ|lɨh
ልመና|lɨməna
ልሙት|lɨmut
ልማ|lɨma
ልማቱ|lɨmatu
ልማት|lɨmat
ልማቶች|lɨmatot͡ʃ
ልማደኛ|lɨmadəɲa
ልማድ|lɨmad
ልምላሜ|lɨmɨlame
ልምዱ|lɨmɨdu
ልምዳ|lɨmɨda
ልምዳቸው|lɨmɨdat͡ʃəw
ልምድ|lɨmɨd
ልሳን|lɨsan
ልስ|lɨs
ልሸምግል|lɨʃəmɨɡɨl
ልሽ|lɨʃ
ልቀቁ|lɨkʼəkʼu
ልቀት|lɨkʼət
ልቀው|lɨkʼəw
ልቆ|lɨkʼo
ልበስ|lɨbəs
ልቡ|lɨbu
ልባቸው|lɨbat͡ʃəw
ልባዊ|lɨbawi
ልቤ|lɨbe
ልብ|lɨb
ልብሱ|lɨbɨsu
ልብሳቸው|lɨbɨsat͡ʃəw
ልብስ|lɨbɨs
ልቦና|lɨbona
ልቬስትር|lɨvesɨtɨr
ልታ|lɨta
ልታስ|lɨtas
ልታደርግ|lɨtadərɨɡ
ልት|lɨt
ልትከፍት|lɨtɨkəfɨt
ልትወ|lɨtɨwə
ልቶ|lɨto
ልነ|lɨnə
ልናል|lɨnal
ልናረጋግጥ|lɨnarəɡaɡɨtʼ
ልናስ|lɨnas
ልን|lɨn
ልንገራችሁ|lɨnɨɡərat͡ʃɨhu
ልንገር|lɨnɨɡər
ልኛል|lɨɲal
ልኝ|lɨɲ
ልኝም|lɨɲɨm
ልኡሉ|lɨulu
ልኡላን|lɨulan
ልኡል|lɨul
ልኡልሰገድ|lɨulɨsəɡəd
ልኡኩ|lɨuku
ልኡካን|lɨukan
ልኡክ|lɨuk
ልኡኳን|lɨukʷan
ልእልት|lɨɨlɨt
ልከዋል|lɨkəwal
ልከው|lɨkəw
ልኩ|lɨku
ልክ|lɨk
ልኮ|lɨko
ልኳ|lɨkʷa
ልኳቸው|lɨkʷat͡ʃəw
ልዋጯን|lɨwat͡ʃʼʷan
ልውውጡ|lɨwɨwɨtʼu
ልውውጥ|lɨwɨwɨtʼ
ልውውጦች|lɨwɨwɨtʼot͡ʃ
ልዎ|lɨwo
ልዎታል|lɨwotal
ልዩ|lɨju
ልዩነቱ|lɨjunətu
ልዩነት|lɨjunət
ልዩነቶቻቸው|lɨjunətot͡ʃat͡ʃəw
ልያ|lɨja
ልደቱ|lɨdətu
ልደታ|lɨdəta
ልደት|lɨdət
ልድረስበት|lɨdɨrəsɨbət
ልጀ|lɨd͡ʒə
ልጁ|lɨd͡ʒu
ልጃቸው|lɨd͡ʒat͡ʃəw
ልጃገረድ|lɨd͡ʒaɡərəd
ልጃገረዶቹ|lɨd͡ʒaɡərədot͡ʃu
ልጃገረዶች|lɨd͡ʒaɡərədot͡ʃ
ልጄ|lɨd͡ʒe
ልጅ|lɨd͡ʒ
ልጅቱ|lɨd͡ʒɨtu
ልጅነታችን|lɨd͡ʒɨnətat͡ʃɨn
ልጅነት|lɨd͡ʒɨnət
ልጆቹ|lɨd͡ʒot͡ʃu
ልጆቻቸው|lɨd͡ʒot͡ʃat͡ʃəw
ልጆቻችሁ|lɨd͡ʒot͡ʃat͡ʃɨhu
ልጆቻችን|lɨd͡ʒot͡ʃat͡ʃɨn
ልጆቼ|lɨd͡ʒot͡ʃe
ልጆች|lɨd͡ʒot͡ʃ
ልጆችህ|lɨd͡ʒot͡ʃɨh
ልጆችዋ|lɨd͡ʒot͡ʃɨwa
ልጆቿ|lɨd͡ʒot͡ʃʷa
ልጇ|lɨd͡ʒʷa
ልጥቀስ|lɨtʼɨkʼəs
ልጫወት|lɨt͡ʃʼawət
ልፈው|lɨfəw
ልፌ|lɨfe
ሎ|lo
ሎሚ|lomi
ሎሪ|lori
ሎራ|lora
ሎሬ|lore
ሎሬት|loret
ሎሬን|loren
ሎሮን|loron
ሎስ|los
ሎተሪ|lotəri
ሎቹ|lot͡ʃu
ሎች|lot͡ʃ
ሎችን|lot͡ʃɨn
ሎንስ|lonɨs
ሎድ|lod
ሎጂ|lod͡ʒi
ሎጂክ|lod͡ʒik
ሎጅ|lod͡ʒ
ሎፔዝ|lopez
ሏ|lʷa
ሏል|lʷal
ሏት|lʷat
ሏቸው|lʷat͡ʃəw
ሏችሁ|lʷat͡ʃɨhu
ሏን|lʷan
መ|mə
መሀ|məhə
መሀላችን|məhəlat͡ʃɨn
መሀል|məhəl
መሀመድ|məhəməd
መሀረብ|məhərəb
መሀሪ|məhəri
መሀንዲስ|məhənɨdis
መሀከል|məhəkəl
መሀይማ|məhəjɨma
መሀድ|məhəd
መሄዱ|məhedu
መሄዱቸው|məhedut͡ʃəw
መሄዳቸው|məhedat͡ʃəw
መሄዳችን|məhedat͡ʃɨn
መሄድ|məhed
መሄዷ|məhedʷa
መሆኑ|məhonu
መሆኑን|məhonun
መሆና|məhona
መሆናቸው|məhonat͡ʃəw
መሆናችን|məhonat͡ʃɨn
መሆኔ|məhone
መሆን|məhon
መሆንዋ|məhonɨwa
መሆንዎ|məhonɨwo
መሆኗ|məhonwa
መለመላቸው|mələməlat͡ʃəw
መለሰ|mələsə
መለሱ|mələsu
መለሱት|mələsut
መለሳለስ|mələsaləs
መለሳቸው|mələsat͡ʃəw
መለስ|mələs
መለቀቃቸው|mələkʼəkʼat͡ʃəw
መለቀቅ|mələkʼəkʼ
መለከተ|mələkətə
መለከተው|mələkətəw
መለከቱ|mələkətu
መለከቱት|mələkətut
መለከት|mələkət
መለኪያ|mələkija
መለክተው|mələkɨtəw
መለክቱ|mələkɨtu
መለኮት|mələkot
መለወጥ|mələwətʼ
መለዋወጥ|mələwawətʼ
መለየቱ|mələjətu
መለየት|mələjət
መለያ|mələja
መለገሱ|mələɡəsu
መለገሳቸው|mələɡəsat͡ʃəw
መለፍለፍ|mələfɨləf
መላ|məla
መላለሱ|məlaləsu
መላላክ|məlalak
መላእክት|məlaɨkɨt
መላከቱ|məlakətu
መላኩ|məlaku
መላካ|məlaka
መላካቸው|məlakat͡ʃəw
መላክ|məlak
መላው|məlaw
መልማዮች|məlɨmajot͡ʃ
መልሰ|məlɨsə
መልሰዋል|məlɨsəwal
መልሰው|məlɨsəw
መልሱ|məlɨsu
መልሱልን|məlɨsulɨn
መልሳቸው|məlɨsat͡ʃəw
መልሴ|məlɨse
መልስ|məlɨs
መልሶ|məlɨso
መልሷ|məlɨsʷa
መልቀቂያ|məlɨkʼəkʼija
መልቀቅ|məlɨkʼəkʼ
መልበስ|məlɨbəs
መልእ|məlɨ
መልእክተኛ|məlɨɨkɨtəɲa
መልእክተኞች|məlɨɨkɨtəɲot͡ʃ
መልእክቱ|məlɨɨkɨtu
መልእክታቸው|məlɨɨkɨtat͡ʃəw
መልእክት|məlɨɨkɨt
መልእክቶች|məlɨɨkɨtot͡ʃ
መልከ|məlɨkə
መልኩ|məlɨku
መልካም|məlɨkam
መልካቸው|məlɨkat͡ʃəw
መልክ|məlɨk
መልክተው|məlɨkɨtəw
መልኳ|məlɨkʷa
መመለሱ|məmələsu
መመለሳቸው|məmələsat͡ʃəw
መመለስ|məmələs
መመልመ|məməlɨmə
መመልመሉ|məməlɨməlu
መመልከት|məməlɨkət
መመረቃቸው|məmərəkʼat͡ʃəw
መመረቅ|məmərəkʼ
መመረጣቸው|məmərətʼat͡ʃəw
መመረጥ|məmərətʼ
መመረጧ|məmərətʼʷa
መመሪያ|məmərija
መመሪያው|məmərijaw
መመሪያዎች|məmərijawot͡ʃ
መመርመር|məmərɨmər
መመስረቱ|məməsɨrətu
መመስረት|məməsɨrət
መመስገን|məməsɨɡən
መመናመን|məmənamən
መመከት|məməkət
መመኪያ|məməkija
መመው|məməw
መመዝገቢያ|məməzɨɡəbija
መመዝገባቸው|məməzɨɡəbat͡ʃəw
መመዝገብ|məməzɨɡəb
መመደ|məmədə
መመደብ|məmədəb
መመገብ|məməɡəb
መማረ|məmarə
መማረክ|məmarək
መማር|məmar
መማጸናቸው|məmat͡sʼənat͡ʃəw
መምህሩ|məmɨhɨru
መምህራኑ|məmɨhɨranu
መምህራን|məmɨhɨran
መምህራኖ|məmɨhɨrano
መምህር|məmɨhɨr
መምረጥ|məmɨrətʼ
መምሪያ|məmɨrija
መምሪያው|məmɨrijaw
መምራት|məmɨrat
መምሰል|məmɨsəl
መምታት|məmɨtat
መምጣቱ|məmɨtʼatu
መምጣታቸው|məmɨtʼatat͡ʃəw
መምጣት|məmɨtʼat
መምጣቷ|məmɨtʼatʷa
መሞቱ|məmotu
መሞታቸው|məmotat͡ʃəw
መሞት|məmot
መሞቷ|məmotʷa
መሞከ|məmokə
መሞከራቸው|məmokərat͡ʃəw
መሞከር|məmokər
መሟላት|məmʷalat
መሟገት|məmʷaɡət
