'ики'|'ikʰi'
авсныг|awsniːɡ
австралийн|awstʰraɮiːn
австрид|awstʰrit
австрийг|awstʰriːɡ
австрийн|awstʰriːn
автал|awtʰaɮ
автан|awtʰan
автах|awtʰax
автлан|awtʰɮan
автн|awtʰn
авто|awtʰɔ
автобусэнд|awtʰɔpʊsɛnt
автомат|awtʰɔmatʰ
автоматаар|awtʰɔmatʰaːr
автомашинаас|awtʰɔmaʃinaːs
автомашины|awtʰɔmaʃiniː
автсан|awtʰsan
авх|awx
авхар|awxar
авхасн|awxasn
авхин|awxin
авхмб|awxmp
авхмн|awxmn
авхмт|awxmtʰ
авхт|awxtʰ
авхуулъя|awxʊːɮъJa
авцхав|awt͡sʰxaw
авч|awt͡ʃʰ
авчирдаггүй|awt͡ʃʰirtaɡɡuj
авчирна|awt͡ʃʰirna
авчирсан|awt͡ʃʰirsan
авчируулж|awt͡ʃʰirʊːɮt͡ʃ
авчирч|awt͡ʃʰirt͡ʃʰ
авчиръя|awt͡ʃʰirъJa
авчих|awt͡ʃʰix
авчихвал|awt͡ʃʰixwaɮ
авчихсан|awt͡ʃʰixsan
авчкв|awt͡ʃʰkʰw
авчксмн|awt͡ʃʰkʰsmn
авчрах|awt͡ʃʰrax
авчрахыг|awt͡ʃʰraxiːɡ
авчхаад|awt͡ʃʰxaːt
авчхаж|awt͡ʃʰxat͡ʃ
авчээ|awt͡ʃʰɛː
авшгов|awʃɡɔw
авъя|awъJa
авъяаслагжүжигчин|awъJaasɮaɡt͡ʃut͡ʃiɡt͡ʃʰin
авьяастай|awʲJaastʰaj
авһиннь|awһinnʲ
агаадаа|aɡaːtaː
агаараар|aɡaːraːr
агаарт|aɡaːrtʰ
агаарын|aɡaːriːn
агентлагууд|aɡJintʰɮaɡʊːt
агнасан|aɡnasan
агт|aɡtʰ
агтнаас|aɡtʰnaːs
агттай|aɡtʰtʰaj
агуй|aɡʊi
агуйд|aɡʊit
агуйнуудаар|aɡʊinʊːtaːr
агуу|aɡʊː
агуулагдаж|aɡʊːɮaɡtat͡ʃ
агуулагдах|aɡʊːɮaɡtax
агуулга|aɡʊːɮɡa
агуулгатай|aɡʊːɮɡatʰaj
агуулгыг|aɡʊːɮɡiːɡ
агуулжээ|aɡʊːɮt͡ʃɛː
агуулсан|aɡʊːɮsan
агшаахын|aɡʃaːxiːn
адам|atam
адар|atar
адарин|atarin
адгийн|atɡiːn
адилтгал|atiɮtʰɡaɮ
адилхан|atiɮxan
адм|atm
адмд|atmt
адмирал|atmiraɮ
адтай|attʰaj
адуугаа|atʊːɡaː
адуугаар|atʊːɡaːr
адууны|atʊːniː
адһмтаһар|atһmtʰaһar
аж|at͡ʃ
ажаагүй|at͡ʃaːɡuj
ажиггүй|at͡ʃiɡɡuj
ажигла|at͡ʃiɡɮa
ажиглав|at͡ʃiɡɮaw
ажиглавал|at͡ʃiɡɮawaɮ
ажиглагдаж|at͡ʃiɡɮaɡtat͡ʃ
ажиглагдсангүй|at͡ʃiɡɮaɡtsanɡuj
ажиглагчдыг|at͡ʃiɡɮaɡt͡ʃʰtiːɡ
ажигладаг|at͡ʃiɡɮataɡ
ажиглаж|at͡ʃiɡɮat͡ʃ
ажиглалт|at͡ʃiɡɮaɮtʰ
ажиглан|at͡ʃiɡɮan
ажигласан|at͡ʃiɡɮasan
ажиж|at͡ʃit͡ʃ
ажилгүй|at͡ʃiɮɡuj
ажилгүйдэлтэй|at͡ʃiɮɡujtɛɮtʰɛj
ажилд|at͡ʃiɮt
ажилдаа|at͡ʃiɮtaː
ажиллаад|at͡ʃiɮɮaːt
ажиллавал|at͡ʃiɮɮawaɮ
ажиллагаа|at͡ʃiɮɮaɡaː
ажиллагааг|at͡ʃiɮɮaɡaːɡ
ажиллагаагаа|at͡ʃiɮɮaɡaːɡaː
ажиллагаан|at͡ʃiɮɮaɡaːn
ажиллагаанд|at͡ʃiɮɮaɡaːnt
ажиллагааны|at͡ʃiɮɮaɡaːniː
ажиллагаатай|at͡ʃiɮɮaɡaːtʰaj
ажилладаг|at͡ʃiɮɮataɡ
ажиллаж|at͡ʃiɮɮat͡ʃ
ажиллажээ|at͡ʃiɮɮat͡ʃɛː
ажиллана|at͡ʃiɮɮana
ажилласаар|at͡ʃiɮɮasaːr
ажилласан|at͡ʃiɮɮasan
ажиллах|at͡ʃiɮɮax
ажиллахад|at͡ʃiɮɮaxat
ажиллахыг|at͡ʃiɮɮaxiːɡ
ажиллуулах|at͡ʃiɮɮʊːɮax
ажилсаг|at͡ʃiɮsaɡ
ажилтай|at͡ʃiɮtʰaj
ажилтнууд|at͡ʃiɮtʰnʊːt
ажилтнуудыг|at͡ʃiɮtʰnʊːtiːɡ
ажилтнуудын|at͡ʃiɮtʰnʊːtiːn
ажилчдаа|at͡ʃiɮt͡ʃʰtaː
ажилчны|at͡ʃiɮt͡ʃʰniː
ажих|at͡ʃix
ажлаа|at͡ʃɮaː
ажлаар|at͡ʃɮaːr
ажлаараа|at͡ʃɮaːraː
ажлаас|at͡ʃɮaːs
ажлаасаа|at͡ʃɮaːsaː
ажлыг|at͡ʃɮiːɡ
ажлын|at͡ʃɮiːn
ажлынхаа|at͡ʃɮiːnxaː
ажна|at͡ʃna
ажээ|at͡ʃɛː
азаар|at͡saːr
азарга|at͡sarɡa
азарган|at͡sarɡan
азгүй|at͡sɡuj
аздан|at͡stan
азиана|at͡siana
азийг|at͡siːɡ
азийн|at͡siːn
азна|at͡sna
азтай|at͡stʰaj
ай|aj
айвал|ajwaɮ
айгаад|ajɡaːt
айдаг|ajtaɡ
айдас|ajtas
айж|ajt͡ʃ
айлгаж|ajɮɡat͡ʃ
айлд|ajɮt
айлдах|ajɮtax
айлтгуулна|ajɮtʰɡʊːɮna
айлуудыг|ajɮʊːtiːɡ
айлчлал|ajɮt͡ʃʰɮaɮ
айлчлоорой|ajɮt͡ʃʰɮɔːrɔj
айлын|ajɮiːn
айлынхан|ajɮiːnxan
аймаар|ajmaːr
аймагт|ajmaɡtʰ
аймар|ajmar
аймгийг|ajmɡiːɡ
аймгийн|ajmɡiːn
аймшигт|ajmʃiɡtʰ
аймшигтай|ajmʃiɡtʰaj
айргийг|ajrɡiːɡ
айсан|ajsan
айсин|ajsin
айсуйг|ajsʊiɡ
айх|ajx
айхавтар|ajxawtʰar
айхгүй|ajxɡuj
айхтар|ajxtʰar
айхыг|ajxiːɡ
акчайг|akʰt͡ʃʰajɡ
ал|aɮ
алав|aɮaw
алаг|aɮaɡ
алаглан|aɮaɡɮan
алад|aɮat
алах|aɮax
алахаар|aɮaxaːr
алачнр|aɮat͡ʃʰnr
албагүй|aɮpaɡuj
албадаж|aɮpatat͡ʃ
албан|aɮpan
албанаас|aɮpanaːs
албанийн|aɮpaniːn
албаны|aɮpaniː
албаныхан|aɮpaniːxan
алв|aɮw
алвт|aɮwtʰ
алвтм|aɮwtʰm
алвтнр|aɮwtʰnr
алвч|aɮwt͡ʃʰ
алгаараа|aɮɡaːraː
алгадна|aɮɡatna
алгдг|aɮɡtɡ
алгоритмын|aɮɡɔritʰmiːn
алд|aɮt
алдаа|aɮtaː
алдааг|aɮtaːɡ
алдаагүй|aɮtaːɡuj
алдаад|aɮtaːt
алдаанд|aɮtaːnt
алдаатай|aɮtaːtʰaj
алдав|aɮtaw
алдагдсан|aɮtaɡtsan
алдаж|aɮtat͡ʃ
алдан|aɮtan
алдана|aɮtana
алдар|aɮtar
алдартай|aɮtartʰaj
алдартнууд|aɮtartʰnʊːt
алдаршсан|aɮtarʃsan
алдахгүй|aɮtaxɡuj
алдлаа|aɮtɮaː
алднд|aɮtnt
алдр|aɮtr
алдсан|aɮtsan
алдсангүй|aɮtsanɡuj
алдсандаа|aɮtsantaː
алдуулдаг|aɮtʊːɮtaɡ
алдуулсан|aɮtʊːɮsan
алдчихав|aɮtt͡ʃʰixaw
алдчихгүй|aɮtt͡ʃʰixɡuj
алдчихлаа|aɮtt͡ʃʰixɮaː
алдчихсан|aɮtt͡ʃʰixsan
алекс|aɮJikʰs
александрын|aɮJikʰsantriːn
алжааж|aɮt͡ʃaːt͡ʃ
алзахгүйгээр|aɮt͡saxɡujɡɛːr
алив|aɮiw
аливаа|aɮiwaː
аливааг|aɮiwaːɡ
аливаад|aɮiwaːt
алийг|aɮiːɡ
алинд|aɮint
аллаа|aɮɮaː
алмаазан|aɮmaːt͡san
алмаас|aɮmaːs
алмасны|aɮmasniː
ална|aɮna
алпана|aɮpʰana
алс|aɮs
алсаас|aɮsaːs
алсн|aɮsn
алсхан|aɮsxan
алтай|aɮtʰaj
алтар|aɮtʰar
алтлаг|aɮtʰɮaɡ
алтн|aɮtʰn
алхаад|aɮxaːt
алхав|aɮxaw
алхаж|aɮxat͡ʃ
алхам|aɮxam
алхана|aɮxana
алхар|aɮxar
алхвал|aɮxwaɮ
алхмуудыг|aɮxmʊːtiːɡ
алхмын|aɮxmiːn
алчкҗ|aɮt͡ʃʰkʰҗ
аль|aɮʲ
альд|aɮʲt
альдаран|aɮʲtaran
альдас|aɮʲtas
альдв|aɮʲtw
аля|aɮJa
аляһан|aɮJaһan
алҗ|aɮҗ
алңтрад|aɮңtʰrat
амаар|amaːr
аман|aman
амана|amana
аманд|amant
амандаа|amantaː
аманта|amantʰa
аманыг|amaniːɡ
амар|amar
амаргүй|amarɡuj
амарлаа|amarɮaː
амарлингуй|amarɮinɡʊi
амарна|amarna
амархан|amarxan
амарч|amart͡ʃʰ
амаръя|amarъJa
амбаараас|ampaːraːs
амбан|ampan
амгалан|amɡaɮan
амгаланг|amɡaɮanɡ
амдсан|amtsan
америк|amJirikʰ
америкийг|amJirikʰiːɡ
америкийн|amJirikʰiːn
америкт|amJirikʰtʰ
амжаагүй|amt͡ʃaːɡuj
амжаад|amt͡ʃaːt
амжжээ|amt͡ʃt͡ʃɛː
амжиж|amt͡ʃit͡ʃ
амжилттай|amt͡ʃiɮtʰtʰaj
амжилтыг|amt͡ʃiɮtʰiːɡ
амжсан|amt͡ʃsan
амжуулахын|amt͡ʃʊːɮaxiːn
амиа|amia
амийг|amiːɡ
амилж|amiɮt͡ʃ
амилсангүй|amiɮsanɡuj
амилчих|amiɮt͡ʃʰix
амин|amin
аминаасаа|aminaːsaː
аминадаб|aminatap
амины|aminiː
амлалаа|amɮaɮaː
амлалт|amɮaɮtʰ
амлалтаасаа|amɮaɮtʰaːsaː
амлсн|amɮsn
амн|amn
амна|amna
амнаас|amnaːs
амнас|amnas
амны|amniː
амрад|amrat
амралтын|amraɮtʰiːn
амрах|amrax
амрв|amrw
амсад|amsat
амсҗ|amsҗ
амтай|amtʰaj
амтан|amtʰan
амтанд|amtʰant
амтлаг|amtʰɮaɡ
амтн|amtʰn
амттай|amtʰtʰaj
амттантай|amtʰtʰantʰaj
амтынь|amtʰiːnʲ
амулң|amʊɮң
амын|amiːn
амьд|amʲt
амьдардаг|amʲtartaɡ
амьдармаар|amʲtarmaːr
амьдарна|amʲtarna
амьдарсангүй|amʲtarsanɡuj
амьдарцгаажээ|amʲtart͡sʰɡaːt͡ʃɛː
амьдарч|amʲtart͡ʃʰ
амьдраасай|amʲtraːsaj
амьдраач|amʲtraːt͡ʃʰ
амьдралаа|amʲtraɮaː
амьдралд|amʲtraɮt
амьдралдаа|amʲtraɮtaː
амьдралыг|amʲtraɮiːɡ
амьдралын|amʲtraɮiːn
амьдралынхаа|amʲtraɮiːnxaː
амьдран|amʲtran
амьдрах|amʲtrax
амьдрахын|amʲtraxiːn
амьжиргааны|amʲt͡ʃirɡaːniː
амьсгаа|amʲsɡaː
амьсгал|amʲsɡaɮ
амьсгалд|amʲsɡaɮt
амьсгалж|amʲsɡaɮt͡ʃ
амьсгална|amʲsɡaɮna
амьтад|amʲtʰat
амьтанд|amʲtʰant
амьтантай|amʲtʰantʰaj
амьтдаар|amʲtʰtaːr
амьтдад|amʲtʰtat
амьтдыг|amʲtʰtiːɡ
амьтнаас|amʲtʰnaːs
амьтны|amʲtʰniː
амьтныг|amʲtʰniːɡ
амьхандаа|amʲxantaː
анагаах|anaɡaːx
анаж|anat͡ʃ
анаконда|anakʰɔnta
анг|anɡ
ангайж|anɡajt͡ʃ
ангалд|anɡaɮt
ангалзсанаа|anɡaɮt͡ssanaː
ангиас|anɡias
ангид|anɡit
ангидаа|anɡitaː
ангийн|anɡiːn
ангийнхаа|anɡiːnxaː
ангийнхан|anɡiːnxan
ангилдаг|anɡiɮtaɡ
ангилж|anɡiɮt͡ʃ
ангилна|anɡiɮna
ангир|anɡir
английн|anɡɮiːn
англичууд|anɡɮit͡ʃʰʊːt
анд|ant
андрей|antrJij
андуудыг|antʊːtiːɡ
андуурмаар|antʊːrmaːr
андуурсан|antʊːrsan
андһар|antһar
андһаран|antһaran
андһарл|antһarɮ
анжеликагийн|ant͡ʃJiɮikʰaɡiːn
анзаараагүй|ant͡saːraːɡuj
анзаарав|ant͡saːraw
анзаарахгүй|ant͡saːraxɡuj
анзаарсан|ant͡saːrsan
анивалзан|aniwaɮt͡san
анна|anna
антенуудаа|antʰJinʊːtaː
антибиотик|antʰipiɔtʰikʰ
антоммарки|antʰɔmmarkʰi
антропологийн|antʰrɔpʰɔɮɔɡiːn
анхаа|anxaː
анхаар|anxaːr
анхаарал|anxaːraɮ
анхааралтай|anxaːraɮtʰaj
анхаарах|anxaːrax
анхаардаг|anxaːrtaɡ
анхаарлаа|anxaːrɮaː
анхаарлыг|anxaːrɮiːɡ
анхаарсангүй|anxaːrsanɡuj
анхааруулж|anxaːrʊːɮt͡ʃ
анхааруулснаа|anxaːrʊːɮsnaː
анхаарч|anxaːrt͡ʃʰ
анхандаа|anxantaː
анхнаасаа|anxnaːsaː
анхны|anxniː
анхныхыг|anxniːxiːɡ
анчид|ant͡ʃʰit
аппаратын|apʰpʰaratʰiːn
ар|ar
араар|araːr
араас|araːs
араатан|araːtʰan
араб|arap
арабуудын|arapʊːtiːn
арабыг|arapiːɡ
аравдугаар|arawtʊɡaːr
арай|araj
араншинтай|aranʃintʰaj
араратын|araratʰiːn
арваад|arwaːt
арван|arwan
арвдгч|arwtɡt͡ʃʰ
арвижуулахад|arwit͡ʃʊːɮaxat
арвн|arwn
аргаар|arɡaːr
аргаас|arɡaːs
аргагүй|arɡaɡuj
аргагүйн|arɡaɡujn
аргадах|arɡatax
аргазүйн|arɡat͡sujn
аргалаад|arɡaɮaːt
аргатай|arɡatʰaj
аргентинд|arɡJintʰint
аргон|arɡɔn
аргууд|arɡʊːt
аргыг|arɡiːɡ
ард|art
ардан|artan
ардас|artas
ардаснь|artasnʲ
ардчиллын|artt͡ʃʰiɮɮiːn
ардчилсан|artt͡ʃʰiɮsan
ардын|artiːn
аржилстритийн|art͡ʃiɮstʰritʰiːn
арилав|ariɮaw
арилгаж|ariɮɡat͡ʃ
арилгах|ariɮɡax
арилж|ariɮt͡ʃ
арилжааны|ariɮt͡ʃaːniː
арилсанд|ariɮsant
ариматьяс|arimatʰʲJas
ариун|ariʊn
ариусан|ariʊsan
ариусган|ariʊsɡan
ариутгах|ariʊtʰɡax
ариухан|ariʊxan
арлууд|arɮʊːt
арлуудыг|arɮʊːtiːɡ
армиасаа|armiasaː
армийнхаа|armiːnxaː
арслантай|arsɮantʰaj
арслңгар|arsɮңɡar
арсн|arsn
арт|artʰ
артасэдийн|artʰasɛtiːn
артур|artʰʊr
архела|arxJiɮa
архидан|arxitan
архийг|arxiːɡ
архин|arxin
архинаас|arxinaːs
архинд|arxint
арчдас|art͡ʃʰtas
арчив|art͡ʃʰiw
арчиж|art͡ʃʰit͡ʃ
арчина|art͡ʃʰina
арччкад|art͡ʃʰt͡ʃʰkʰat
арьсаар|arʲsaːr
арьснаас|arʲsnaːs
арьсыг|arʲsiːɡ
арһ|arһ
асаав|asaːw
асааж|asaːt͡ʃ
асаан|asaːn
асаах|asaːx
асаж|asat͡ʃ
асан|asan
асар|asar
асарт|asartʰ
асгадаг|asɡataɡ
асгарав|asɡaraw
асгарахгүй|asɡaraxɡuj
асрагч|asraɡt͡ʃʰ
асрагчийн|asraɡt͡ʃʰiːn
асрад|asrat
асрах|asrax
асрд|asrt
асрдг|asrtɡ
ассирийин|assiriːin
асуув|asʊːw
асуугаад|asʊːɡaːt
асуугаарай|asʊːɡaːraj
асуудаг|asʊːtaɡ
асуудал|asʊːtaɮ
асуудалд|asʊːtaɮt
асуудлаар|asʊːtɮaːr
асуудлыг|asʊːtɮiːɡ
асууж|asʊːt͡ʃ
асуулаа|asʊːɮaː
асуулгын|asʊːɮɡiːn
асуулгүй|asʊːɮɡuj
асуултад|asʊːɮtʰat
асуултыг|asʊːɮtʰiːɡ
асуусан|asʊːsan
асуусангүй|asʊːsanɡuj
асуутал|asʊːtʰaɮ
асуухад|asʊːxat
асуухыг|asʊːxiːɡ
асхад|asxat
асхар|asxar
асхн|asxn
асхна|asxna
асхни|asxni
асхрад|asxrat
асхрв|asxrw
асхрулад|asxrʊɮat
асхрулсн|asxrʊɮsn
асхрулҗ|asxrʊɮҗ
асчхаад|ast͡ʃʰxaːt
асҗ|asҗ
атаархагчдад|atʰaːrxaɡt͡ʃʰtat
атаархлыг|atʰaːrxɮiːɡ
атаархмаар|atʰaːrxmaːr
атаархсан|atʰaːrxsan
атал|atʰaɮ
атгаад|atʰɡaːt
атган|atʰɡan
атгахан|atʰɡaxan
атируулан|atʰirʊːɮan
атомын|atʰɔmiːn
аттестатаар|atʰtʰJistʰatʰaːr
атугай|atʰʊɡaj
атхчкад|atʰxt͡ʃʰkʰat
аугаа|aʊɡaː
аудитын|aʊtitʰiːn
африкт|afrikʰtʰ
ах|ax
ахадсан|axatsan
ахайтан|axajtʰan
ахалж|axaɮt͡ʃ
ахан|axan
ахашверош|axaʃwJirɔʃ
ахашверошин|axaʃwJirɔʃin
ахдан|axtan
ахин|axin
ахиулаад|axiʊɮaːt
ахих|axix
ахлах|axɮax
ахлач|axɮat͡ʃʰ
ахлачд|axɮat͡ʃʰt
ахлачин|axɮat͡ʃʰin
ахлачнрт|axɮat͡ʃʰnrtʰ
ахлаһан|axɮaһan
ахлҗасн|axɮҗasn
ахмад|axmat
ахмадууд|axmatʊːt
ахнр|axnr
ахнран|axnran
ахнраснь|axnrasnʲ
ахнриннь|axnrinnʲ
ахнрнь|axnrnʲ
ахнртан|axnrtʰan
ахнртаһан|axnrtʰaһan
ахнрчн|axnrt͡ʃʰn
ахнь|axnʲ
ахтайгаа|axtʰajɡaː
ахтаһан|axtʰaһan
ахуй|axʊi
ахуй»|axʊi»
ахуйг|axʊiɡ
ахуйд|axʊit
ахуйн|axʊin
ахуһан|axʊһan
ахыгаа|axiːɡaː
ацан|at͡sʰan
ацмудар|at͡sʰmʊtar
ацта|at͡sʰtʰa
ач|at͡ʃʰ
ачаа|at͡ʃʰaː
ачаалаад|at͡ʃʰaːɮaːt
ачаалагдах|at͡ʃʰaːɮaɡtax
ачааллын|at͡ʃʰaːɮɮiːn
ачааны|at͡ʃʰaːniː
ачаар|at͡ʃʰaːr
ачад|at͡ʃʰat
ачиг|at͡ʃʰiɡ
ачлвран|at͡ʃʰɮwran
ачлгдсн|at͡ʃʰɮɡtsn
ачллт|at͡ʃʰɮɮtʰ
ачнртаһан|at͡ʃʰnrtʰaһan
ачтан|at͡ʃʰtʰan
аш|aʃ
ашгүй|aʃɡuj
ашер|aʃJir
ашиг|aʃiɡ
ашиггүй|aʃiɡɡuj
ашигла|aʃiɡɮa
ашигладаг|aʃiɡɮataɡ
ашиглаж|aʃiɡɮat͡ʃ
ашиглалтад|aʃiɡɮaɮtʰat
ашиглан|aʃiɡɮan
ашиглана|aʃiɡɮana
ашиглах|aʃiɡɮax
ашиглахаар|aʃiɡɮaxaːr
ашигтай|aʃiɡtʰaj
аюл|aJuɮ
аюлар|aJuɮar
аюлла|aJuɮɮa
аюлын|aJuɮiːn
аюул|aJuʊɮ
аюулаас|aJuʊɮaːs
аюулгүй|aJuʊɮɡuj
аюулт|aJuʊɮtʰ
аюултай|aJuʊɮtʰaj
аюулын|aJuʊɮiːn
ая|aj
аяа|aja
аяархан|ajarxan
аяга|ajɡa
аягаар|ajɡaːr
аяганаас|ajɡanaːs
аяганаасаа|ajɡanaːsaː
аяганд|ajɡant
аяганы|ajɡaniː
аягыг|ajɡiːɡ
аягүй|ajɡuj
аялагчид|ajɮaɡt͡ʃʰit
аялал|ajɮaɮ
аялалд|ajɮaɮt
аялах|ajɮax
аялахдаа|ajɮaxtaː
аялгагүй|ajɮɡaɡuj
аялгуунуудад|ajɮɡʊːnʊːtat
аялгууны|ajɮɡʊːniː
аялдан|ajɮtan
аялуулаад|ajɮʊːɮaːt
аялуулан|ajɮʊːɮan
аян|ajn
аянд|ajnt
аяндаа|ajntaː
аяны|ajniː
аятайхан|ajtʰajxan
аяыг|ajiːɡ
аң|aң
аңгуд|aңɡʊt
аңгудыг|aңɡʊtiːɡ
аңгудын|aңɡʊtiːn
аһрусан|aһrʊsan
аһрусн|aһrʊsn
аһрусна|aһrʊsna
аһруснд|aһrʊsnt
аһуд|aһʊt
аһурсн|aһʊrsn
аһурснд|aһʊrsnt
аһурснла|aһʊrsnɮa
ба|pa
баавгай|paːwɡaj
баавгайнууд|paːwɡajnʊːt
баатарлаг|paːtʰarɮaɡ
баатарын|paːtʰariːn
баатруудыг|paːtʰrʊːtiːɡ
баатрыг|paːtʰriːɡ
баатрын|paːtʰriːn
баахан|paːxan
баахн|paːxn
багаасаа|paɡaːsaː
багад|paɡat
багадаа|paɡataː
багажууд|paɡat͡ʃʊːt
багатай|paɡatʰaj
багахан|paɡaxan
багачууд|paɡat͡ʃʰʊːt
багваахай|paɡwaːxaj
багийг|paɡiːɡ
багийн|paɡiːn
багийнхан|paɡiːnxan
багин|paɡin
баглаагаар|paɡɮaːɡaːr
багтаан|paɡtʰaːn
багтах|paɡtʰax
багтв|paɡtʰw
багтрал|paɡtʰraɮ
багцыг|paɡt͡sʰiːɡ
багша|paɡʃa
багшаа|paɡʃaː
багшид|paɡʃit
багшийг|paɡʃiːɡ
багшийгаа|paɡʃiːɡaː
багшийн|paɡʃiːn
багшнр|paɡʃnr
багшнриг|paɡʃnriɡ
багштан|paɡʃtʰan
багынхаа|paɡiːnxaː
бадарч|patart͡ʃʰ
бадарчид|patart͡ʃʰit
бадруулаагүй|patrʊːɮaːɡuj
базааж|pat͡saːt͡ʃ
базаахгүй|pat͡saːxɡuj
бай|paj
байв|pajw
байвал|pajwaɮ
байвч|pajwt͡ʃʰ
байг|pajɡ
байгаа|pajɡaː
байгааг|pajɡaːɡ
байгаагаа|pajɡaːɡaː
байгаагаараа|pajɡaːɡaːraː
байгаагүй|pajɡaːɡuj
байгаад|pajɡaːt
байгаадаа|pajɡaːtaː
байгаарай|pajɡaːraj
байгаасай|pajɡaːsaj
байгал|pajɡaɮ
байгалийн|pajɡaɮiːn
байгальд|pajɡaɮʲt
байгуулав|pajɡʊːɮaw
байгуулагдсан|pajɡʊːɮaɡtsan
байгуулагч|pajɡʊːɮaɡt͡ʃʰ
байгуулалтын|pajɡʊːɮaɮtʰiːn
байгуулан|pajɡʊːɮan
байгуулбал|pajɡʊːɮpaɮ
байгуулж|pajɡʊːɮt͡ʃ
байгууллагаас|pajɡʊːɮɮaɡaːs
байгууллагад|pajɡʊːɮɮaɡat
байгууллагууд|pajɡʊːɮɮaɡʊːt
байгууллагын|pajɡʊːɮɮaɡiːn
байгууллын|pajɡʊːɮɮiːn
байгуулсангүй|pajɡʊːɮsanɡuj
байдаг|pajtaɡ
байдаггүй|pajtaɡɡuj
байдаггүйг|pajtaɡɡujɡ
байдагсан|pajtaɡsan
байдалд|pajtaɮt
байдалтай|pajtaɮtʰaj
байдгаа|pajtɡaː
байдгийг|pajtɡiːɡ
байдлаа|pajtɮaː
байдлаар|pajtɮaːr
байдлаас|pajtɮaːs
байдлыг|pajtɮiːɡ
байдлын|pajtɮiːn
байж|pajt͡ʃ
байжээ|pajt͡ʃɛː
байз|pajt͡s
байлаа|pajɮaː
байлгаж|pajɮɡat͡ʃ
байлгах|pajɮɡax
байлгахыг|pajɮɡaxiːɡ
байлгүй|pajɮɡuj
байлдааны|pajɮtaːniː
байлтай|pajɮtʰaj
баймаар|pajmaːr
байн|pajn
байна|pajna
байнга|pajnɡa
байнгын|pajnɡiːn
байнлээ|pajnɮɛː
байну|pajnʊ
байр|pajr
байраа|pajraː
байран|pajran
байранд|pajrant
байрандаа|pajrantaː
байрар|pajrar
байрин|pajrin
байрлад|pajrɮat
байрлсн|pajrɮsn
байрлтн|pajrɮtʰn
байрлтха|pajrɮtʰxa
байрлулна|pajrɮʊɮna
байрлултн|pajrɮʊɮtʰn
байрлуул|pajrɮʊːɮ
байрлуулсан|pajrɮʊːɮsan
байрлх|pajrɮx
